ELSI Export,,,,
,,,,
National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/,,,,
,,,,
This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC,,,,
,,,,
Agency Name,State Name [District] Latest available year,Agency Name [District] 2021-22,County Number [District] 2021-22,Agency ID - NCES Assigned [District] Latest available year
HONEY CREEK COMMUNITY SCHOOL,Michigan,Honey Creek Community School,26161,2600121
HONEY GROVE ISD,Texas,HONEY GROVE ISD,48147,4823460
HONONEGAH CHD 207,Illinois,Hononegah CHD 207,17201,1719620
HONOR ACADEMY(CHARTER),OKLAHOMA,HONOR ACADEMY(CHARTER),40143,4000792
HOOD CANAL SCHOOL DISTRICT,Washington,Hood Canal School District,53045,5303600
HOOD RIVER COUNTY SD,Oregon,Hood River County SD,41027,4106510
HOOKER,Oklahoma,HOOKER,40139,4015090
HOOKS ISD,Texas,HOOKS ISD,48037,4823490
HOOKSETT SAU OFFICE,New Hampshire,Hooksett SAU Office,33013,3399915
HOOKSETT SCHOOL DISTRICT,New Hampshire,Hooksett School District,33013,3303870
HOONAH CITY SCHOOL DISTRICT,Alaska,Hoonah City School District,02105,0200300
HOOPESTON AREA CUSD 11,Illinois,Hoopeston Area CUSD 11,17183,1719660
HOOSAC VALLEY REGIONAL,Massachusetts,Hoosac Valley Regional,25003,2501780
HOOSIC VALLEY CENTRAL SCHOOL DISTRICT,New York,HOOSIC VALLEY CENTRAL SCHOOL DISTRICT,36083,3614730
HOOSICK FALLS CENTRAL SCHOOL DISTRICT,New York,HOOSICK FALLS CENTRAL SCHOOL DISTRICT,36083,3614760
HOOSIER COLLEGE AND CAREER ACADEMY,INDIANA,Insight School of Indiana,18097,1800179
HOOVER CITY,Alabama,Hoover City,01073,0100007
HOOVER-SCHRUM MEMORIAL SD 157,Illinois,Hoover-Schrum Memorial SD 157,17031,1719680
HOPATCONG BOROUGH SCHOOL DISTRICT,New Jersey,Hopatcong Borough School District,34037,3407440
HOPE ACADEMY,Michigan,Hope Academy,26163,2600229
HOPE ACADEMY CHARTER SCHOOL,New Jersey,Hope Academy Charter School,34025,3400076
HOPE ACADEMY NORTHCOAST,Ohio,Hope Academy Northcoast,39035,3900181
HOPE ACADEMY OF NORTHWEST ARKANSAS,ARKANSAS,HOPE ACADEMY OF NW ARKANSAS,05007,0500426
HOPE ACADEMY OF WEST MICHIGAN,Michigan,Hope Academy of West Michigan,26081,2600988
HOPE COMMUNITY ACADEMY,Minnesota,HOPE COMMUNITY ACADEMY,27123,2700230
HOPE COMMUNITY CHARTER SCHOOL,New Jersey,Hope Community Charter School,34007,3400763
HOPE COMMUNITY PCS,District of Columbia,Hope Community PCS,11001,1100051
HOPE ELEMENTARY,California,Hope Elementary,06107,0617520
HOPE ELEMENTARY,California,Hope Elementary,06083,0617490
HOPE FOR HYNDMAN CS,Pennsylvania,HOPE for Hyndman CS,42009,4200852
HOPE LEADERSHIP ACADEMY,Missouri,HOPE LEADERSHIP ACADEMY,29095,2900601
HOPE LEARNING ACADEMY OF TOLEDO,Ohio,Hope Learning Academy of Toledo,39095,3901520
HOPE OF DETROIT ACADEMY,Michigan,Hope of Detroit Academy,26163,2600243
HOPE PUBLIC SCHOOLS,Maine,Hope Public Schools,23027,2306610
HOPE SCHOOL DISTRICT,Arkansas,HOPE SCHOOL DISTRICT,05057,0507840
HOPE TOWNSHIP SCHOOL DISTRICT,New Jersey,Hope Township School District,34041,3407470
HOPE-PAGE 85,NORTH DAKOTA,HOPE-PAGE 85,38091,3800404
HOPEDALE,Massachusetts,Hopedale,25027,2506300
HOPEVALE UNION FREE SCHOOL DISTRICT AT HAMBURG,New York,HOPEVALE UNION FREE SCHOOL DISTRICT AT HAMBURG,36029,3615420
HOPEWELL AREA SD,Pennsylvania,Hopewell Area SD,42007,4212030
HOPEWELL CITY PUBLIC SCHOOLS,Virginia,HOPEWELL CITY PBLC SCHS,51670,5101980
HOPEWELL TOWNSHIP SCHOOL DISTRICT,New Jersey,Hopewell Township School District,34011,3407500
HOPEWELL VALLEY REGIONAL SCHOOL DISTRICT,New Jersey,Hopewell Valley Regional School District,34021,3407530
HOPEWELL-LOUDON LOCAL,Ohio,Hopewell-Loudon Local,39147,3904970
HOPKINS COUNTY,Kentucky,Hopkins County,21107,2102860
HOPKINS PUBLIC SCHOOL DISTRICT,Minnesota,HOPKINS PUBLIC SCHOOL DISTRICT,27053,2714260
HOPKINS PUBLIC SCHOOLS,Michigan,Hopkins Public Schools,26005,2618570
HOPKINTON,Massachusetts,Hopkinton,25017,2506330
HOPKINTON SAU OFFICE,New Hampshire,Hopkinton SAU Office,33013,3300014
HOPKINTON SCHOOL DISTRICT,New Hampshire,Hopkinton School District,33013,3303900
HOQUIAM SCHOOL DISTRICT,Washington,Hoquiam School District,53027,5303660
HORATIO SCHOOL DISTRICT,Arkansas,HORATIO SCHOOL DISTRICT,05133,0507860
HORICON ELEMENTARY,California,Horicon Elementary,06097,0617580
HORICON SCHOOL DISTRICT,Wisconsin,Horicon School District,55027,5506570
HORIZON ACADEMY WEST,New Mexico,HORIZON ACADEMY WEST,35001,3500107
HORIZON CHARTER DISTRICT,CALIFORNIA,Horizon Charter District,06061,0601730
HORIZON COMMUNITY LEARNING CENTER INC. (79264),Arizona,Horizon Community Learning Center Inc. (79264),04013,0400225
HORIZON COMMUNITY LEARNING CENTER INC. (92620),ARIZONA,Horizon Community Learning Center Inc. (92620),04013,0400921
HORIZON MONTESSORI PUBLIC SCHOOLS,Texas,HORIZON MONTESSORI PUBLIC SCHOOLS,48215,4800065
HORIZON SCIENCE ACAD CLEVELAND,Ohio,Horizon Science Acad Cleveland,39035,3900040
HORIZON SCIENCE ACAD-BELMONT,Illinois,Horizon Science Acad-Belmont Charter Sch,17031,1701412
HORIZON SCIENCE ACAD-MCKINLEY PK,Illinois,Horizon Science Acad-McKinley Park Charter Sch,17031,1701410
HORIZON SCIENCE ACADEMY COLUMBUS,Ohio,Horizon Science Academy Columbus,39049,3900042
HORIZON SCIENCE ACADEMY COLUMBUS MIDDLE SCHOOL,Ohio,Horizon Science Academy Columbus Middle School,39049,3901322
HORIZON SCIENCE ACADEMY DAYTON DOWNTOWN,Ohio,Horizon Science Academy Dayton Downtown,39113,3901383
HORIZON SCIENCE ACADEMY DAYTON HIGH SCHOOL,Ohio,Horizon Science Academy Dayton High School,39113,3901366
HORIZON SCIENCE ACADEMY ELEMENTARY SCHOOL,Ohio,Horizon Science Academy Elementary School,39049,3901353
HORIZON SCIENCE ACADEMY LORAIN,Ohio,Horizon Science Academy Lorain,39093,3901365
HORIZON SCIENCE ACADEMY PRIMARY,OHIO,Horizon Science Academy Primary,39049,3901606
HORIZON SCIENCE ACADEMY TOLEDO,Ohio,Horizon Science Academy Toledo,39095,3900510
HORIZON SCIENCE ACADEMY TWIN CITIES,MINNESOTA,Horizon Science Academy Twin Cities,27053,2700450
HORIZON SCIENCE ACADEMY YOUNGSTOWN,Ohio,Horizon Science Academy Youngstown,39099,3901389
HORIZON SCIENCE ACADEMY-CINCINNATI,Ohio,Horizon Science Academy-Cincinnati,39061,3900441
HORIZON SCIENCE ACADEMY-CLEVELAND MIDDLE SCHOOL,Ohio,Horizon Science Academy-Cleveland Middle School,39035,3900470
HORIZON SCIENCE ACADEMY-DAYTON,Ohio,Horizon Science Academy-Dayton,39113,3900444
HORIZON SCIENCE ACADEMY-DENISON MIDDLE SCHOOL,Ohio,Horizon Science Academy-Denison Middle School,39035,3900454
HORIZON SCIENCE ACADEMY-SPRINGFIELD,Ohio,Horizon Science Academy-Springfield,39095,3900451
HORNBROOK ELEMENTARY,California,Hornbrook Elementary,06093,0617620
HORNELL CITY SCHOOL DISTRICT,New York,HORNELL CITY SCHOOL DISTRICT,36101,3614820
HORRY 01,South Carolina,Horry 01,45051,4502490
HORSE CREEK 32,North Dakota,HORSE CREEK 32,38053,3809810
HORSEHEADS CENTRAL SCHOOL DISTRICT,New York,HORSEHEADS CENTRAL SCHOOL DISTRICT,36015,3614850
HORSESHOE BEND SCHOOL DISTRICT,Idaho,HORSESHOE BEND SCHOOL DISTRICT,16015,1601500
HORTONVILLE AREA SCHOOL DISTRICT,Wisconsin,Hortonville Area School District,55087,5506600
HOT SPRINGS COUNTY SCHOOL DISTRICT #1,Wyoming,Hot Springs County School District #1,56017,5603310
HOT SPRINGS ELEMENTARY,California,Hot Springs Elementary,06107,0617640
HOT SPRINGS K-12,Montana,Hot Springs K-12,30089,3014640
HOT SPRINGS SCHOOL DISTRICT,Arkansas,HOT SPRINGS SCHOOL DISTRICT,05051,0507890
HOT SPRINGS SCHOOL DISTRICT 23-2,South Dakota,Hot Springs School District 23-2,46047,4634480
HOUGHTON LAKE COMMUNITY SCHOOLS,Michigan,Houghton Lake Community Schools,26143,2618600
HOUGHTON-PORTAGE TOWNSHIP SCHOOL DISTRICT,Michigan,Houghton-Portage Township School District,26061,2628890
HOULTON-REGION 2,Maine,Houlton-Region 2,23003,2312260
HOUSE,New Mexico,HOUSE MUNICIPAL SCHOOLS,35037,3501320
HOUSTON CLASSICAL CHARTER SCHOOL,TEXAS,HOUSTON CLASSICAL CHARTER SCHOOL,48201,4801469
HOUSTON COUNTY,Alabama,Houston County,01069,0101770
HOUSTON COUNTY,Georgia,Houston County,13153,1302880
HOUSTON COUNTY,Tennessee,Houston County,47083,4701920
HOUSTON GATEWAY ACADEMY INC,Texas,HOUSTON GATEWAY ACADEMY INC,48201,4800118
HOUSTON HEIGHTS HIGH SCHOOL,Texas,HOUSTON HEIGHTS HIGH SCHOOL,48201,4800115
HOUSTON ISD,Texas,HOUSTON ISD,48201,4823640
HOUSTON PUBLIC SCHOOL DISTRICT,Minnesota,HOUSTON PUBLIC SCHOOL DISTRICT,27055,2714280
HOUSTON R-I,Missouri,HOUSTON R-I,29215,2914840
HOVEN SCHOOL DISTRICT 53-2,South Dakota,Hoven School District 53-2,46107,4634600
HOWARD COUNTY PUBLIC SCHOOLS,Maryland,Howard County Public Schools,24027,2400420
HOWARD GARDNER COMMUNITY CHARTER DISTRICT,CALIFORNIA,Howard Gardner Community Charter District,06073,0601520
HOWARD GARDNER MULTIPLE INTELLIGENCE CS,Pennsylvania,Howard Gardner Multiple Intelligence CS,42069,4200867
HOWARD LAKE-WAVERLY-WINSTED,Minnesota,HOWARD LAKE-WAVERLY-WINSTED,27171,2700123
HOWARD SCHOOL,Louisiana,Howard School,22061,2200151
HOWARD SCHOOL DISTRICT 48-3,South Dakota,Howard School District 48-3,46097,4600025
HOWARD UNIVERSITY MIDDLE SCHOOL OF MATH AND SCIENCE PCS,District of Columbia,Howard University Middle School of Math and Science PCS,11001,1100058
HOWARD-SUAMICO SCHOOL DISTRICT,Wisconsin,Howard-Suamico School District,55009,5506630
HOWARD-WINNESHIEK COMM SCHOOL DISTRICT,Iowa,Howard-Winneshiek Comm School District,19089,1914280
HOWARDS GROVE SCHOOL DISTRICT,Wisconsin,Howards Grove School District,55117,5506660
HOWE,Oklahoma,HOWE,40079,4015120
HOWE ISD,Texas,HOWE ISD,48181,4823670
HOWELL MOUNTAIN ELEMENTARY,California,Howell Mountain Elementary,06055,0617760
HOWELL PUBLIC SCHOOLS,Michigan,Howell Public Schools,26093,2618720
HOWELL TOWNSHIP PUBLIC SCHOOL DISTRICT,New Jersey,Howell Township Public School District,34025,3407560
HOWELL VALLEY R-I,Missouri,HOWELL VALLEY R-I,29091,2915210
HOWELLS-DODGE CONSOLIDATED SCHOOLS,Nebraska,HOWELLS-DODGE CONSOLIDATED SCHOOLS,31037,3100183
HOWLAND LOCAL,Ohio,Howland Local,39155,3905016
HOXIE COMMUNITY SCHOOLS,Kansas,Hoxie Community Schools,20179,2007530
HOXIE SCHOOL DISTRICT,Arkansas,HOXIE SCHOOL DISTRICT,05075,0507990
HOZHO ACADEMY,NEW MEXICO,HOZHO ACADEMY,35031,3500179
HUBBARD EXEMPTED VILLAGE,Ohio,Hubbard Exempted Village,39155,3904542
HUBBARD ISD,Texas,HUBBARD ISD,48217,4823730
HUBBARD ISD,Texas,HUBBARD ISD,48037,4823700
HUBBARD-RADCLIFFE COMM SCHOOL DISTRICT,Iowa,Hubbard-Radcliffe Comm School District,19083,1914310
HUBER HEIGHTS CITY,Ohio,Huber Heights City,39113,3904875
HUBER HEIGHTS PREPARATORY ACADEMY DBA PARMA ACADEMY,OHIO,Huber Heights Preparatory Academy dba Parma Academy,39035,3901612
HUCKABAY ISD,Texas,HUCKABAY ISD,48143,4823760
HUDSON,Massachusetts,Hudson,25017,2506390
HUDSON AREA SCHOOLS,Michigan,Hudson Area Schools,26091,2618810
HUDSON ARTS AND SCIENCE CHARTER SCHOOL,NEW JERSEY,Hudson Arts and Science Charter School,34017,3400787
HUDSON CITY,Ohio,Hudson City,39153,3905002
HUDSON CITY SCHOOL DISTRICT,New York,HUDSON CITY SCHOOL DISTRICT,36021,3614940
HUDSON COMM SCHOOL DISTRICT,Iowa,Hudson Comm School District,19013,1914340
HUDSON COUNTY SCHOOLS OF TECHNOLOGY SCHOOL DISTRICT,New Jersey,Hudson County Schools of Technology School District,34017,3407570
HUDSON FALLS CENTRAL SCHOOL DISTRICT,New York,HUDSON FALLS CENTRAL SCHOOL DISTRICT,36115,3614970
HUDSON ISD,Texas,HUDSON ISD,48005,4823790
HUDSON R-IX,Missouri,HUDSON R-IX,29013,2915240
HUDSON SAU OFFICE,New Hampshire,Hudson SAU Office,33011,3300050
HUDSON SCHOOL DISTRICT,New Hampshire,Hudson School District,33011,3303930
HUDSON SCHOOL DISTRICT,Wisconsin,Hudson School District,55109,5506690
HUDSONVILLE PUBLIC SCHOOL DISTRICT,Michigan,Hudsonville Public School District,26139,2618840
HUDSPETH CENTER ADMINISTRATION,Mississippi,HUDSPETH CENTER ADMINISTRATION,28121,2801196
HUENEME ELEMENTARY,California,Hueneme Elementary,06111,0617850
HUERFANO SCHOOL DISTRICT RE-1,Colorado,Huerfano School District Re-1,08055,0807080
HUFFMAN ISD,Texas,HUFFMAN ISD,48201,4823820
HUGHES SPRINGS ISD,Texas,HUGHES SPRINGS ISD,48067,4823850
HUGHES-ELIZABETH LAKES UNION ELEMENTARY,California,Hughes-Elizabeth Lakes Union Elementary,06037,0617880
HUGHSON UNIFIED,California,Hughson Unified,06099,0600060
HUGO,Oklahoma,HUGO,40023,4015210
HUGOTON PUBLIC SCHOOLS,Kansas,Hugoton Public Schools,20189,2007560
HULBERT,Oklahoma,HULBERT,40021,4015240
HULL,Massachusetts,Hull,25023,2506420
HULL-DAISETTA ISD,Texas,HULL-DAISETTA ISD,48291,4823880
HUMANITIES AND SCIENCES ACADEMY OF THE UNITED STAT (4337),Arizona,Humanities and Sciences Academy of the United Stat (4337),04013,0400108
HUMANSVILLE R-IV,Missouri,HUMANSVILLE R-IV,29167,2915300
HUMBLE ISD,Texas,HUMBLE ISD,48201,4823910
HUMBOLDT,Nevada,HUMBOLDT COUNTY SCHOOL DISTRICT,32013,3200210
HUMBOLDT,Kansas,Humboldt,20001,2007590
HUMBOLDT CITY SCHOOLS,Tennessee,Humboldt City Schools,47053,4701950
HUMBOLDT COMM SCHOOL DISTRICT,Iowa,Humboldt Comm School District,19091,1914370
HUMBOLDT COUNTY OFFICE OF EDUCATION,California,Humboldt County Office of Education,06023,0691009
HUMBOLDT COUNTY ROP,California,Humboldt County ROP,06023,0600100
HUMBOLDT TABLE ROCK STEINAUER,Nebraska,HUMBOLDT TABLE ROCK STEINAUER,31147,3100179
HUMBOLDT UNIFIED DISTRICT (4469),Arizona,Humboldt Unified District (4469),04025,0403870
HUME LAKE CHARTER DISTRICT,CALIFORNIA,Hume Lake Charter District,06019,0601752
HUME R-VIII,Missouri,HUME R-VIII,29013,2915330
HUMPHREY PUBLIC SCHOOLS,Nebraska,HUMPHREY PUBLIC SCHOOLS,31141,3172150
HUMPHREYS CO SCHOOL DIST,Mississippi,HUMPHREYS CO SCHOOL DIST,28053,2802040
HUMPHREYS COUNTY,Tennessee,Humphreys County,47085,4701980
HUNT ISD,Texas,HUNT ISD,48265,4823970
HUNTER-TANNERSVILLE CENTRAL SCHOOL DISTRICT,New York,HUNTER-TANNERSVILLE CENTRAL SCHOOL DISTRICT,36039,3615060
HUNTERDON CENTRAL REGIONAL HIGH SCHOOL DISTRICT,New Jersey,Hunterdon Central Regional High School District,34019,3407590
HUNTERDON COUNTY EDUCATIONAL SERVICES COMMISSION,New Jersey,Hunterdon County Educational Services Commission,34019,3480360
HUNTERDON COUNTY VOCATIONAL SCHOOL DISTRICT,New Jersey,Hunterdon County Vocational School District,34019,3400050
HUNTINGDON AREA SD,Pennsylvania,Huntingdon Area SD,42061,4212090
HUNTINGDON COUNTY CAREER AND TECHNOLOGY CENTER,Pennsylvania,Huntingdon County CTC,42061,4280250
HUNTINGDON SPECIAL SCHOOL DISTRICT,Tennessee,Huntingdon Special School District,47017,4702010
HUNTINGTON BEACH CITY ELEMENTARY,California,Huntington Beach City Elementary,06059,0618030
HUNTINGTON BEACH UNION HIGH,California,Huntington Beach Union High,06059,0618060
HUNTINGTON CO COM SCH CORP,Indiana,Huntington Co Com Sch Corp,18069,1804710
HUNTINGTON ISD,Texas,HUNTINGTON ISD,48005,4824000
HUNTINGTON LOCAL,Ohio,Huntington Local,39141,3904950
HUNTINGTON SD 16J,Oregon,Huntington SD 16J,41001,4106600
HUNTINGTON UNION FREE SCHOOL DISTRICT,New York,HUNTINGTON UNION FREE SCHOOL DISTRICT,36103,3615090
HUNTLEY COMM SCH DIST 158,Illinois,Huntley Community School District 158,17111,1719830
HUNTLEY PROJECT K-12 SCHOOLS,Montana,Huntley Project K-12 Schools,30111,3014700
HUNTSVILLE CITY,Alabama,Huntsville City,01089,0101800
HUNTSVILLE ISD,Texas,HUNTSVILLE ISD,48471,4824030
HUNTSVILLE SCHOOL DISTRICT,Arkansas,HUNTSVILLE SCHOOL DISTRICT,05087,0508130
HUPFELD/W VILLAGE (CHARTER),Oklahoma,HUPFELD/W VILLAGE (CHARTER),40109,4000775
HURLEY R-I,Missouri,HURLEY R-I,29209,2915390
HURLEY SCHOOL DISTRICT,Wisconsin,Hurley School District,55051,5506750
HURON ACADEMY,Michigan,Huron Academy,26099,2600211
HURON CITY SCHOOLS,Ohio,Huron City Schools,39043,3904413
HURON ISD,Michigan,Huron ISD,26063,2680500
HURON SCHOOL DISTRICT,Michigan,Huron School District,26163,2618930
HURON SCHOOL DISTRICT 02-2,South Dakota,Huron School District 02-2,46005,4635480
HURON VALLEY SCHOOLS,Michigan,Huron Valley Schools,26125,2618990
HURST-EULESS-BEDFORD ISD,Texas,HURST-EULESS-BEDFORD ISD,48439,4824060
HUSTISFORD SCHOOL DISTRICT,Wisconsin,Hustisford School District,55027,5506780
HUTCHINSON PUBLIC SCHOOL DISTRICT,Minnesota,HUTCHINSON PUBLIC SCHOOL DISTRICT,27085,2714970
HUTCHINSON PUBLIC SCHOOLS,Kansas,Hutchinson Public Schools,20155,2007620
HUTSONVILLE CUSD 1,Illinois,Hutsonville CUSD 1,17033,1719920
HUTTO ISD,Texas,HUTTO ISD,48491,4824100
HYANNIS AREA SCHOOLS,Nebraska,HYANNIS AREA SCHOOLS,31075,3172210
HYDABURG CITY SCHOOL DISTRICT,Alaska,Hydaburg City School District,02198,0200330
HYDE COUNTY SCHOOLS,North Carolina,Hyde County Schools,37095,3702280
HYDE LEADERSHIP CHARTER SCHOOL - BROOKLYN,New York,HYDE LEADERSHIP CHARTER SCHOOL - BROOKLYN,36047,3601030
HYDE PARK CENTRAL SCHOOL DISTRICT,New York,HYDE PARK CENTRAL SCHOOL DISTRICT,36027,3615180
HYDER ELEMENTARY DISTRICT (4502),Arizona,Hyder Elementary District (4502),04027,0403900
HYDESVILLE ELEMENTARY,California,Hydesville Elementary,06023,0618120
HYDRO-EAKLY,Oklahoma,HYDRO-EAKLY,40011,4000032
HYSHAM K-12 SCHOOLS,Montana,Hysham K-12 Schools,30103,3014760
I DREAM PCS,DISTRICT OF COLUMBIA,I Dream PCS,11001,1100114
I3 ACADEMY,ALABAMA,i3 Academy,01073,0100204
IBERIA PARISH,Louisiana,Iberia Parish,22045,2200720
IBERIA R-V,Missouri,IBERIA R-V,29131,2915420
IBERVILLE CHARTER ACADEMY,LOUISIANA,Iberville Charter Academy,22047,2200219
IBERVILLE PARISH,Louisiana,Iberville Parish,22047,2200750
ICADEMY GLOBAL,Michigan,ICademy Global,26139,2601040
ICAHN CHARTER SCHOOL 1,New York,ICAHN CHARTER SCHOOL 1,36005,3600049
ICAHN CHARTER SCHOOL 2,New York,ICAHN CHARTER SCHOOL 2,36005,3600943
ICAHN CHARTER SCHOOL 3,New York,ICAHN CHARTER SCHOOL 3,36005,3600955
ICAHN CHARTER SCHOOL 4,New York,ICAHN CHARTER SCHOOL 4,36005,3600995
ICAHN CHARTER SCHOOL 5,New York,ICAHN CHARTER SCHOOL 5,36005,3601049
ICAHN CHARTER SCHOOL 6,New York,ICAHN CHARTER SCHOOL 6,36005,3601069
ICAHN CHARTER SCHOOL 7,New York,ICAHN CHARTER SCHOOL 7,36005,3601091
ICEF INGLEWOOD ELEMENTARY CHARTER ACADEMY DISTRICT,CALIFORNIA,ICEF Inglewood Elementary Charter Academy District,06037,0601725
ICEF INNOVATION LOS ANGELES CHARTER DISTRICT,CALIFORNIA,ICEF Innovation Los Angeles Charter District,06037,0602263
ICEF VIEW PARK PREPARATORY ELEMENTARY DISTRICT,CALIFORNIA,ICEF View Park Preparatory Elementary District,06037,0601881
ICEF VIEW PARK PREPARATORY HIGH DISTRICT,CALIFORNIA,ICEF View Park Preparatory High District,06037,0601731
ICEF VIEW PARK PREPARATORY MIDDLE DISTRICT,CALIFORNIA,ICEF View Park Preparatory Middle District,06037,0602300
ICEF VISTA ELEMENTARY ACADEMY DISTRICT,CALIFORNIA,ICEF Vista Elementary Academy District,06037,0602368
ICEF VISTA MIDDLE ACADEMY DISTRICT,CALIFORNIA,ICEF Vista Middle Academy District,06037,0601918
IDA PUBLIC SCHOOL DISTRICT,Michigan,Ida Public School District,26115,2619050
IDABEL,Oklahoma,IDABEL,40089,4015370
IDAHO ARTS CHARTER SCHOOL INC.,IDAHO,IDAHO ARTS CHARTER SCHOOL INC.,16027,1600204
IDAHO BUREAU OF EDUCATIONAL SERVICES FOR THE DEAF AND THE BL,Idaho,IDAHO BUREAU OF EDUCATIONAL SERVICES FOR THE DEAF AND THE BL,16047,1603511
IDAHO COLLEGE AND CAREER READINESS ACADEMY INC.,IDAHO,IDAHO COLLEGE AND CAREER READINESS ACADEMY INC.,16001,1600171
IDAHO DEPARTMENT OF CORRECTIONS,Idaho,IDAHO DEPARTMENT OF CORRECTIONS,16001,1600017
IDAHO DEPARTMENT OF JUVENILE CORRECTIONS,Idaho,IDAHO DEPARTMENT OF JUVENILE CORRECTIONS,16001,1600016
IDAHO DIGITAL LEARNING ACADEMY,IDAHO,Idaho Digital Learning Academy,16001,1600187
IDAHO FALLS DISTRICT,Idaho,IDAHO FALLS DISTRICT,16019,1601530
IDAHO SCIENCE AND TECHNOLOGY CHARTER SCHOOL INC.,Idaho,IDAHO SCIENCE AND TECHNOLOGY CHARTER SCHOOL INC.,16011,1600145
IDAHO STEM ACADEMY INC.,Idaho,IDAHO STEM ACADEMY INC.,16011,1600169
IDAHO VIRTUAL ACADEMY INC.,Idaho,IDAHO VIRTUAL ACADEMY INC.,16001,1600004
IDAHO VIRTUAL EDUCATION PARTNERS INC.,Idaho,IDAHO VIRTUAL EDUCATION PARTNERS INC.,16001,1600148
IDAHO VIRTUAL HIGH SCHOOL INC.,Idaho,IDAHO VIRTUAL HIGH SCHOOL INC.,16039,1600005
IDALIA RJ-3 SCHOOL DISTRICT,Colorado,Idalia RJ-3 School District,08125,0800018
IDALOU ISD,Texas,IDALOU ISD,48303,4824120
IDEA PCS,District of Columbia,IDEA PCS,11001,1100013
IDEA PUBLIC SCHOOLS,LOUISIANA,IDEA Public Schools,22033,2200310
IDEA PUBLIC SCHOOLS,Texas,IDEA PUBLIC SCHOOLS,48215,4800211
IDITAROD AREA SCHOOL DISTRICT,Alaska,Iditarod Area School District,02290,0200520
IDJJ SCH DIST 428,Illinois,IDJJ Sch Dist 428,17031,1700006
IEMPIRE ACADEMY DISTRICT,CALIFORNIA,iEmpire Academy District,06071,0602464
IFTIN CHARTER DISTRICT,CALIFORNIA,Iftin Charter District,06073,0601527
IGNACIO SCHOOL DISTRICT NO. 11JT,Colorado,Ignacio School District No. 11Jt,08067,0804770
IGNITE ACHIEVEMENT ACADEMY,INDIANA,Ignite Achievement Academy,18097,1800190
IGNITE ENTREPRENEURSHIP ACADEMY,UTAH,Ignite Entrepreneurship Academy,49049,4900194
IGO ONO PLATINA UNION ELEMENTARY,California,Igo Ono Platina Union Elementary,06089,0618160
IKM-MANNING COMM SCHOOL DISTRICT,Iowa,IKM-Manning Comm School District,19027,1914880
IL DEPT OF CHLDRN AND FAMILY SVCS,ILLINOIS,IL Dept of Children and Family Services,17031,1701429
IL MATHEMATICS & SCIENCE ACADEMY,Illinois,Illinois Mathematics & Science Academy,17089,1700101
IL SPEC ED CHARTER COOP,ILLINOIS,IL Spec Ed Charter Coop,17031,1701441
IL VALLEY CENTRAL USD 321,Illinois,Il Valley Central USD 321,17143,1719970
ILEAD AGUA DULCE DISTRICT,CALIFORNIA,iLead Agua Dulce District,06037,0602174
ILEAD HYBRID DISTRICT,CALIFORNIA,iLEAD Hybrid District,06037,0602482
ILEAD LANCASTER CHARTER DISTRICT,CALIFORNIA,iLEAD Lancaster Charter District,06037,0602060
ILEAD ONLINE DISTRICT,CALIFORNIA,iLEAD Online District,06037,0601806
ILEAD SPRING MEADOWS,OHIO,iLEAD Spring Meadows,39095,3901585
ILLINI BLUFFS CUSD 327,Illinois,Illini Bluffs CUSD 327,17143,1719960
ILLINI CENTRAL CUSD 189,Illinois,Illini Central CUSD 189,17125,1700113
ILLINI WEST H S DIST 307,Illinois,Illini West H S Dist 307,17067,1701384
IMAGINE AKRON ACADEMY,Ohio,Imagine Akron Academy,39153,3901377
IMAGINE AVONDALE ELEMENTARY INC. (89784),Arizona,Imagine Avondale Elementary Inc. (89784),04013,0400780
IMAGINE AVONDALE MIDDLE INC. (90162),Arizona,Imagine Avondale Middle Inc. (90162),04013,0400802
IMAGINE CAMELBACK MIDDLE INC. (89561),Arizona,Imagine Camelback Middle Inc. (89561),04013,0400756
IMAGINE CHARTER ELEMENTARY AT CAMELBACK INC. (88365),Arizona,Imagine Charter Elementary at Camelback Inc. (88365),04013,0400445
IMAGINE CHARTER ELEMENTARY AT DESERT WEST INC. (88367),Arizona,Imagine Charter Elementary at Desert West Inc. (88367),04013,0400438
IMAGINE COLUMBUS PRIMARY ACADEMY,Ohio,Imagine Columbus Primary School,39049,3901521
IMAGINE COOLIDGE ELEMENTARY INC. (89786),Arizona,Imagine Coolidge Elementary Inc. (89786),04021,0400766
IMAGINE DESERT WEST MIDDLE INC. (89563),Arizona,Imagine Desert West Middle Inc. (89563),04013,0400754
IMAGINE ENVIRONMENTAL SCIENCE ACADEMY,Ohio,Imagine Environmental Science Academy,39095,3901488
IMAGINE INTERNATIONAL ACADEMY OF NORTH TEXAS,Texas,IMAGINE INTERNATIONAL ACADEMY OF NORTH TEXAS,48085,4801429
IMAGINE LEADERSHIP ACADEMY,Ohio,Imagine Leadership Academy,39153,3901549
IMAGINE ME LEADERSHIP CHARTER SCHOOL,New York,IMAGINE ME LEADERSHIP CHARTER SCHOOL,36047,3601031
IMAGINE MIDDLE AT EAST MESA INC. (88369),Arizona,Imagine Middle at East Mesa Inc. (88369),04013,0400442
IMAGINE MIDDLE AT SURPRISE INC. (88372),Arizona,Imagine Middle at Surprise Inc. (88372),04013,0400441
