ELSI Export,,,,
,,,,
National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/,,,,
,,,,
This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC,,,,
,,,,
Agency Name,State Name [District] Latest available year,Agency Name [District] 2021-22,County Number [District] 2021-22,Agency ID - NCES Assigned [District] Latest available year
ACHIEVEMENT FIRST ASPIRE CHARTER SCHOOL,New York,ACHIEVEMENT FIRST ASPIRE CHARTER SCHOOL,36047,3601109
ACHIEVEMENT FIRST BRIDGEPORT ACADEMY DISTRICT,Connecticut,Achievement First Bridgeport Academy District,09009,0900208
ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL,New York,ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL,36047,3600969
ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL,New York,ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL,36047,3600147
ACHIEVEMENT FIRST EAST NEW YORK CHARTER SCHOOL,New York,ACHIEVEMENT FIRST EAST NEW YORK CHARTER SCHOOL,36047,3600149
ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL,New York,ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL,36047,3600170
ACHIEVEMENT FIRST HARTFORD ACADEMY DISTRICT,Connecticut,Achievement First Hartford Academy District,09009,0900212
ACHIEVEMENT FIRST LEGACY CHARTER SCHOOL,NEW YORK,ACHIEVEMENT FIRST LEGACY CHARTER SCHOOL,36081,3601230
ACHIEVEMENT FIRST LINDEN CHARTER SCHOOL,NEW YORK,ACHIEVEMENT FIRST LINDEN CHARTER SCHOOL,36047,3601112
ACHIEVEMENT FIRST NORTH BROOKLYN PREPARATORY CHARTER SCHOOL,NEW YORK,ACHIEVEMENT FIRST NORTH BROOKLYN PREPARATORY CHARTER SCHOOL,36047,3601124
ACHIEVEMENT FIRST RHODE ISLAND,Rhode Island,Achievement First Rhode Island,44007,4400021
ACHIEVEMENT FIRST VOYAGER CHARTER SCHOOL,NEW YORK,ACHIEVEMENT FIRST VOYAGER CHARTER SCHOOL,36047,3601143
ACHIEVEMENT FIRST-BUSHWICK CHARTER SCHOOL,New York,ACHIEVEMENT FIRST-BUSHWICK CHARTER SCHOOL,36047,3600166
ACHIEVEMENT HOUSE CS,Pennsylvania,Achievement House CS,42029,4200128
ACHIEVEMENT PREPARATORY ACADEMY PCS,District of Columbia,Achievement Preparatory Academy PCS,11001,1100072
ACHIEVEMENT SCHOOL DISTRICT,Tennessee,Achievement School District,47037,4700147
ACHIEVEPOINT CAREER ACADEMY - CINCINNATI,OHIO,AchievePoint Career Academy - Cincinnati,39061,3901602
ACHIEVERS EARLY COLLEGE PREP CHARTER SCHOOL,NEW JERSEY,Achievers Early College Prep Charter School,34021,3400794
ACHILLE,Oklahoma,ACHILLE,40013,4002370
ACKERMAN CHARTER,California,Ackerman Charter,06061,0601680
ACORN MONTESSORI CHARTER SCHOOL (79437),Arizona,Acorn Montessori Charter School (79437),04025,0400320
ACTON PUBLIC SCHOOLS,Maine,Acton Public Schools,23031,2302220
