fips,stateabb,sedafips,sedafipsname,subject,grade,year,cs_mn_all,cs_mn_se_all,tot_asmt_all,cs_mn_asn,cs_mn_se_asn,tot_asmt_asn,cs_mn_blk,cs_mn_se_blk,tot_asmt_blk,cs_mn_ecd,cs_mn_se_ecd,tot_asmt_ecd,cs_mn_fem,cs_mn_se_fem,tot_asmt_fem,cs_mn_hsp,cs_mn_se_hsp,tot_asmt_hsp,cs_mn_mal,cs_mn_se_mal,tot_asmt_mal,cs_mn_mfg,cs_mn_se_mfg,tot_asmt_mfg,cs_mn_nam,cs_mn_se_nam,tot_asmt_nam,cs_mn_nec,cs_mn_se_nec,tot_asmt_nec,cs_mn_neg,cs_mn_se_neg,tot_asmt_neg,cs_mn_wag,cs_mn_se_wag,tot_asmt_wag,cs_mn_wbg,cs_mn_se_wbg,tot_asmt_wbg,cs_mn_whg,cs_mn_se_whg,tot_asmt_whg,cs_mn_wht,cs_mn_se_wht,tot_asmt_wht,cs_mn_wng,cs_mn_se_wng,tot_asmt_wng
18,IN,18,Indiana,rla,8,2015,.1220661960445167,.0295974187766378,79550,.6086995349122266,.0455105682223982,1499,-.448568082472235,.035486420235796,9458,-.2042238091617113,.0310395476829787,37065,.2943926864953131,.0301507388083252,39016,-.1458920908629299,.0325894217214338,7979,-.0472550443149309,.0301901622131222,40534,-.3419598641076418,.0426674796536627,79550,-.080859974833225,.0854703871624507,185,.4083458011043131,.0306431619995923,42485,.6130476192075188,.0436171999287911,79550,-.3593586096282891,.054431508707347,58541,.6978783294575317,.0463720073328532,66500,.3948501607769461,.0441946253961053,65021,.2485249865966432,.0298495972523102,57042,.3199215020237449,.0905593316544555,57227
18,IN,18,Indiana,mth,8,2016,.1589887529827783,.023434860863842,75851,.7836412604956989,.0411266695517199,1593,-.4442396683925643,.0311872430062342,9087,-.1809025922263398,.0246579465863973,34877,.2058821511185266,.0237434706872684,37147,-.1340127281151357,.0275344257672361,8096,.1098076114515148,.0239030496993504,38704,-.0961459810268177,.0336913758096872,75851,.2319171070913751,.0730333643557153,165,.4594260730940254,.0240794033043519,40974,.6401413492044472,.0344649744972843,75851,-.4846451813282742,.0474289770241355,55082,.743499667152983,.0391210970846332,62576,.433111821614476,.0362762763629589,61585,.2991666771958484,.0236170522544214,53489,.0672219963130305,.0767789847041342,53654
18,IN,18,Indiana,rla,8,2016,.167770441617725,.0209476992784313,76107,,,,-.4180004573645526,.0270593517545244,9062,-.178145079070709,.0222585314663995,34908,.3491696496002801,.0214821775586689,37261,-.1024942776400758,.0246803121342742,8040,-.0117604489813341,.021620518390021,38846,-.3608972725036606,.0304783739720498,76107,.1408862923922908,.0869516029243872,164,.4636250766414892,.0217441561750989,41199,.6413249285873982,.031116757848271,76107,,,,.7191395365599943,.0343605857974184,62915,.4030782390470512,.0325202311809176,61893,.3005744988737161,.021175461822753,53853,.1528825726317811,.0895081637214732,54017
18,IN,18,Indiana,mth,8,2017,.1498796048465693,.0346234815409776,76043,.6814075848921565,.0476235935737174,1811,-.4881534841722637,.0413210245361716,8839,-.2002157459264289,.035778022590444,33835,.1932578627370508,.0348489502146469,36962,-.1536051961229887,.0375044369606473,8486,.1061745166669692,.0349322520433719,39081,-.0867850755968768,.0493428146127015,76043,.1284422364772314,.0852019141572024,161,.4413004114262318,.0351952040446748,42208,.6412446692715829,.0501874142656242,76043,-.3811627000431549,.0589842970679836,55191,.7883247526610055,.0540188500703559,62219,.4528205543427675,.0511585533705629,61866,.2993624204352875,.0347921660754055,53380,.1546531481637196,.0920726259797142,53541
18,IN,18,Indiana,rla,8,2017,.2131945881679841,.029066898988619,75956,.60187741238389,.0416620477659412,1770,-.3433427912008651,.0344363704432764,8795,-.1285483921667955,.0303913871982115,33753,.382754548905682,.0295490633865163,36978,-.0506376628199355,.0316123625792886,8362,.0504853319703625,.029577565656964,38978,-.3321796714231507,.0418088597204264,75956,.1848862655211791,.084771805521824,162,.4887080438621766,.0298385055578797,42203,.617934096855946,.0425908219124548,75956,-.2604968236472824,.0509329800491693,55272,.6839523856120477,.0452097180385472,62297,.3920095197644887,.0430975813162342,61864,.3411408055536566,.0292911843140263,53502,.1509858430767647,.0897191209295532,53664
18,IN,18,Indiana,mth,8,2018,.1297518295758517,.0239503493997229,77994,.7975273817990434,.0388353164163131,1881,-.4748807138734975,.0307392898590405,9096,-.2149934047154687,.025044166180305,37223,.1963611903036462,.0242529007700135,37870,-.1808562611630296,.0275805917802179,9271,.0609074854009821,.0244296562729722,40124,-.1349606863832843,.0344240059647654,77994,-.0755790169005043,.1058825180406769,159,.452340288677482,.0246102784428615,40771,.667356325909801,.0351123550998074,77994,-.5220854407618186,.0457272099314136,55887,.7519467126549719,.039082658530899,63102,.4580958446280272,.0366502126993501,63277,.2765241717742934,.0241349746851987,54006,.3664222894593598,.1086152062995981,54165
18,IN,18,Indiana,rla,8,2018,.1322336998877523,.0233689794700403,77769,.6198708670456047,.03616824688076,1856,-.4164979886428768,.0280127524422378,9051,-.2127886417692672,.0243910351449595,37074,.3467891927404286,.0239067478513922,37799,-.1526617537290786,.0263500548213977,9175,-.07588238166392,.0239966128247522,39970,-.4229628013469715,.0338728629929286,77769,-.0478591752765421,.1060092527684835,158,.4492704680986601,.0240991737647389,40695,.6614426466941212,.0342883969505668,77769,-.3514981908823474,.0431850604113726,55803,.6849574019184402,.0366235342964124,62998,.4215206453705412,.0353679731259293,63122,.2684089409238849,.0235906293556096,53947,.328011194153161,.1086185846086398,54105
18,IN,18,Indiana,mth,8,2019,.0975786911438939,.032546636031021,76490,.6785768726348747,.0462422902094553,1801,-.547920521909296,.0379083599672762,9228,-.2514300671600395,.0336661901130482,35569,.1411717857905628,.0327529044814524,37173,-.2092537048142812,.0348364459596272,9486,.0512419647397656,.0328658658590871,39317,-.090056342822672,.0463995633079963,76490,-.243138543808168,.1190904583949744,150,.4094669236962539,.0333928550223687,40921,.661500451489346,.047418342689608,76490,-.4241067541150476,.0567026426688919,54060,.8066833627930549,.0501338508873967,61487,.4666747894929901,.0478532553153467,61745,.2583117583516995,.032806450780126,52259,.5038770979885246,.1235555211557051,52409
18,IN,18,Indiana,rla,8,2019,.0480820993780559,.0360982059433493,76315,.5070959819613398,.0496196963168774,1777,-.5641065561615792,.0399870521506725,9194,-.3106580533504644,.0371075116417595,35521,.2387860379814566,.036564103065294,37110,-.2458867189473246,.0381345828022552,9371,-.1337850635670859,.0365340324975774,39205,-.3723521516026229,.0516882103138683,76315,-.2434113775253698,.1274994722294935,149,.3658964149720237,.0368978379106814,40794,.67641447828526,.0523299418776906,76315,-.3091416329380139,.0615077516976583,54039,.766599301453988,.0540319728046853,61456,.4475045746218207,.0526757386119652,61633,.2022071839166788,.0363369150605741,52262,.4342717283599661,.1326097198637683,52411
19,IA,19,Iowa,mth,3,2009,.0965368420126949,.0390509741031767,34615,.2582970070564617,.0540466788438733,852,-.6067013028961846,.051496301304633,2195,-.251542116668666,.0411276308188889,13838,.0449473531139936,.0394847341013705,16881,-.3603972561170704,.0454677422755313,2820,.1456225834588824,.0394847207503155,17734,.1009878694659296,.0558398768077717,34615,-.3515129578408971,.0963016035466253,188,.3270440061076497,.0399598337707821,20777,.5789971148725598,.0573437779446944,34615,-.0686312863121756,.0667966535839939,29412,.7977395185783052,.0647418942879219,30755,.5497662383031363,.060056673198008,31380,.1902958579041053,.0392300461416675,28560,.5621991298949031,.1040247001026731,28748
