"","statecode","countycode","v153_rawvalue","v153_cihigh","v153_cilow","v153_numerator","v153_denominator"
"75","02","060",0.519434628975265,0.549616574135547,0.489252683814983,147,283
"76","02","063",0.627099664053751,0.674325004891554,0.579874323215948,1680,2679
"77","02","066",0.677137870855148,0.743574434227433,0.610701307482864,776,1146
"78","02","068",0.782363977485929,0.828552070320249,0.736175884651609,417,533
"79","02","070",0.631236442516269,0.761807427777291,0.500665457255247,873,1383
"80","02","090",0.616928350287483,0.680821837270107,0.55303486330486,22318,36176
"81","02","100",0.764182424916574,0.820187311909871,0.708177537923277,687,899
"82","02","105",0.72234273318872,0.761005633480809,0.683679832896631,666,922
"83","02","110",0.644085857817019,0.678854165716294,0.609317549917744,8462,13138
"84","02","122",0.767760020082002,0.785522270804685,0.749997769359318,18351,23902
"85","02","130",0.673367728162249,0.705101099851369,0.641634356473128,3785,5621
