"","statecode","countycode","b_tractsum","w_tractsum","tot_tractsum","bdiff","wdiff"
"218","01","033",8881,45093,57197,0,0
"219","01","033",8881,45093,57197,0,0
"220","01","033",8881,45093,57197,0,0
"221","01","033",8881,45093,57197,0,0
"222","01","033",8881,45093,57197,0,0
"223","01","033",8881,45093,57197,0,0
"224","01","033",8881,45093,57197,0,0
"225","01","033",8881,45093,57197,0,0
"226","01","033",8881,45093,57197,0,0
"227","01","035",5392,5766,11332,0,0
"228","01","035",5392,5766,11332,0,0
"229","01","035",5392,5766,11332,0,0
"230","01","035",5392,5766,11332,0,0
"231","01","035",5392,5766,11332,0,0
"232","01","037",3089,6443,9986,0,0
"233","01","037",3089,6443,9986,0,0
"234","01","037",3089,6443,9986,0,0
"235","01","039",4377,31643,37004,0,0
"236","01","039",4377,31643,37004,0,0
"237","01","039",4377,31643,37004,0,0
"238","01","039",4377,31643,37004,0,0
"239","01","039",4377,31643,37004,0,0
"240","01","039",4377,31643,37004,0,0
"241","01","039",4377,31643,37004,0,0
"242","01","039",4377,31643,37004,0,0
"243","01","039",4377,31643,37004,0,0
"244","01","039",4377,31643,37004,0,0
"245","01","039",4377,31643,37004,0,0
"246","01","039",4377,31643,37004,0,0
"247","01","039",4377,31643,37004,0,0
"248","01","039",4377,31643,37004,0,0
"249","01","041",3142,9346,12922,0,0
"250","01","041",3142,9346,12922,0,0
"251","01","041",3142,9346,12922,0,0
"252","01","041",3142,9346,12922,0,0
"253","01","041",3142,9346,12922,0,0
"254","01","041",3142,9346,12922,0,0
"255","01","043",543,80764,88352,0,0
"256","01","043",543,80764,88352,0,0
"257","01","043",543,80764,88352,0,0
"258","01","043",543,80764,88352,0,0
"259","01","043",543,80764,88352,0,0
"260","01","043",543,80764,88352,0,0
"261","01","043",543,80764,88352,0,0
"262","01","043",543,80764,88352,0,0
"263","01","043",543,80764,88352,0,0
"264","01","043",543,80764,88352,0,0
"265","01","043",543,80764,88352,0,0
"266","01","043",543,80764,88352,0,0
"267","01","043",543,80764,88352,0,0
"268","01","043",543,80764,88352,0,0
"269","01","043",543,80764,88352,0,0
"270","01","043",543,80764,88352,0,0
"271","01","043",543,80764,88352,0,0
"272","01","043",543,80764,88352,0,0
"273","01","043",543,80764,88352,0,0
"274","01","043",543,80764,88352,0,0
"275","01","043",543,80764,88352,0,0
"276","01","043",543,80764,88352,0,0
"277","01","045",10338,34289,48646,0,0
"278","01","045",10338,34289,48646,0,0
"279","01","045",10338,34289,48646,0,0
"280","01","045",10338,34289,48646,0,0
"281","01","045",10338,34289,48646,0,0
"282","01","045",10338,34289,48646,0,0
"283","01","045",10338,34289,48646,0,0
"284","01","045",10338,34289,48646,0,0
"285","01","045",10338,34289,48646,0,0
"286","01","045",10338,34289,48646,0,0
"287","01","045",10338,34289,48646,0,0
"288","01","045",10338,34289,48646,0,0
"289","01","045",10338,34289,48646,0,0
"290","01","045",10338,34289,48646,0,0
"291","01","047",26253,10019,37059,0,0
"292","01","047",26253,10019,37059,0,0
"293","01","047",26253,10019,37059,0,0
"294","01","047",26253,10019,37059,0,0
"295","01","047",26253,10019,37059,0,0
"296","01","047",26253,10019,37059,0,0
"297","01","047",26253,10019,37059,0,0
"298","01","047",26253,10019,37059,0,0
"299","01","047",26253,10019,37059,0,0
"300","01","047",26253,10019,37059,0,0
"301","01","047",26253,10019,37059,0,0
"302","01","047",26253,10019,37059,0,0
"303","01","047",26253,10019,37059,0,0
"304","01","047",26253,10019,37059,0,0
"305","01","047",26253,10019,37059,0,0
"306","01","047",26253,10019,37059,0,0
"307","01","047",26253,10019,37059,0,0
"308","01","049",867,57482,70990,0,0
"309","01","049",867,57482,70990,0,0
"310","01","049",867,57482,70990,0,0
"311","01","049",867,57482,70990,0,0
"312","01","049",867,57482,70990,0,0
"313","01","049",867,57482,70990,0,0
"314","01","049",867,57482,70990,0,0
"315","01","049",867,57482,70990,0,0
"316","01","049",867,57482,70990,0,0
"317","01","049",867,57482,70990,0,0
"318","01","049",867,57482,70990,0,0
"319","01","049",867,57482,70990,0,0
"320","01","049",867,57482,70990,0,0
"321","01","049",867,57482,70990,0,0
"322","01","049",867,57482,70990,0,0
"323","01","049",867,57482,70990,0,0
"324","01","049",867,57482,70990,0,0
"325","01","049",867,57482,70990,0,0
"326","01","049",867,57482,70990,0,0
"327","01","049",867,57482,70990,0,0
"328","01","049",867,57482,70990,0,0
"329","01","051",16302,63696,84358,0,0
"330","01","051",16302,63696,84358,0,0
"331","01","051",16302,63696,84358,0,0
"332","01","051",16302,63696,84358,0,0
"333","01","051",16302,63696,84358,0,0
"334","01","051",16302,63696,84358,0,0
"335","01","051",16302,63696,84358,0,0
"336","01","051",16302,63696,84358,0,0
"337","01","051",16302,63696,84358,0,0
"338","01","051",16302,63696,84358,0,0
"339","01","051",16302,63696,84358,0,0
"340","01","051",16302,63696,84358,0,0
"341","01","051",16302,63696,84358,0,0
"342","01","051",16302,63696,84358,0,0
"343","01","051",16302,63696,84358,0,0
"344","01","051",16302,63696,84358,0,0
"345","01","051",16302,63696,84358,0,0
"346","01","051",16302,63696,84358,0,0
"347","01","051",16302,63696,84358,0,0
"348","01","051",16302,63696,84358,0,0
"349","01","053",9703,21553,34160,0,0
"350","01","053",9703,21553,34160,0,0
"351","01","053",9703,21553,34160,0,0
"352","01","053",9703,21553,34160,0,0
"353","01","053",9703,21553,34160,0,0
"354","01","053",9703,21553,34160,0,0
"355","01","053",9703,21553,34160,0,0
"356","01","053",9703,21553,34160,0,0
"357","01","053",9703,21553,34160,0,0
"358","01","053",9703,21553,34160,0,0
"359","01","055",14405,80327,101711,0,0
"360","01","055",14405,80327,101711,0,0
"361","01","055",14405,80327,101711,0,0
"362","01","055",14405,80327,101711,0,0
"363","01","055",14405,80327,101711,0,0
"364","01","055",14405,80327,101711,0,0
"365","01","055",14405,80327,101711,0,0
"366","01","055",14405,80327,101711,0,0
"367","01","055",14405,80327,101711,0,0
"368","01","055",14405,80327,101711,0,0
"369","01","055",14405,80327,101711,0,0
"370","01","055",14405,80327,101711,0,0
"371","01","055",14405,80327,101711,0,0
"372","01","055",14405,80327,101711,0,0
"373","01","055",14405,80327,101711,0,0
"374","01","055",14405,80327,101711,0,0
"375","01","055",14405,80327,101711,0,0
"376","01","055",14405,80327,101711,0,0
"377","01","055",14405,80327,101711,0,0
"378","01","055",14405,80327,101711,0,0
"379","01","055",14405,80327,101711,0,0
"380","01","055",14405,80327,101711,0,0
"381","01","055",14405,80327,101711,0,0
"382","01","055",14405,80327,101711,0,0
"383","01","055",14405,80327,101711,0,0
"384","01","055",14405,80327,101711,0,0
"385","01","055",14405,80327,101711,0,0
"386","01","055",14405,80327,101711,0,0
"387","01","055",14405,80327,101711,0,0
"388","01","055",14405,80327,101711,0,0
"389","01","055",14405,80327,101711,0,0
"390","01","055",14405,80327,101711,0,0
"391","01","055",14405,80327,101711,0,0
"392","01","057",1802,13691,15862,0,0
"393","01","057",1802,13691,15862,0,0
"394","01","057",1802,13691,15862,0,0
"395","01","057",1802,13691,15862,0,0
"396","01","057",1802,13691,15862,0,0
"397","01","059",1167,24606,31676,0,0
"398","01","059",1167,24606,31676,0,0
"399","01","059",1167,24606,31676,0,0
"400","01","059",1167,24606,31676,0,0
"401","01","059",1167,24606,31676,0,0
"402","01","059",1167,24606,31676,0,0
"403","01","059",1167,24606,31676,0,0
"404","01","059",1167,24606,31676,0,0
"405","01","059",1167,24606,31676,0,0
"406","01","059",1167,24606,31676,0,0
"407","01","059",1167,24606,31676,0,0
"408","01","061",2277,22676,26467,0,0
"409","01","061",2277,22676,26467,0,0
"410","01","061",2277,22676,26467,0,0
"411","01","061",2277,22676,26467,0,0
"412","01","061",2277,22676,26467,0,0
"413","01","061",2277,22676,26467,0,0
"414","01","063",6172,1233,7470,0,0
"415","01","063",6172,1233,7470,0,0
"416","01","063",6172,1233,7470,0,0
"417","01","063",6172,1233,7470,0,0
"418","01","065",8308,5564,14544,0,0
"419","01","065",8308,5564,14544,0,0
"420","01","065",8308,5564,14544,0,0
"421","01","065",8308,5564,14544,0,0
"422","01","065",8308,5564,14544,0,0
"423","01","065",8308,5564,14544,0,0
"424","01","065",8308,5564,14544,0,0
"425","01","067",4391,12224,17193,0,0
"426","01","067",4391,12224,17193,0,0
"427","01","067",4391,12224,17193,0,0
"428","01","067",4391,12224,17193,0,0
"429","01","067",4391,12224,17193,0,0
"430","01","067",4391,12224,17193,0,0
"431","01","069",28509,71330,106498,0,0
"432","01","069",28509,71330,106498,0,0
"433","01","069",28509,71330,106498,0,0
"434","01","069",28509,71330,106498,0,0
"435","01","069",28509,71330,106498,0,0
"436","01","069",28509,71330,106498,0,0
"437","01","069",28509,71330,106498,0,0
"438","01","069",28509,71330,106498,0,0
"439","01","069",28509,71330,106498,0,0
"440","01","069",28509,71330,106498,0,0
"441","01","069",28509,71330,106498,0,0
"442","01","069",28509,71330,106498,0,0
"443","01","069",28509,71330,106498,0,0
"444","01","069",28509,71330,106498,0,0
"445","01","069",28509,71330,106498,0,0
"446","01","069",28509,71330,106498,0,0
"447","01","069",28509,71330,106498,0,0
"448","01","069",28509,71330,106498,0,0
"449","01","069",28509,71330,106498,0,0
"450","01","069",28509,71330,106498,0,0
"451","01","069",28509,71330,106498,0,0
"452","01","069",28509,71330,106498,0,0
"453","01","069",28509,71330,106498,0,0
"454","01","069",28509,71330,106498,0,0
"455","01","069",28509,71330,106498,0,0
"456","01","069",28509,71330,106498,0,0
"457","01","071",1524,46409,52188,0,0
"458","01","071",1524,46409,52188,0,0
"459","01","071",1524,46409,52188,0,0
"460","01","071",1524,46409,52188,0,0
"461","01","071",1524,46409,52188,0,0
"462","01","071",1524,46409,52188,0,0
"463","01","071",1524,46409,52188,0,0
"464","01","071",1524,46409,52188,0,0
"465","01","071",1524,46409,52188,0,0
"466","01","071",1524,46409,52188,0,0
"467","01","071",1524,46409,52188,0,0
"468","01","071",1524,46409,52188,0,0
"469","01","071",1524,46409,52188,0,0
"470","01","071",1524,46409,52188,0,0
"471","01","071",1524,46409,52188,0,0
"472","01","071",1524,46409,52188,0,0
"473","01","073",277973,319256,649276,0,0
"474","01","073",277973,319256,649276,0,0
"475","01","073",277973,319256,649276,0,0
"476","01","073",277973,319256,649276,0,0
"477","01","073",277973,319256,649276,0,0
"478","01","073",277973,319256,649276,0,0
"479","01","073",277973,319256,649276,0,0
"480","01","073",277973,319256,649276,0,0
"481","01","073",277973,319256,649276,0,0
"482","01","073",277973,319256,649276,0,0
"483","01","073",277973,319256,649276,0,0
"484","01","073",277973,319256,649276,0,0
"485","01","073",277973,319256,649276,0,0
"486","01","073",277973,319256,649276,0,0
"487","01","073",277973,319256,649276,0,0
"488","01","073",277973,319256,649276,0,0
"489","01","073",277973,319256,649276,0,0
"490","01","073",277973,319256,649276,0,0
"491","01","073",277973,319256,649276,0,0
"492","01","073",277973,319256,649276,0,0
"493","01","073",277973,319256,649276,0,0
"494","01","073",277973,319256,649276,0,0
"495","01","073",277973,319256,649276,0,0
"496","01","073",277973,319256,649276,0,0
"497","01","073",277973,319256,649276,0,0
"498","01","073",277973,319256,649276,0,0
"499","01","073",277973,319256,649276,0,0
"500","01","073",277973,319256,649276,0,0
"501","01","073",277973,319256,649276,0,0
"502","01","073",277973,319256,649276,0,0
"503","01","073",277973,319256,649276,0,0
"504","01","073",277973,319256,649276,0,0
"505","01","073",277973,319256,649276,0,0
"506","01","073",277973,319256,649276,0,0
"507","01","073",277973,319256,649276,0,0
"508","01","073",277973,319256,649276,0,0
"509","01","073",277973,319256,649276,0,0
"510","01","073",277973,319256,649276,0,0
"511","01","073",277973,319256,649276,0,0
"512","01","073",277973,319256,649276,0,0
"513","01","073",277973,319256,649276,0,0
"514","01","073",277973,319256,649276,0,0
"515","01","073",277973,319256,649276,0,0
"516","01","073",277973,319256,649276,0,0
"517","01","073",277973,319256,649276,0,0
"518","01","073",277973,319256,649276,0,0
"519","01","073",277973,319256,649276,0,0
"520","01","073",277973,319256,649276,0,0
"521","01","073",277973,319256,649276,0,0
"522","01","073",277973,319256,649276,0,0
"523","01","073",277973,319256,649276,0,0
"524","01","073",277973,319256,649276,0,0
"525","01","073",277973,319256,649276,0,0
"526","01","073",277973,319256,649276,0,0
"527","01","073",277973,319256,649276,0,0
"528","01","073",277973,319256,649276,0,0
"529","01","073",277973,319256,649276,0,0
"530","01","073",277973,319256,649276,0,0
"531","01","073",277973,319256,649276,0,0
"532","01","073",277973,319256,649276,0,0
"533","01","073",277973,319256,649276,0,0
"534","01","073",277973,319256,649276,0,0
"535","01","073",277973,319256,649276,0,0
"536","01","073",277973,319256,649276,0,0
"537","01","073",277973,319256,649276,0,0
"538","01","073",277973,319256,649276,0,0
"539","01","073",277973,319256,649276,0,0
"540","01","073",277973,319256,649276,0,0
"541","01","073",277973,319256,649276,0,0
"542","01","073",277973,319256,649276,0,0
"543","01","073",277973,319256,649276,0,0
"544","01","073",277973,319256,649276,0,0
"545","01","073",277973,319256,649276,0,0
"546","01","073",277973,319256,649276,0,0
"547","01","073",277973,319256,649276,0,0
"548","01","073",277973,319256,649276,0,0
"549","01","073",277973,319256,649276,0,0
"550","01","073",277973,319256,649276,0,0
"551","01","073",277973,319256,649276,0,0
"552","01","073",277973,319256,649276,0,0
"553","01","073",277973,319256,649276,0,0
"554","01","073",277973,319256,649276,0,0
"555","01","073",277973,319256,649276,0,0
"556","01","073",277973,319256,649276,0,0
"557","01","073",277973,319256,649276,0,0
"558","01","073",277973,319256,649276,0,0
"559","01","073",277973,319256,649276,0,0
"560","01","073",277973,319256,649276,0,0
"561","01","073",277973,319256,649276,0,0
"562","01","073",277973,319256,649276,0,0
"563","01","073",277973,319256,649276,0,0
"564","01","073",277973,319256,649276,0,0
"565","01","073",277973,319256,649276,0,0
"566","01","073",277973,319256,649276,0,0
"567","01","073",277973,319256,649276,0,0
"568","01","073",277973,319256,649276,0,0
"569","01","073",277973,319256,649276,0,0
"570","01","073",277973,319256,649276,0,0
"571","01","073",277973,319256,649276,0,0
"572","01","073",277973,319256,649276,0,0
"573","01","073",277973,319256,649276,0,0
"574","01","073",277973,319256,649276,0,0
"575","01","073",277973,319256,649276,0,0
"576","01","073",277973,319256,649276,0,0
"577","01","073",277973,319256,649276,0,0
"578","01","073",277973,319256,649276,0,0
"579","01","073",277973,319256,649276,0,0
"580","01","073",277973,319256,649276,0,0
"581","01","073",277973,319256,649276,0,0
"582","01","073",277973,319256,649276,0,0
"583","01","073",277973,319256,649276,0,0
"584","01","073",277973,319256,649276,0,0
"585","01","073",277973,319256,649276,0,0
"586","01","073",277973,319256,649276,0,0
"587","01","073",277973,319256,649276,0,0
"588","01","073",277973,319256,649276,0,0
"589","01","073",277973,319256,649276,0,0
"590","01","073",277973,319256,649276,0,0
"591","01","073",277973,319256,649276,0,0
"592","01","073",277973,319256,649276,0,0
"593","01","073",277973,319256,649276,0,0
"594","01","073",277973,319256,649276,0,0
"595","01","073",277973,319256,649276,0,0
"596","01","073",277973,319256,649276,0,0
"597","01","073",277973,319256,649276,0,0
"598","01","073",277973,319256,649276,0,0
"599","01","073",277973,319256,649276,0,0
"600","01","073",277973,319256,649276,0,0
"601","01","073",277973,319256,649276,0,0
"602","01","073",277973,319256,649276,0,0
"603","01","073",277973,319256,649276,0,0
"604","01","073",277973,319256,649276,0,0
"605","01","073",277973,319256,649276,0,0
"606","01","073",277973,319256,649276,0,0
"607","01","073",277973,319256,649276,0,0
"608","01","073",277973,319256,649276,0,0
"609","01","073",277973,319256,649276,0,0
"610","01","073",277973,319256,649276,0,0
"611","01","073",277973,319256,649276,0,0
"612","01","073",277973,319256,649276,0,0
"613","01","073",277973,319256,649276,0,0
"614","01","073",277973,319256,649276,0,0
"615","01","073",277973,319256,649276,0,0
"616","01","073",277973,319256,649276,0,0
"617","01","073",277973,319256,649276,0,0
"618","01","073",277973,319256,649276,0,0
"619","01","073",277973,319256,649276,0,0
"620","01","073",277973,319256,649276,0,0
"621","01","073",277973,319256,649276,0,0
"622","01","073",277973,319256,649276,0,0
"623","01","073",277973,319256,649276,0,0
"624","01","073",277973,319256,649276,0,0
"625","01","073",277973,319256,649276,0,0
"626","01","073",277973,319256,649276,0,0
"627","01","073",277973,319256,649276,0,0
"628","01","073",277973,319256,649276,0,0
"629","01","073",277973,319256,649276,0,0
"630","01","073",277973,319256,649276,0,0
"631","01","073",277973,319256,649276,0,0
"632","01","073",277973,319256,649276,0,0
"633","01","073",277973,319256,649276,0,0
"634","01","073",277973,319256,649276,0,0
"635","01","073",277973,319256,649276,0,0
"636","01","073",277973,319256,649276,0,0
"637","01","073",277973,319256,649276,0,0
"638","01","073",277973,319256,649276,0,0
"639","01","073",277973,319256,649276,0,0
"640","01","073",277973,319256,649276,0,0
"641","01","073",277973,319256,649276,0,0
"642","01","073",277973,319256,649276,0,0
"643","01","073",277973,319256,649276,0,0
"644","01","073",277973,319256,649276,0,0
"645","01","073",277973,319256,649276,0,0
"646","01","073",277973,319256,649276,0,0
"647","01","073",277973,319256,649276,0,0
"648","01","073",277973,319256,649276,0,0
"649","01","073",277973,319256,649276,0,0
"650","01","073",277973,319256,649276,0,0
"651","01","073",277973,319256,649276,0,0
"652","01","073",277973,319256,649276,0,0
"653","01","073",277973,319256,649276,0,0
"654","01","073",277973,319256,649276,0,0
"655","01","073",277973,319256,649276,0,0
"656","01","073",277973,319256,649276,0,0
"657","01","073",277973,319256,649276,0,0
"658","01","073",277973,319256,649276,0,0
"659","01","073",277973,319256,649276,0,0
"660","01","073",277973,319256,649276,0,0
"661","01","073",277973,319256,649276,0,0
"662","01","075",1299,12215,13666,0,0
"663","01","075",1299,12215,13666,0,0
"664","01","075",1299,12215,13666,0,0
"665","01","075",1299,12215,13666,0,0
"666","01","077",7914,78095,92267,0,0
"667","01","077",7914,78095,92267,0,0
"668","01","077",7914,78095,92267,0,0
"669","01","077",7914,78095,92267,0,0
"670","01","077",7914,78095,92267,0,0
"671","01","077",7914,78095,92267,0,0
"672","01","077",7914,78095,92267,0,0
"673","01","077",7914,78095,92267,0,0
"674","01","077",7914,78095,92267,0,0
"675","01","077",7914,78095,92267,0,0
"676","01","077",7914,78095,92267,0,0
"677","01","077",7914,78095,92267,0,0
"678","01","077",7914,78095,92267,0,0
"679","01","077",7914,78095,92267,0,0
"680","01","077",7914,78095,92267,0,0
"681","01","077",7914,78095,92267,0,0
"682","01","077",7914,78095,92267,0,0
"683","01","077",7914,78095,92267,0,0
"684","01","077",7914,78095,92267,0,0
"685","01","077",7914,78095,92267,0,0
"686","01","077",7914,78095,92267,0,0
"687","01","077",7914,78095,92267,0,0
"688","01","077",7914,78095,92267,0,0
"689","01","077",7914,78095,92267,0,0
"690","01","077",7914,78095,92267,0,0
"691","01","077",7914,78095,92267,0,0
"692","01","079",3249,24744,32932,0,0
"693","01","079",3249,24744,32932,0,0
"694","01","079",3249,24744,32932,0,0
"695","01","079",3249,24744,32932,0,0
"696","01","079",3249,24744,32932,0,0
"697","01","079",3249,24744,32932,0,0
