"year","measure_id","state_fips","county_fips","raw_value","ci_low","ci_high","numerator","denominator","other_data_1","other_data_1_ci_low","other_data_1_ci_high","other_data_1_flag","other_data_2","other_data_2_ci_low","other_data_2_ci_high","other_data_2_flag","other_data_3","other_data_3_ci_low","other_data_3_ci_high","other_data_3_flag","other_data_4","other_data_4_ci_low","other_data_4_ci_high","other_data_4_flag","race_aian","race_aian_ci_low","race_aian_ci_high","race_aian_flag","race_asian","race_asian_ci_low","race_asian_ci_high","race_asian_flag","race_black","race_black_ci_low","race_black_ci_high","race_black_flag","race_hispanic","race_hispanic_ci_low","race_hispanic_ci_high","race_hispanic_flag","race_white","race_white_ci_low","race_white_ci_high","race_white_flag","reliability","rank_ready","display","correction","show_details","state_min","state_max","trend_graph","last_updated"
2022,128,"31","000",49.3259573779603,46.1709614827575,52.4809532731631,939,1903663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.8468054918,77.6438536738202,168.876167188032,NA,20.6082879664772,10.6486031165265,35.9985317422194,NA,85.3019275483951,70.2876626568154,100.316192439975,NA,44.0466953310503,37.0211356387963,51.0722550233043,NA,46.5016159311536,42.8412182505255,50.1620136117817,NA,0,1,1,0,1,28.5853128662493,124.96395270595,0,"2022-04-01 15:30:00"
2022,128,"32","000",47.528121709609,44.9582642207382,50.0979791984797,1314,2764679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.1793682350342,22.8281242497689,77.1724653861165,NA,40.5092865184152,32.4022003345172,50.0286393034038,NA,88.9919559388361,79.0370391138045,98.9468727638678,NA,39.8542373060295,36.18410709428,43.524367517779,NA,43.6947766535742,39.6842336838853,47.7053196232631,NA,0,1,1,0,1,33.1750606481577,81.5847012368241,0,"2022-04-01 15:30:00"
2022,128,"33","000",32.2822896043225,28.804475185416,35.760104023229,331,1025330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.4346054356685,16.9922706358118,65.1655010170362,NA,26.5839610101905,15.7553400980646,42.0141194321784,NA,33.1164618101864,29.3309349125246,36.9019887078481,NA,0,1,1,0,1,21.4209210996073,52.6281165712782,0,"2022-04-01 15:30:00"
2022,128,"34","000",33.8211175470876,32.5309620363498,35.1112730578253,2640,7805774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.863350354631,18.642384265864,25.0843164433979,NA,69.9173639105272,65.0262667649015,74.8084610561528,NA,33.631696077686,31.1767768426497,36.0866153127222,NA,25.6894894712139,24.0593027261556,27.3196762162722,NA,0,1,1,0,1,21.6957912575604,55.7740037368583,0,"2022-04-01 15:30:00"
2022,128,"35","000",52.9039306317407,49.6492304327109,56.1586308307705,1015,1918572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.7738781452263,61.9675987688246,85.5801575216281,NA,60.881710417935,35.4658398796952,97.4775160831809,NA,91.9491072383193,66.5440248304655,123.854844029474,NA,48.8640821467161,44.8455111175915,52.8826531758408,NA,49.1475514062474,42.8637272154375,55.4313755970573,NA,0,1,1,0,1,38.3593428389656,88.8938274348575,0,"2022-04-01 15:30:00"
2022,128,"36","000",37.4647797817289,36.5233571102905,38.4062024531672,6084,16239252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.7062866138872,12.7085362510154,37.4505667057505,NA,25.7572057011154,23.1219559222687,28.392455479962,NA,63.0041414019306,59.9850434857381,66.0232393181232,NA,30.8083422171877,29.0983616522512,32.5183227821242,NA,31.4342637949994,30.2091259654883,32.6594016245105,NA,0,1,1,0,1,21.9103223395069,77.4346360572105,0,"2022-04-01 15:30:00"
2022,128,"37","000",55.3088096923097,53.7899386120026,56.8276807726169,5094,9210106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.5492391955643,67.9046988887068,101.718200866849,NA,37.8984033489459,31.4084535545437,44.3883531433482,NA,93.3067429138935,89.3130939736327,97.3003918541543,NA,42.0062114740485,38.7718982023207,45.2405247457764,NA,42.3737620051426,40.5614062677022,44.1861177425829,NA,0,1,1,0,1,29.6161743800347,116.61189441323,0,"2022-04-01 15:30:00"
2022,128,"38","000",55.0071900261075,49.5755945170247,60.4387855351903,394,716270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.984626562526,84.2887022880848,138.655166767131,NA,74.0850496369833,35.52666095816,136.245044021468,NA,79.2790888190058,53.4892683106178,113.175828849152,NA,48.4322685253427,30.701903676735,72.6721828104046,NA,46.5088717019553,40.8446271835763,52.1731162203344,NA,0,1,1,0,1,43.4721855641292,176.275404396516,0,"2022-04-01 15:30:00"
2022,128,"39","000",56.9248406510446,55.4709320097907,58.3787492922985,5889,10345220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.3892174252547,33.1626695070824,47.615765343427,NA,111.349321101527,106.48137662417,116.217265578885,NA,46.9600869363661,41.7492477963369,52.1709260763952,NA,45.5016995950521,43.9804729483504,47.0229262417537,NA,0,1,1,0,1,25.1133238739813,81.4569151102578,0,"2022-04-01 15:30:00"
2022,128,"40","000",60.4731770974393,58.0075983126361,62.9387558822424,2311,3821529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.098999199984,67.0808290057418,83.1171693942261,NA,58.0765823407816,44.2105853220725,74.9145598607892,NA,93.4697926014682,84.0219330641576,102.917652138779,NA,51.5880036334606,46.1600009247207,57.0160063422004,NA,53.7724492007438,50.7056104612882,56.8392879401994,NA,0,1,1,0,1,34.3934148075115,128.134724510342,0,"2022-04-01 15:30:00"
2022,128,"41","000",39.5737432962079,37.4819832928711,41.6655032995447,1375,3474526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.9514808751302,36.1321534780994,77.4833260875626,NA,37.1737746658179,29.1383052437933,46.7404405769479,NA,59.9331514848822,47.374669180545,74.7992854515116,NA,38.3009344396328,33.9449410060323,42.6569278732334,NA,38.3816568455626,35.8600069669396,40.9033067241856,NA,0,1,1,0,1,25.452308736505,94.5328501654325,0,"2022-04-01 15:30:00"
2022,128,"42","000",47.5929330076955,46.2776641152338,48.9082019001572,5030,10568796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.4113731448354,26.2265560903324,36.5961901993384,NA,93.4631353490884,88.6474051043459,98.2788655938308,NA,45.3485939694588,41.7409343768162,48.9562535621014,NA,38.4747313215925,37.0432022459544,39.9062603972305,NA,0,1,1,0,1,28.5035629453682,82.4722262649784,0,"2022-04-01 15:30:00"
2022,128,"44","000",40.2985019947758,35.950517327234,44.6464866623177,330,818889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.7876143099699,14.2843188946783,54.7804832802651,NA,78.6617022392364,60.0271657533264,101.25320337543,NA,38.1046204175709,30.305735427494,47.297881074582,NA,32.7581547331439,27.6822260689968,37.8340833972909,NA,0,1,1,0,1,26.7077804620446,45.5679431434605,0,"2022-04-01 15:30:00"
2022,128,"45","000",58.9675896738696,56.7087540599939,61.2264252877453,2618,4439727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.1498053623759,15.9428192243414,37.7370564829999,NA,89.6506848137043,84.6826912117531,94.6186784156555,NA,44.9055363433931,38.5864382911636,51.2246343956226,NA,45.4898364762191,42.8479838632777,48.1316890891605,NA,0,1,1,0,1,40.3197204499382,117.806444012487,0,"2022-04-01 15:30:00"
2022,128,"46","000",66.7018416159587,61.2686550986217,72.1350281332957,579,868042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.447115303345,128.345198737523,172.549031869168,NA,NA,NA,NA,NA,94.658553076403,65.9331505139142,131.647132844038,NA,34.4104345546307,21.300601337216,52.6000044814567,NA,52.877995042688,47.2239220288069,58.532068056569,NA,0,1,1,0,1,29.4977340377035,198.873052701359,0,"2022-04-01 15:30:00"
2022,128,"47","000",61.0053644304438,59.0351058035717,62.9756230573159,3683,6037174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.0529149854941,25.755563469691,46.612945966787,NA,101.149987647953,95.5581536970566,106.741821598849,NA,56.6626523738017,50.6660409015464,62.659263846057,NA,50.073253481799,47.8912072880551,52.255299675543,NA,0,1,1,0,1,24.0094148393928,113.112329243888,0,"2022-04-01 15:30:00"
2022,128,"48","000",48.5724556303777,47.7784711835509,49.3664400772045,14377,29599080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.738999688915,12.2912455847816,32.7765606299218,NA,32.628077326465,29.6813693365449,35.5747853163852,NA,84.4101675567259,81.4637869429461,87.3565481705057,NA,42.2286669664731,41.1753842382925,43.2819496946537,NA,46.4232808428276,45.0680915943307,47.7784700913245,NA,0,1,1,0,1,27.0164063267512,147.399452516319,0,"2022-04-01 15:30:00"
2022,128,"49","000",46.4025770367465,44.2134156661354,48.5917384073575,1726,3719621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.1632110579479,32.9088655580268,81.2656153893405,NA,64.3042509703052,51.2915889578777,79.6130382762539,NA,70.0610532035059,51.8315528515265,92.6244278484369,NA,52.2068652027742,46.721645013103,57.6920853924453,NA,43.4771325569069,41.0404231706391,45.9138419431747,NA,0,1,1,0,1,29.6055066242321,92.6935659760087,0,"2022-04-01 15:30:00"
2022,128,"50","000",35.8719826770935,30.3984277518303,41.3455376023566,165,459969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.1179958493922,35.5424599476166,136.305633279112,NA,NA,NA,NA,NA,34.9996666698412,29.3416879172948,40.6576454223876,NA,0,1,1,0,1,29.7987438683354,52.9731161435571,0,"2022-04-01 15:30:00"
2022,128,"51","000",47.5875662114083,46.0227909851219,49.1523414376947,3553,7466236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.7523206810131,25.279798974351,34.2248423876753,NA,77.3060165070005,73.0492379418304,81.5627950721707,NA,42.7517467142229,38.8234504272267,46.6800430012191,NA,38.3718541850367,36.4922206237075,40.2514877463659,NA,0,1,1,0,1,22.1967370796493,225.363654988732,0,"2022-04-01 15:30:00"
2022,128,"53","000",38.1141423655113,36.6289525494703,39.5993321815523,2530,6637956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.9716631586272,52.8529892449132,83.703088089588,NA,32.2504511398336,27.9887741941543,36.5121280855128,NA,70.6001936331044,62.7026365108434,78.4977507553653,NA,40.1562111532305,36.8739368081982,43.4384854982628,NA,33.6682544595339,31.8642042706839,35.472304648384,NA,0,1,1,0,1,22.6700822923987,94.7597839476926,0,"2022-04-01 15:30:00"
2022,128,"54","000",57.6666261988588,53.7575199352961,61.5757324624215,836,1449712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.5717761878943,72.1642409880655,116.958870137719,NA,35.7864062779581,19.5647613207756,60.043508912951,NA,56.6796772289397,52.6177453022766,60.7416091556028,NA,0,1,1,0,1,29.7784483443183,110.513519487217,0,"2022-04-01 15:30:00"
2022,128,"55","000",48.6637339915198,46.7461179537884,50.5813500292513,2474,5083868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.869538423615,51.8854092083747,94.530032831987,NA,47.6000442343845,38.6869671339462,57.9513459047881,NA,118.484309346254,109.202561923661,127.766056768848,NA,46.3797157424391,41.0138079494589,51.7456235354192,NA,38.64806028224,36.6350214783012,40.6610990861789,NA,0,1,1,0,1,23.7435694499406,142.247510668563,0,"2022-04-01 15:30:00"
