"statecode","countycode","v014_numerator","v014_denominator","v014_rawvalue","v014_cihigh","v014_cilow"
"38","057",13,1464,8.87978142076503,15.1846966654091,4.7281096250026
"08","023",13,682,19.0615835777126,32.5958884430482,10.1494904560173
"42","113",13,624,20.8333333333333,35.625634484229,11.0928725817369
"19","143",13,1201,10.8243130724396,18.5099050109566,5.76349083347527
"17","171",13,924,14.0692640692641,24.0588700412975,7.49129057467944
"20","123",13,1271,10.228166797797,17.4904767255381,5.44606804957026
"29","103",13,817,15.9118727050184,27.2097869255311,8.47240206977209
"48","333",13,1016,12.7952755905512,21.8803109430698,6.81294536516122
"50","013",13,1190,10.9243697478992,18.6810049732428,5.81676679916286
"41","023",13,1112,11.6906474820144,19.9913632357544,6.22477741996745
"08","097",14,2601,5.38254517493272,9.0309962021667,2.94268753414095
"27","167",14,1140,12.280701754386,20.6049308086277,6.71397392657947
"30","001",14,2368,5.91216216216216,9.91960351428867,3.2322340693837
"30","007",14,1265,11.0671936758893,18.5688704520439,6.05053776782656
"31","021",14,1268,11.0410094637224,18.5249377932457,6.03622261537902
"27","089",14,1882,7.43889479277365,12.4812014462463,4.06691300547322
"17","133",14,6871,2.0375491194877,3.41866120242113,1.11394706393547
"51","181",14,1047,13.3715377268386,22.4351682156978,7.31034410343897
"08","073",14,969,14.4478844169247,24.2410950689738,7.89879285479938
"42","023",14,659,21.2443095599393,35.6443416112831,11.6144617242801
"46","051",14,1336,10.4790419161677,17.5820517379009,5.72898972776991
"38","055",14,1717,8.1537565521258,13.6806180092228,4.45773458142143
"40","003",14,895,15.6424581005587,26.2453867283079,8.55187740368782
"27","055",14,3645,3.84087791495199,6.44434049981772,2.09984369720181
"19","159",14,1089,12.8558310376492,21.569900020051,7.02840245757631
"30","101",14,795,17.6100628930818,29.5466932350133,9.6275852532083
"08","015",14,2761,5.07062658457081,8.50764980870539,2.77215873824723
"19","003",14,641,21.8408736349454,36.6452747610539,11.9406088553832
"13","307",14,553,25.3164556962025,42.4767108893953,13.8407419101277
"27","155",14,621,22.5442834138486,37.8254768467562,12.3251695270541
"48","087",14,657,21.3089802130898,35.7528479784407,11.649817772147
"17","069",14,685,20.4379562043796,34.2914176961103,11.1736208413147
"46","087",14,1296,10.8024691358025,18.1247076557373,5.90581039838009
"37","177",15,591,25.3807106598985,41.8616224559828,14.2053910876198
"19","195",15,1374,10.9170305676856,18.0059817114162,6.11017913594128
"20","163",15,1012,14.8221343873518,24.4468565923773,8.29583609958825
"48","129",15,1105,13.5746606334842,22.3893383452361,7.59763450930617
"51","115",15,1457,10.2951269732327,16.9802463085009,5.76210441508807
"51","021",15,944,15.8898305084746,26.2078589740316,8.89341751354165
"27","121",15,1885,7.95755968169761,13.1247845472073,4.45378574683465
"17","175",15,1101,13.6239782016349,22.4706801739199,7.62523717782317
"17","153",15,1104,13.5869565217391,22.4096185430125,7.60451642462257
"40","053",15,945,15.8730158730159,26.1801257899321,8.88400648971779
"27","081",15,1064,14.0977443609023,23.2520854055318,7.8904005007362
"30","065",15,911,16.4654226125137,27.1572106163401,9.21557204476763
"08","093",15,2636,5.69044006069803,9.38551550511602,3.18489610500126
"48","447",15,291,51.5463917525773,85.0179342662744,28.8501241676403
"16","085",15,1777,8.4411930219471,13.9224641932954,4.72447165604013
"40","025",15,510,29.4117647058824,48.5102330813448,16.46154143683
"19","189",15,2567,5.84339696143358,9.63779465192281,3.27050492122451
"27","125",15,899,16.6852057842047,27.519709534467,9.33858301755652
"48","413",15,734,20.4359673024523,33.7060202608799,11.4378557667348
"35","028",15,4103,3.65586156470875,6.02978768498314,2.04615796558209
"32","027",15,914,16.4113785557987,27.0680731635512,9.18532399648065
"19","151",16,1459,10.9664153529815,17.8087714856484,6.26825390928137
"19","119",16,2769,5.77825929938606,9.38353109337701,3.30277445057476
"13","101",16,954,16.7714884696017,27.2358465383239,9.58635477320914
"20","185",16,778,20.5655526992288,33.3971691485359,11.7549903003104
"46","101",16,1406,11.3798008534851,18.4800836398015,6.50453944071232
"26","097",16,1728,9.25925925925926,15.036456943033,5.29246669770922
"30","095",16,2019,7.9247152055473,12.8692410091931,4.5296594619324
"56","017",16,859,18.6263096623981,30.2479599505948,10.6465453476618
"25","007",16,2873,5.56909154194222,9.04385575968011,3.18321700440011
"55","011",16,2649,6.04001510003775,9.80860611459455,3.45239050722594
"38","009",16,1388,11.5273775216138,18.7197389031419,6.5888922576668
"48","295",16,772,20.7253886010363,33.6567326393277,11.8463503285512
"46","067",16,1503,10.645375914837,17.2874235512714,6.08475213149802
"26","089",16,3366,4.7534165181224,7.71925062316131,2.7169882512304
