statecode,countycode,v063_race_black,v063_race_white,v063_race_hispanic,v063_race_asian,v063_race_aian,v063_race_white_cilow,v063_race_white_cihigh,v063_race_black_cilow,v063_race_black_cihigh,v063_race_hispanic_cilow,v063_race_hispanic_cihigh,v063_race_asian_cilow,v063_race_asian_cihigh,v063_race_aian_cilow,v063_race_aian_cihigh,v063_race_flag_CT
28,021,33155,40240,,,,26269.787234042553,54210.21276595745,25391.255319148935,40918.744680851065,,,,,,,
28,023,29623,55500,,,,50431.40425531915,60568.59574468085,25256.191489361703,33989.8085106383,,,,,,,
28,025,30550,59844,30972,,,47867.14893617021,71820.85106382979,27704.72340425532,33395.27659574468,23255.914893617024,38688.085106382976,,,,,
28,027,29779,61125,55095,,,37618.10638297873,84631.89361702127,24163.510638297874,35394.48936170213,24708.446808510642,85481.55319148937,,,,,
28,029,41265,61789,44141,31694,,53079.21276595745,70498.78723404255,37822.78723404255,44707.21276595745,27547.127659574468,60734.87234042553,3708.2978723404267,59679.70212765958,,,
28,031,36338,60278,,,,44845.82978723405,75710.17021276595,17724.55319148936,54951.446808510635,,,,,,,
28,033,69963,91096,68940,88542,,87371.40425531915,94820.59574468085,64189.04255319149,75736.9574468085,59137.617021276594,78742.3829787234,42104.893617021284,134979.10638297873,,,
28,035,34760,66591,55987,,,61368.70212765958,71813.29787234042,29886.808510638297,39633.1914893617,48394.82978723404,63579.17021276596,,,,,
28,037,25737,52152,,,,44967.31914893617,59336.68085106383,17414.44680851064,34059.553191489365,,,,,,,
28,039,26123,60693,,,,52250.10638297872,69135.89361702127,18990.744680851065,33255.255319148935,,,,,,,
28,041,,56015,,,,49148.446808510635,62881.553191489365,,,,,,,,,
28,043,34647,62948,,,,47453.87234042553,78442.12765957447,25787.08510638298,43506.914893617024,,,,,,,
28,045,40100,72133,53792,,,64273.936170212764,79992.06382978724,22689.957446808512,57510.04255319149,19268.595744680853,88315.40425531915,,,,,
28,047,39092,67159,52525,65917,47393,63982.48936170213,70335.51063829787,35233.95744680851,42950.04255319149,43600.744680851065,61449.255319148935,33103.382978723406,98730.61702127659,38891.72340425532,55894.27659574468,
28,049,43863,76366,39602,49792,48409,71769.23404255319,80962.76595744681,42121.04255319149,45604.95744680851,20354.68085106383,58849.31914893617,32832.34042553192,66751.65957446808,45052.574468085106,51765.425531914894,
28,051,26469,52076,,,,39962.12765957447,64189.87234042553,22584.744680851065,30353.255319148935,,,,,,,
28,053,26812,64844,,,,55248.936170212764,74439.06382978724,22396.340425531915,31227.659574468085,,,,,,,
28,055,,58750,,,,43694.34042553192,73805.65957446808,,,,,,,,,
28,057,60347,58580,53482,,,49745.10638297872,67414.89361702127,19607.595744680853,101086.40425531915,16373.063829787236,90590.93617021276,,,,,
28,059,41515,70310,60274,94191,26069,66293.48936170213,74326.51063829787,30556.872340425532,52473.12765957447,47660.89361702128,72887.10638297873,67461.12765957447,120920.87234042553,13109.17021276596,39028.82978723404,
28,061,33293,60332,,,,50966.89361702128,69697.10638297873,25208.744680851065,41377.255319148935,,,,,,,
28,063,29556,39287,50464,,,11681.382978723406,66892.61702127659,21932.85106382979,37179.14893617021,39302.12765957447,61625.87234042553,,,,,
28,065,34873,45893,,,,28092.148936170215,63693.85106382979,28135.127659574468,41610.87234042553,,,,,,,
28,067,31404,64761,38188,55822,,57171.21276595745,72350.78723404255,27400.595744680853,35407.40425531915,32735.744680851065,43640.255319148935,42943.19148936171,68700.8085106383,,,
28,069,31707,63231,,,,41649.553191489365,84812.44680851063,9266.48936170213,54147.51063829787,,,,,,,
28,071,40440,74266,44750,,,64703.10638297872,83828.89361702127,31905.36170212766,48974.63829787234,4675.446808510642,84824.55319148937,,,,,
28,073,48818,77862,41556,92703,,68620.8085106383,87103.1914893617,39519.617021276594,58116.382978723406,12173.872340425532,70938.12765957447,33231,152175,,,
28,075,27177,69778,50066,55302,50653,65356.382978723406,74199.6170212766,23889.68085106383,30464.31914893617,5893.914893617024,94238.08510638298,44392.72340425532,66211.27659574468,13702.531914893618,87603.46808510637,
28,077,31238,47984,53750,,31607,38788.085106382976,57179.914893617024,24777.744680851065,37698.255319148935,52548.97872340425,54951.02127659575,,,7123.08510638298,56090.914893617024,
28,079,46055,52900,,,58077,45127.914893617024,60672.085106382976,42376.87234042553,49733.12765957447,,,,,43134.53191489362,73019.46808510639,
28,081,43429,79760,67708,,,74012.25531914894,85507.74468085106,37184.40425531915,49673.59574468085,16686.042553191495,118729.9574468085,,,,,
28,083,27799,75378,,,,58560.12765957447,92195.87234042553,23647.85106382979,31950.14893617021,,,,,,,
28,085,32596,60044,16517,42090,,50612.17021276596,69475.82978723405,23135.574468085106,42056.425531914894,15539.978723404256,17494.021276595744,9568.297872340427,74611.70212765958,,,
28,087,34339,74375,83527,,,68191.17021276595,80558.82978723405,30171.17021276596,38506.82978723404,43745.553191489365,123308.44680851063,,,,,
28,089,47029,109372,60576,84167,,101148.34042553192,117595.65957446808,44028.82978723404,50029.17021276596,54716.255319148935,66435.74468085106,61423.85106382979,106910.14893617021,,,
28,091,32105,49737,,,,44928.14893617021,54545.85106382979,24610.531914893618,39599.46808510638,,,,,,,
28,093,42338,58787,42948,,,49959.255319148935,67614.74468085106,35490.51063829787,49185.48936170213,23701.872340425532,62194.12765957447,,,,,
28,095,33371,62567,40185,,,57053.97872340425,68080.02127659574,25289.127659574468,41452.87234042553,25770.36170212766,54599.63829787234,,,,,
28,097,23782,67667,,,,42781.553191489365,92552.44680851063,17811.44680851064,29752.55319148936,,,,,,,
28,099,29460,60105,,,53458,54242.87234042553,65967.12765957447,18097.957446808512,40822.04255319149,,,,,39324.553191489365,67591.44680851063,
28,101,39017,63589,,,29326,56726.02127659575,70451.97872340426,34346.36170212766,43687.63829787234,,,,,26049.40425531915,32602.59574468085,
28,103,29258,56776,,,,41715.574468085106,71836.4255319149,24269.23404255319,34246.76595744681,,,,,,,
28,105,33091,53033,29248,25625,,44074.19148936171,61991.80851063829,24363.340425531915,41818.65957446808,7859.574468085106,50636.425531914894,9570.872340425532,41679.12765957447,,,
28,107,33074,58571,,,,53109.21276595745,64032.78723404255,24730,41418,,,,,,,
28,109,38659,58575,66731,106080,41832,52814.14893617021,64335.85106382979,26287.76595744681,51030.23404255319,30956.531914893618,102505.46808510637,80554.72340425532,131605.27659574468,37561.70212765958,46102.29787234042,
