statecode,countycode,v161_numerator,v161_denominator,v161_rawvalue,v161_otherdata1,v161_cilow,v161_cihigh,v161_sourceflag,v161_flag_CT
05,043,22,87162,25.58311671368246,25.240357036323168,15.836352465019512,39.10651147555002,,
05,045,100,635648,16.153023230191042,15.731977446637133,12.924901780023188,19.381144680358897,,
05,047,21,87524,24.988722294184292,23.993418947945706,15.044843195397984,39.02298527009256,,
05,049,13,61806,17.575907073118845,21.033556612626608,8.428330610270821,32.322718883607415,,
05,051,154,499378,30.634728987817414,30.838362923476804,25.51248735976234,35.75697061587249,,
05,053,23,91347,23.48363846730972,25.17871413401644,14.536742340330603,35.897235957898474,,
05,055,51,230430,22.158383840762593,22.132534826194505,16.39289434903079,29.29455855216834,,
05,057,12,101275,11.303616810302294,11.848926191063935,5.642724785014914,20.225292854543376,,
05,059,51,167167,30.985106654734516,30.508413741946676,22.845971646399036,41.08175611918816,,
05,061,15,64099,26.289532284461977,23.401301112341848,14.372731935844685,44.10936805944831,,
05,063,38,189570,20.597143355780368,20.04536582792636,14.42598598586066,28.515128380237492,,
05,065,21,69370,27.72294965271172,30.272452068617557,16.430376952951462,43.81421253494952,,
05,067,19,83574,21.141802469135243,22.734343216789913,12.529972040646628,33.41316268141059,,
05,069,44,325969,13.502626562716051,13.498216088032912,9.68971794539058,18.3178375981113,,
05,071,28,131066,22.81232397425084,21.36328262096959,15.033465243510424,33.19073368919373,,
05,073,,,,,,,,
05,075,17,81631,21.995822800627607,20.825421714789723,12.572513243391743,35.71983818656772,,
05,077,17,42554,37.486943376681076,39.949240964421676,21.427027137359527,60.87644748101299,,
05,079,10,64819,15.540762956865953,15.427575247998272,7.452399901262866,28.580016394136585,,
05,081,15,60009,27.792651201260338,24.996250562415636,15.194501034856337,46.631346192066694,,
05,083,28,106744,27.443000309116748,26.2309825376602,17.92667892598726,40.210353872666126,,
05,085,59,373121,15.669050036293168,15.81256482481554,11.867585480397494,20.301071767699106,,
05,087,26,85441,31.939805596582797,30.43035544995962,20.464436116174312,47.52389895747819,,
05,089,22,85230,27.02603777080552,25.812507333098672,15.743662942157089,43.27130452452397,,
05,091,45,214050,21.723067208986706,21.02312543798178,15.721091451187702,29.26082897180737,,
05,093,30,197937,16.500866585723386,15.156337622576881,11.050889323629871,23.697996897399953,,
05,095,,,,,,,,
05,097,,,,,,,,
05,099,,,,,,,,
05,101,10,36708,36.0968953152268,27.24201808870001,16.505799097685152,68.52315129634482,,
05,103,12,112697,9.222871706967897,10.648020799133961,4.42272547294735,16.96118944209919,,
05,105,16,50993,37.03315723647103,31.37685564685349,20.727176981083527,61.080561035496196,,
05,107,14,81252,20.607808938488127,17.230345099197557,10.972790339684485,35.239980900643424,,
05,109,13,51814,24.35097990014626,25.089744084610338,12.582506653486826,42.536261348613614,,
05,111,32,114363,26.120033357738137,27.981077796140358,17.62307682097632,37.28797175732457,,
05,113,29,97797,32.45565741278616,29.653261347485095,21.201112969326854,47.55505793965988,,
05,115,59,320853,20.450224603887712,18.38848319947141,15.48880040703347,26.49563798618805,,
05,117,11,40268,24.96004750063904,27.31697625906427,11.413323110379467,47.38194507627826,,
05,119,319,1981866,16.045798406715274,16.095941905254946,14.246026776725321,17.84557003670523,,
05,121,16,92814,16.460908348992913,17.238778632533887,9.213045445743479,27.149765025170222,,
05,123,11,116967,9.496715221622399,9.40436191404413,4.554044082415688,17.46479741552857,,
05,125,142,628569,21.549516342681738,22.590996374304176,17.91273636481698,25.186296320546496,,
05,127,11,49923,24.326640473683774,22.033932255673736,11.665569674238094,44.73755796172046,,
05,129,13,39327,29.007875261118915,33.05617006128105,14.480626815600559,51.90310164349104,,
05,131,130,641974,19.905565299273995,20.2500412789303,16.4014196323465,23.40971096620149,,
05,133,15,80810,18.24209928184009,18.56205915109516,10.20996448957445,30.087568593873236,,
05,135,27,88266,36.84206546709873,30.589354904493234,23.60540651568706,54.81807305773084,,
05,137,25,62907,37.958545776621136,39.741205271273465,23.186065895677217,58.623895329212324,,
05,139,32,190390,18.295959217401982,16.80760544146226,12.43121662679617,25.96965368033939,,
05,141,26,81024,33.01999424901647,32.08925750394945,20.43989687310749,50.47456877414557,,
05,143,183,1250063,14.748562025300743,14.639262181186067,12.576218917735996,16.92090513286549,,
05,145,72,390896,18.151967193606833,18.419221480905406,14.095712788987369,23.011943699612555,,
05,147,,,,,,,,
05,149,20,102850,21.393898649040732,19.445794846864363,12.88052453117877,33.40922284952792,,
06,000,21210,196112672,10.269178025329627,10.815211369921062,10.128862346650052,10.4094937040092,,
06,001,748,8233393,8.46593221819657,9.08495440458144,7.849825845863882,9.082038590529258,,
06,003,,,,,,,,
06,005,61,204317,26.173856661814902,29.855567573917,19.42674090892275,34.50696699991949,,
06,007,184,1054714,16.890136502172613,17.445487591896953,14.3414730650934,19.438799939251826,,
06,009,51,231562,21.092779364335005,22.02433905390349,15.136542640460123,28.614736925003342,,
06,011,11,108973,10.176349240752886,10.094243528213411,5.079996875816631,18.208299789209946,,
06,013,589,5779263,9.64781403899331,10.191610937242343,8.85095700012186,10.444671077864761,,
06,015,32,137551,22.60936209146727,23.264098407136263,15.254441659935955,32.27627023179119,,
