statecode,countycode,v063_rawvalue,v063_cilow,v063_cihigh,v063_numerator,v063_denominator,v063_sourceflag,v063_flag_CT
08,115,45999,39312.36170212766,52685.63829787234,,,,
08,117,105135,91112.36170212766,119157.63829787234,,,,
08,119,88089,76665,99513,,,,
08,121,54255,46379.255319148935,62130.744680851065,,,,
08,123,90675,85146.48936170213,96203.51063829787,,,,
08,125,61870,53231.70212765958,70508.29787234042,,,,
09,000,91477,89805.34042553192,93148.65957446808,,,,
09,001,,,,,,,U
09,003,,,,,,,U
09,005,,,,,,,U
09,007,,,,,,,U
09,009,,,,,,,U
09,011,,,,,,,U
09,013,,,,,,,U
09,015,,,,,,,U
09,110,90965,89045.51063829787,92884.48936170213,,,,A
09,120,92858,87333.06382978724,98382.93617021276,,,,A
09,130,99807,94080.70212765958,105533.29787234042,,,,A
09,140,81392,78775.48936170213,84008.51063829787,,,,A
09,150,88129,80403.3829787234,95854.6170212766,,,,A
09,160,91206,84609.91489361702,97802.08510638298,,,,A
09,170,80953,77645.4255319149,84260.5744680851,,,,A
09,180,82733,78255.3829787234,87210.6170212766,,,,A
09,190,121285,115453.85106382979,127116.14893617021,,,,A
10,000,81615,79747.93617021276,83482.06382978724,,,,
10,001,72498,66341.5744680851,78654.4255319149,,,,
10,003,86798,83228.29787234042,90367.70212765958,,,,
10,005,78092,73421.36170212766,82762.63829787234,,,,
11,000,104643,99930.65957446808,109355.34042553192,,,,
11,001,104643,99930.65957446808,109355.34042553192,,,,
12,000,73283,72600.27659574468,73965.72340425532,,,,
12,001,61843,56523,67163,,,,
12,003,69399,61111,77687,,,,
12,005,70859,67116.53191489361,74601.46808510639,,,,
12,007,59468,52040.255319148935,66895.74468085106,,,,
12,009,77961,74262.6170212766,81659.3829787234,,,,
12,011,74367,72250.91489361702,76483.08510638298,,,,
12,013,47523,40982.914893617024,54063.085106382976,,,,
12,015,71381,66827.12765957447,75934.87234042553,,,,
12,017,54447,50566.31914893617,58327.68085106383,,,,
12,019,82249,76376.14893617021,88121.85106382979,,,,
12,021,91402,85302.76595744681,97501.23404255319,,,,
12,023,58949,52486.36170212766,65411.63829787234,,,,
12,027,54288,48082.72340425532,60493.27659574468,,,,
12,029,50966,43869.48936170213,58062.51063829787,,,,
12,031,69455,66390.48936170213,72519.51063829787,,,,
12,033,70838,67467.27659574468,74208.72340425532,,,,
12,035,74753,67285.93617021276,82220.06382978724,,,,
12,037,55816,47620.936170212764,64011.063829787236,,,,
12,039,51288,45898.89361702128,56677.10638297872,,,,
12,041,56884,48419.65957446808,65348.34042553192,,,,
12,043,55240,46697.02127659575,63782.97872340425,,,,
12,045,66806,60985.574468085106,72626.4255319149,,,,
12,047,49260,42596,55924,,,,
12,049,53913,46953.51063829787,60872.48936170213,,,,
12,051,54619,47442.65957446808,61795.34042553192,,,,
12,053,64092,61026.29787234042,67157.70212765958,,,,
12,055,51495,46961.382978723406,56028.617021276594,,,,
12,057,76528,73994.89361702128,79061.10638297872,,,,
12,059,51582,44881.063829787236,58282.936170212764,,,,
12,061,73686,69258.4255319149,78113.5744680851,,,,
12,063,50923,44536.617021276594,57309.382978723406,,,,
12,065,59967,51091.59574468085,68842.40425531915,,,,
12,067,58096,50107.063829787236,66084.93617021276,,,,
12,069,70784,67234.55319148937,74333.44680851063,,,,
12,071,71811,69349.3829787234,74272.6170212766,,,,
12,073,66063,61834.40425531915,70291.59574468085,,,,
12,075,53214,50142.34042553192,56285.65957446808,,,,
12,077,51523,44027.34042553192,59018.65957446808,,,,
12,079,52713,46544.65957446808,58881.34042553192,,,,
