"","v133_rawvalue","statecode","countycode","v133_numerator","v133_denominator"
"243",9,"06","111",0.0230981553157514,0.105
"244",8.5,"06","113",0.0288449069434112,0.123
"245",7.2,"06","115",0.108820405057275,0.145
"246",8.5,"08","001",0.0473529812352361,0.116
"247",6.9,"08","003",0.125746328005321,0.149
"248",9,"08","005",0.021031484070467,0.103
"249",7.8,"08","007",0.10708222627001,0.12
"250",6.7,"08","009",0.102930803984252,0.172
"251",6.7,"08","011",0.0512607993727413,0.195
"252",8.9,"08","013",0.026040508856823,0.105
"253",8.9,"08","014",0.0504120521388877,0.093
"254",8.4,"08","015",0.0292348470154224,0.126
"255",8.1,"08","017",0.0891928352422919,0.112
"256",9,"08","019",0.028015882588468,0.102
"257",7.9,"08","021",0.0325680242560954,0.147
"258",1.2,"08","023",0.579652655691026,0.195
"259",7.3,"08","025",0.00571518149827123,0.187
"260",8.5,"08","027",0.0630599712213443,0.107
"261",7.8,"08","029",0.0351300342479551,0.151
"262",8.3,"08","031",0.0425794072322652,0.125
"263",4.8,"08","033",0.373097127912158,0.129
"264",9.6,"08","035",0.0195009374062839,0.076
"265",8.8,"08","037",0.0471147127840683,0.099
"266",9.2,"08","039",0.070130407512896,0.072
"267",8.3,"08","041",0.0645225527975358,0.115
"268",6.8,"08","043",0.133919669072082,0.153
"269",8.8,"08","045",0.0398311154398396,0.106
"270",NA,"08","047",NA,0.109
"271",9.3,"08","049",0.00260928519300224,0.101
"272",8.9,"08","051",0.0307668669734112,0.104
"273",8.6,"08","053",0.0409074298361759,0.114
"274",6.2,"08","055",0.119722984022268,0.184
"275",7.2,"08","057",0.0823499731077425,0.157
"276",8.9,"08","059",0.0346884137682882,0.101
"277",5.1,"08","061",0.356277920925501,0.124
"278",7.8,"08","063",0.0933872374899628,0.125
"279",6.8,"08","065",0.228574096385145,0.106
"280",8.5,"08","067",0.0417780112706326,0.119
"281",8.6,"08","069",0.0471746142225999,0.111
"282",6.3,"08","071",0.126236126490434,0.179
"283",7.9,"08","073",0.0768082864286205,0.129
"284",7.8,"08","075",0.0791477215665105,0.13
"285",7.8,"08","077",0.0884385886187063,0.129
"286",8.4,"08","079",0.0343628368151388,0.123
"287",6.9,"08","081",0.146987337735813,0.142
"288",7.8,"08","083",0.0731004209981419,0.136
"289",7.9,"08","085",0.0765676363541687,0.128
"290",8.2,"08","087",0.0531030901731752,0.127
"291",6.8,"08","089",0.0461927117649025,0.19
"292",9.1,"08","091",0.0105843336792216,0.104
"293",8.3,"08","093",0.108694157232361,0.095
"294",8.4,"08","095",0.0163364939149829,0.133
"295",8.9,"08","097",0.0197270760030424,0.108
"296",6.8,"08","099",0.126221692239317,0.156
"297",6.2,"08","101",0.171478001537724,0.161
"298",8.3,"08","103",0.0207249516739268,0.135
"299",8.1,"08","105",0.0507173740832152,0.132
"300",9.1,"08","107",0.0246107163844139,0.096
"301",6.6,"08","109",0.157275840762998,0.151
"302",5.2,"08","111",0.290066301959937,0.151
"303",8.9,"08","113",0.02000618118872,0.109
"304",7.5,"08","115",0.0503023403833287,0.158
"305",9.4,"08","117",0.0147291367036631,0.091
"306",8.8,"08","119",0.032231295926204,0.107
"307",7.6,"08","121",0.139602758184309,0.114
"308",8.4,"08","123",0.05914419384201,0.112
"309",8.2,"08","125",0.0579690928249841,0.125
"310",NA,"09","001",0.0301833786939695,NA
"311",NA,"09","003",0.0366610130828008,NA
"312",NA,"09","005",0.0337201525125157,NA
"313",NA,"09","007",0.0577703206570477,NA
"314",NA,"09","009",0.0487523551076424,NA
"315",NA,"09","011",0.0767961841537556,NA
"316",NA,"09","013",0.0654725273638439,NA
"317",NA,"09","015",0.0256783793301575,NA
"318",NA,"09","110",NA,0.131
"319",NA,"09","120",NA,0.15
"320",NA,"09","130",NA,0.102
"321",NA,"09","140",NA,0.136
"322",NA,"09","150",NA,0.127
"323",NA,"09","160",NA,0.127
"324",NA,"09","170",NA,0.135
"325",NA,"09","180",NA,0.134
"326",NA,"09","190",NA,0.111
"327",7.8,"10","001",0.0649752889910259,0.137
"328",8.2,"10","003",0.060224370161172,0.12
"329",7.9,"10","005",0.0687276789021236,0.133
