statecode,countycode,race,v147_rawvalue,v147_cilow,v147_cihigh
01,057,5,NA,NA,NA
01,057,6,NA,NA,NA
01,057,8,NA,NA,NA
01,059,1,70.86610249609735,69.76319088274465,71.96901410945006
01,059,2,NA,NA,NA
01,059,3,NA,NA,NA
01,059,4,NA,NA,NA
01,059,5,NA,NA,NA
01,059,6,NA,NA,NA
01,059,8,81.9651638213283,74.8313851967372,89.0989424459194
01,061,1,70.66483323741292,69.49636540201004,71.8333010728158
01,061,2,64.01090532491887,59.75520894280842,68.26660170702931
01,061,3,NA,NA,NA
01,061,4,NA,NA,NA
01,061,5,NA,NA,NA
01,061,6,NA,NA,NA
01,061,8,NA,NA,NA
01,063,1,NA,NA,NA
01,063,2,70.37395211933652,67.86069274074762,72.88721149792542
01,063,3,NA,NA,NA
01,063,4,NA,NA,NA
01,063,5,NA,NA,NA
01,063,6,NA,NA,NA
01,063,8,NA,NA,NA
01,065,1,73.06727886854125,71.05604019963604,75.07851753744646
01,065,2,67.50736461074827,65.41754631855332,69.59718290294322
01,065,3,NA,NA,NA
01,065,4,NA,NA,NA
01,065,5,NA,NA,NA
01,065,6,NA,NA,NA
01,065,8,NA,NA,NA
01,067,1,75.88199682388647,74.32939101903472,77.43460262873822
01,067,2,69.56393977614626,66.81014314553077,72.31773640676174
01,067,3,NA,NA,NA
01,067,4,NA,NA,NA
01,067,5,NA,NA,NA
01,067,6,NA,NA,NA
01,067,8,NA,NA,NA
01,069,1,74.71798957040767,74.09793323970948,75.33804590110586
01,069,2,69.71467499673687,68.66462844833866,70.76472154513509
01,069,3,NA,NA,NA
01,069,4,NA,NA,NA
01,069,5,NA,NA,NA
01,069,6,NA,NA,NA
01,069,8,84.82035194869923,74.732897610969,94.90780628642945
01,071,1,70.39181581429659,69.61707852673403,71.16655310185915
01,071,2,68.51217947766553,63.512594419060584,73.51176453627048
01,071,3,NA,NA,NA
01,071,4,NA,NA,NA
01,071,5,NA,NA,NA
01,071,6,NA,NA,NA
01,071,8,91.943719757063,55.407053348989756,128.48038616513622
01,073,1,74.68512449896431,74.39128551986907,74.97896347805955
01,073,2,69.31772694822992,68.94049692690363,69.6949569695562
01,073,3,NA,NA,NA
01,073,4,83.0871318837273,81.06259745427921,85.11166631317538
01,073,5,NA,NA,NA
01,073,6,NA,NA,NA
01,073,8,89.57983767031165,82.15657514922488,97.00310019139842
01,075,1,72.47149440494853,70.95311745702388,73.98987135287318
01,075,2,NA,NA,NA
01,075,3,NA,NA,NA
01,075,4,NA,NA,NA
01,075,5,NA,NA,NA
01,075,6,NA,NA,NA
01,075,8,NA,NA,NA
01,077,1,75.14236329983848,74.55674177461843,75.72798482505853
