statecode,countycode,v127_race_white,v127_race_white_cilow,v127_race_white_cihigh,v127_race_black,v127_race_black_cilow,v127_race_black_cihigh,v127_race_aian,v127_race_aian_cilow,v127_race_aian_cihigh,v127_race_asian,v127_race_asian_cilow,v127_race_asian_cihigh,v127_race_nhopi,v127_race_nhopi_cilow,v127_race_nhopi_cihigh,v127_race_tom,v127_race_tom_cilow,v127_race_tom_cihigh,v127_race_hispanic,v127_race_hispanic_cilow,v127_race_hispanic_cihigh,v127_race_flag_CT
02,110,255.58418455942066,218.449953193956,292.71841592488533,,,,922.6721485864903,746.4968669173326,1127.9188550118395,,,,,,,749.6074300211543,540.2511010263146,1013.2514804767258,,,,
02,122,354.1108477735253,326.0160001949541,382.2056953520965,,,,682.9568766311992,551.2343429078448,836.6683140383477,,,,,,,707.8283425612665,521.896743001896,938.4776908265985,,,,
02,130,393.85049489585697,321.7265499140592,465.97443987765473,,,,1151.2959547403884,886.6381731928135,1470.1792316811184,,,,,,,,,,,,,
02,150,299.3392125263993,227.87087776595004,386.12577482445334,,,,1192.7337718893996,879.4277275829268,1581.39194025955,243.95982747746828,154.64960350322795,366.0595243759932,,,,,,,,,,
02,158,,,,,,,890.3470760745901,743.9146882156124,1036.7794639335677,,,,,,,,,,,,,
02,164,,,,,,,1090.4967352116084,683.4084981638781,1651.0251622602345,,,,,,,,,,,,,
02,170,420.5801968666112,397.4163214732641,443.7440722599583,,,,637.6410662197667,528.3095688666601,746.9725635728732,,,,,,,337.78463652826764,247.30080765886984,450.5573690955207,195.02700779085276,129.59403033417675,281.86832695380025,
02,180,,,,,,,797.9712734040377,671.4573074131276,924.4852393949477,,,,,,,,,,,,,
02,185,,,,,,,813.1412074502324,665.1377188880854,961.1446960123794,,,,,,,,,,,,,
02,188,,,,,,,996.7419984736687,829.0807340409056,1164.4032629064318,,,,,,,,,,,,,
02,195,199.7808171337575,122.03131326512764,308.5452688666315,,,,,,,,,,,,,,,,,,,
02,198,513.5582838050412,370.12763902170536,694.1816083144474,,,,839.6849443187524,643.7816319767944,1076.4382027648955,,,,,,,,,,,,,
02,220,220.59147349366384,161.50068315223095,294.23811267358235,,,,892.2130100891765,614.1583827949249,1252.9987874251167,,,,,,,,,,,,,
02,230,,,,,,,,,,,,,,,,,,,,,,
02,240,450.26637680263076,357.5764971546398,559.6399941555862,,,,1294.337067977505,852.9762836434567,1883.1924785823592,,,,,,,,,,,,,
02,275,481.54675787472513,256.40336770813525,823.4596215893024,,,,,,,,,,,,,,,,,,,
02,282,,,,,,,,,,,,,,,,,,,,,,
02,290,622.663849280008,398.95247724379436,926.4744510787967,,,,1208.7650231040166,983.8719450571418,1433.6581011508913,,,,,,,,,,,,,
04,000,393.25201637702617,389.89081139161186,396.61322136244047,580.9860643053844,566.2149195097237,595.7572091010451,919.2047406366208,897.740495214155,940.6689860590867,172.60598912780566,163.79950158332434,181.41247667228697,621.4226188171376,546.9905223938418,695.8547152404334,495.44510146601266,470.2350053136822,520.6551976183431,392.84734034900237,387.7457266585546,397.94895403945014,
04,001,721.3348736905851,635.2552347882156,807.4145125929547,,,,1109.3526891527324,1051.4644292163605,1167.2409490891043,,,,,,,982.0714901652726,582.0378055112137,1552.096350988647,610.9476753499731,473.47605675817834,775.8819514035379,
04,003,517.8608374409158,488.2387806782948,547.4828942035368,439.7471650155698,336.37173712043216,564.8736301397868,,,,142.94427583050975,83.27030833270392,228.86763283448124,,,,487.5318756907792,345.00657166312766,669.1755899849475,390.53334630326003,356.2517474314642,424.81494517505587,
04,005,298.11519382394636,276.28241490342464,319.9479727444681,437.7859484221257,263.5757390721954,683.6569879647693,864.4047528783077,805.6938828664873,923.1156228901281,,,,,,,549.9573677017362,368.315080399777,789.8305174331931,323.6608518228454,274.07061498529566,373.25108866039517,
04,007,627.2767177428668,572.8950103161483,681.6584251695854,,,,1470.1373350326594,1307.8758674869634,1632.3988025783553,,,,,,,,,,461.07853294268705,383.6109550776143,538.5461108077598,
04,009,465.56999029787823,414.2911823003692,516.8487982953873,,,,929.6912954664712,756.3218870460071,1103.0607038869352,,,,,,,,,,518.4042208036072,441.1580514325778,595.6503901746366,
04,011,585.1257582422966,463.9683357865246,728.2396558428285,,,,,,,,,,,,,,,,482.500995729774,368.19909081969195,621.0744245133529,
04,012,1260.629291797209,1086.3746136784173,1434.8839699160005,,,,1476.9823316569682,1172.9371672464295,1835.754180283222,,,,,,,,,,558.3985366358327,435.2990536055088,705.5029580389893,
04,013,359.5061349309812,355.4628990229768,363.5493708389856,600.7539309139513,583.4017020528163,618.1061597750863,681.3781803324689,645.5016669877336,717.2546936772042,172.51629151546146,162.4308879563301,182.6016950745928,685.3848277428566,586.5517486899602,784.217906795753,536.788902870636,502.1309409468581,571.4468647944138,392.79633371306085,385.99553763877327,399.5971297873484,
04,015,635.2898752712861,613.0253040123381,657.554446530234,603.2153020647877,455.6623565824817,783.3252443999194,1032.7875086663687,853.1513367377574,1212.42368059498,269.7022258282503,172.8033050846981,401.29553356580345,,,,607.3113266199178,459.9716680450728,786.8422653888083,406.5398280929464,370.256301453265,442.82335473262776,
04,017,552.9714135372243,515.3562835048074,590.5865435696412,,,,1074.289763611143,1015.4282904481013,1133.1512367741846,,,,,,,848.3584767641885,572.3839017729493,1211.0844763641321,586.932077044951,505.46194813866634,668.4022059512357,
04,019,409.2685118817562,399.67050880027506,418.8665149632373,583.6518216622516,539.6314793748594,627.6721639496437,1021.7072636364045,947.5925561459873,1095.8219711268216,165.91741428225112,141.1292279308051,190.70560063369714,570.4162500093202,384.8574485403328,814.3046652720036,390.8931297775031,331.7815499839853,450.00470957102084,403.8280165215223,391.7029346473015,415.95309839574304,
04,021,381.4705110177941,368.3288323869549,394.61218964863326,492.66136060985457,443.7224375464916,541.6002836732175,945.5481229543876,862.9386104748082,1028.157635433967,192.89782055382855,147.2013587072417,248.29773192311833,,,,404.09768782597916,322.77888045913215,499.6730488959234,400.7759181023624,380.06213415482995,421.4897020498949,
04,023,318.9082173929835,238.93667096965135,398.87976381631563,,,,,,,,,,,,,,,,286.2178990922685,256.1286407339298,316.30715745060724,
