statecode,countycode,v153_cihigh,v153_cilow,v153_numerator,v153_denominator,v153_rawvalue
01,115,0.8417588435718231,0.807688614153617,28434,34477,0.82472372886272
01,117,0.8224340155598072,0.8027562342821392,69407,85414,0.8125951249209732
01,119,0.7543172981950808,0.6379177490242267,3317,4765,0.6961175236096537
01,121,0.7490581708956244,0.7021869262493176,23865,32889,0.725622548572471
01,123,0.7821046587888033,0.7299813939063865,12511,16548,0.7560430263475949
01,125,0.6344931243742441,0.6086646618302033,54257,87289,0.6215788931022237
01,127,0.7906274560363006,0.7593463796518208,19253,24843,0.7749869178440607
01,129,0.9033214107250378,0.8145369901203303,4877,5678,0.8589292004226841
01,131,0.8135569598819254,0.744525899581925,2877,3693,0.7790414297319253
01,133,0.7950944772036987,0.7374955742542773,7148,9328,0.766295025728988
02,000,0.6744544954245041,0.6573283056133322,178369,267865,0.6658914005189182
02,013,0.6272681759609043,0.5130123851613401,569,998,0.5701402805611222
02,016,0.37755673528506417,0.2120031418899614,288,977,0.2947799385875128
02,020,0.6751314160535186,0.5995932474240652,68751,107868,0.6373623317387919
02,050,0.6326530249723699,0.5773877388122257,2820,4661,0.6050203818922978
02,060,0.5496165741355471,0.48925268381498294,147,283,0.519434628975265
02,063,0.6743250048915544,0.5798743232159483,1680,2679,0.6270996640537514
02,066,0.7435744342274325,0.6107013074828641,776,1146,0.6771378708551483
02,068,0.8285520703202487,0.7361758846516087,417,533,0.7823639774859287
02,070,0.761807427777291,0.5006654572552469,873,1383,0.631236442516269
02,090,0.680821837270107,0.5530348633048597,22318,36176,0.6169283502874834
02,100,0.8201873119098713,0.7081775379232766,687,899,0.764182424916574
02,105,0.7610056334808093,0.6836798328966311,666,922,0.7223427331887202
02,110,0.6788541657162943,0.6093175499177443,8462,13138,0.6440858578170193
02,122,0.7855222708046846,0.7499977693593184,18351,23902,0.7677600200820015
02,130,0.7051010998513695,0.6416343564731278,3785,5621,0.6733677281622487
02,150,0.6250586035745992,0.5889170908698452,2797,4608,0.6069878472222222
02,158,0.7417035338314076,0.6469797025514586,1313,1891,0.6943416181914331
02,164,0.6992340553076943,0.5119460689159081,195,322,0.6055900621118012
02,170,0.7778186044351172,0.7549166407642176,30411,39682,0.7663676225996674
02,180,0.6719007396591805,0.5951487937220112,1765,2786,0.6335247666905959
02,185,0.5635130843858516,0.42696310609033894,1092,2205,0.49523809523809526
02,188,0.6440757435639373,0.5656105525285229,1099,1817,0.6048431480462301
02,195,0.7524349902532557,0.6668220226352963,936,1319,0.709628506444276
02,198,0.7474739728171067,0.68438292667182,1681,2348,0.7159284497444633
02,220,0.6540558945006056,0.5791727666469821,2160,3503,0.6166143305737939
02,230,0.7519226846096744,0.5607158963215896,296,451,0.656319290465632
02,240,0.8053843194804534,0.7125732746346484,1754,2311,0.7589787970575509
02,275,0.6270248515431971,0.5045540958252239,516,912,0.5657894736842105
02,282,0.6727119277869321,0.544679376560894,126,207,0.6086956521739131
02,290,0.7715350776219654,0.642362203344802,1638,2317,0.7069486404833837
04,000,0.6737400247135442,0.6658178255362065,1873231,2796790,0.6697789251248754
04,001,0.8059669206930619,0.7766936791405895,16174,20439,0.7913302999168257
04,003,0.7182776180995634,0.691739023472669,35586,50476,0.7050083207861162
04,005,0.604802481443878,0.5720738468063736,31565,53642,0.5884381641251258
04,007,0.7945517687842181,0.7488189790762732,17944,23253,0.7716853739302456
04,009,0.7679280347711422,0.7028584820827904,9163,12460,0.7353932584269663
