statecode,countycode,num_white,num_black,num_aian,num_asian,num_nhopi,num_tom,num_hispanic,num_,denom_white,denom_black,denom_aian,denom_asian,denom_nhopi,denom_tom,denom_hispanic,denom_,rate_white,rate_black,rate_aian,rate_asian,rate_nhopi,rate_tom,rate_hispanic,rate_,lci_white,lci_black,lci_aian,lci_asian,lci_nhopi,lci_tom,lci_hispanic,lci_,uci_white,uci_black,uci_aian,uci_asian,uci_nhopi,uci_tom,uci_hispanic,uci_,unreliable_white,unreliable_black,unreliable_aian,unreliable_asian,unreliable_nhopi,unreliable_tom,unreliable_hispanic,unreliable_,fips
01,017,139,186,NA,NA,NA,NA,28,NA,1299,1079,NA,26,1,19,287,4,0.10700538876058506,0.17238183503243745,NA,NA,NA,NA,0.0975609756097561,NA,0.09019496197593325,0.14984431603100065,NA,NA,NA,NA,0.06323189883221586,NA,0.12381581554523687,0.19491935403387425,NA,NA,NA,NA,0.13189005238729634,NA,0,0,NA,NA,NA,NA,0,NA,01017
01,019,115,NA,NA,NA,NA,NA,NA,NA,1472,48,4,6,NA,31,49,NA,0.078125,NA,NA,NA,NA,NA,NA,NA,0.0644151343050225,NA,NA,NA,NA,NA,NA,NA,0.0918348656949775,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,01019
01,021,257,63,NA,NA,NA,NA,37,NA,2966,359,3,13,NA,51,551,1,0.08664868509777478,0.17548746518105848,NA,NA,NA,NA,0.06715063520871144,NA,0.076524258979923,0.1361387524957812,NA,NA,NA,NA,0.046252328696898506,NA,0.09677311121562655,0.21483617786633577,NA,NA,NA,NA,0.08804894172052437,NA,0,0,NA,NA,NA,NA,0,NA,01021
01,023,45,58,NA,NA,NA,NA,NA,NA,570,366,2,5,NA,11,9,NA,0.07894736842105263,0.15846994535519127,NA,NA,NA,NA,NA,NA,0.056809811216490175,0.12105683643547156,NA,NA,NA,NA,NA,NA,0.10108492562561508,0.19588305427491098,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,01023
01,025,81,179,NA,NA,NA,NA,NA,NA,940,985,6,10,NA,11,21,NA,0.08617021276595745,0.1817258883248731,NA,NA,NA,NA,NA,NA,0.06823099993747742,0.1576437103300571,NA,NA,NA,NA,NA,NA,0.10410942559443748,0.2058080663196891,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,01025
01,027,62,23,NA,NA,NA,NA,NA,NA,839,161,1,NA,NA,23,49,1,0.073897497020262215,0.14285714285714285,NA,NA,NA,NA,NA,NA,0.05619561327451826,0.08880402888176875,NA,NA,NA,NA,NA,NA,0.09159938076600617,0.19691025683251695,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,01027
01,029,95,NA,NA,NA,NA,NA,NA,NA,1132,31,3,2,NA,16,48,NA,0.08392226148409894,NA,NA,NA,NA,NA,NA,NA,0.06776984099386214,NA,NA,NA,NA,NA,NA,NA,0.10007468197433574,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,01029
01,031,180,115,NA,12,NA,16,53,NA,2821,835,9,78,9,130,709,NA,0.06380716058135413,0.1377245508982036,NA,0.15384615384615385,NA,0.12307692307692308,0.07475317348377997,NA,0.05478788004882777,0.11435009412782145,NA,0.07377487623801256,NA,0.06660228454376318,0.05539445639311921,NA,0.0728264411138805,0.16109900766858573,NA,0.23391743145429517,NA,0.17955156161008298,0.09411189057444072,NA,0,0,NA,1,NA,1,0,NA,01031
01,033,295,115,NA,NA,NA,17,14,NA,3354,705,6,55,NA,100,220,NA,0.0879546809779368,0.16312056737588654,NA,NA,NA,0.17,0.06363636363636363,NA,0.07836923706332664,0.13584666247464872,NA,NA,NA,0.09637597131370766,0.031379682722772535,NA,0.09754012489254694,0.19039447227712436,NA,NA,NA,0.24362402868629235,0.09589304454995473,NA,0,0,NA,NA,NA,1,1,NA,01033
01,035,37,85,NA,NA,NA,NA,NA,NA,388,438,NA,5,NA,18,47,NA,0.09536082474226804,0.19406392694063926,NA,NA,NA,NA,NA,NA,0.06613526059242814,0.15702642210828163,NA,NA,NA,NA,NA,NA,0.12458638889210794,0.23110143177299688,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,01035
