statecode,countycode,v147_race_white,v147_race_white_cilow,v147_race_white_cihigh,v147_race_black,v147_race_black_cilow,v147_race_black_cihigh,v147_race_aian,v147_race_aian_cilow,v147_race_aian_cihigh,v147_race_asian,v147_race_asian_cilow,v147_race_asian_cihigh,v147_race_nhopi,v147_race_nhopi_cilow,v147_race_nhopi_cihigh,v147_race_tom,v147_race_tom_cilow,v147_race_tom_cihigh,v147_race_hispanic,v147_race_hispanic_cilow,v147_race_hispanic_cihigh
01,025,72.11374914217461,70.3292907271616,73.89820755718762,66.91938268803776,65.08734461026778,68.75142076580774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,027,71.77237701652707,70.11408239527603,73.43067163777812,70.86670189996542,67.042413404953,74.69099039497785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,029,71.90474312124755,70.45211405035086,73.35737219214424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,031,74.72078073021262,73.90475019768289,75.53681126274236,69.13863777380179,67.09070797333644,71.18656757426714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.40109856348478,76.00203302169844,92.80016410527112
01,033,73.60062120498765,72.77078851615805,74.43045389381724,68.67787827535977,66.57063698432363,70.78511956639592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,035,69.41509729591081,66.33225165427667,72.49794293754495,67.00177299611063,64.2248402109545,69.77870578126677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,037,73.0972788480053,70.74276137219248,75.45179632381813,68.81818424091217,64.42463801385131,73.21173046797304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,039,71.09644062363215,70.10087858555102,72.09200266171328,64.7654187875671,62.096347260415484,67.43449031471872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,041,70.92726255820689,69.28504904470121,72.56947607171257,67.68860570015048,64.49900026466565,70.8782111356353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,043,72.51095244218791,71.91955207171655,73.10235281265928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,045,72.69842060545189,71.75220145959265,73.64463975131112,70.28651047479545,68.61233435428555,71.96068659530535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.13566922815767,77.11593812090096,99.15540033541437
01,047,71.73247518090557,69.9225076702053,73.54244269160583,66.06151684467036,64.8024064912271,67.32062719811363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,049,71.4420783512801,70.73870900265737,72.14544769990283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.88110054050132,74.8856485453407,86.87655253566194
01,051,74.98349126368215,74.33924267527871,75.6277398520856,71.65815278483177,70.21554855942483,73.10075701023871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.94180185621136,67.7282888937237,136.15531481869903
01,053,70.227276182462,69.02510406997247,71.42944829495154,69.0577238185373,67.42286312164032,70.69258451543428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,055,70.4356632371465,69.82939107563222,71.04193539866078,66.9231896345698,65.43893692162374,68.40744234751585,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.2545827199866,59.65929758403265,152.84986785594054,82.9565437280353,76.68416648452475,89.22892097154585
01,057,70.54311306576064,68.98602510302275,72.10020102849852,68.79557290085934,63.84994586143956,73.74119994027913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,059,70.86610249609735,69.76319088274465,71.96901410945006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.9651638213283,74.8313851967372,89.0989424459194
01,061,70.66483323741292,69.49636540201004,71.8333010728158,64.01090532491887,59.75520894280842,68.26660170702931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,063,NA,NA,NA,70.37395211933652,67.86069274074762,72.88721149792542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,065,73.06727886854125,71.05604019963604,75.07851753744646,67.50736461074827,65.41754631855332,69.59718290294322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,067,75.88199682388647,74.32939101903472,77.43460262873822,69.56393977614626,66.81014314553077,72.31773640676174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,069,74.71798957040767,74.09793323970948,75.33804590110586,69.71467499673687,68.66462844833866,70.76472154513509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.82035194869923,74.732897610969,94.90780628642945
01,071,70.39181581429659,69.61707852673403,71.16655310185915,68.51217947766553,63.512594419060584,73.51176453627048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.943719757063,55.407053348989756,128.48038616513622
01,073,74.68512449896431,74.39128551986907,74.97896347805955,69.31772694822992,68.94049692690363,69.6949569695562,NA,NA,NA,83.0871318837273,81.06259745427921,85.11166631317538,NA,NA,NA,NA,NA,NA,89.57983767031165,82.15657514922488,97.00310019139842
01,075,72.47149440494853,70.95311745702388,73.98987135287318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,077,75.14236329983848,74.55674177461843,75.72798482505853,70.03889007581807,68.01088678030273,72.06689337133342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.72782469722604,65.86018001531723,143.59546937913484
01,079,70.1786297083612,69.11557964215362,71.24167977456878,66.73918169818637,63.14624582333457,70.33211757303818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,081,78.00065148670342,77.49468107644854,78.5066218969583,72.47688343997275,71.4774782143113,73.4762886656342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.71874874289476,82.03846346778755,103.39903401800197
01,083,75.43770523384383,74.84027320795623,76.03513725973143,77.65869782665797,75.75728145135267,79.56011420196327,NA,NA,NA,86.86267427364818,77.98647078565412,95.73887776164224,NA,NA,NA,NA,NA,NA,92.01729613801372,69.4720552571178,114.56253701890964
01,085,70.6941211142827,65.79225391566894,75.59598831289645,66.0132349976301,63.69297737247632,68.33349262278387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,087,75.0925524129817,71.72033861634213,78.46476620962127,69.84214487935017,68.08880869696259,71.59548106173776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,089,76.66884729926328,76.32511078894375,77.01258380958281,73.60473089602651,72.9606092056445,74.24885258640852,116.75086696245026,67.86698462798998,165.63474929691054,87.05955254252449,84.45414076533685,89.66496431971213,NA,NA,NA,119.4586815344207,77.12885790875748,161.78850516008393,86.10743106476626,82.78372554234767,89.43113658718485
01,091,73.88120102393749,71.88066239009063,75.88173965778435,67.52851236637413,65.73228210276899,69.32474262997927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,093,71.88301583916395,70.79197969514681,72.97405198318108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,095,71.33733016019065,70.71834919383257,71.95631112654873,70.53296284865736,65.78377766667303,75.2821480306417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.97948100161001,71.06814850364665,104.89081349957337
01,097,73.61646933247906,73.25145430705349,73.98148435790462,69.93286614290867,69.4488894001493,70.41684288566803,75.84420011328116,70.98060004542945,80.70780018113287,83.2745807460927,80.58795873056881,85.96120276161658,NA,NA,NA,95.5443714734737,77.18961203023929,113.89913091670812,100.89813296843572,89.2872065527214,112.50905938415004
