statecode,countycode,v128_denominator,v128_numerator,v128_rawvalue,v128_cilow,v128_cihigh,sourceflag,v128_flag_CT
05,135,15985,9,56.302783859868626,19.51829840475446,93.08726931498279,,
05,137,10723,9,83.93173552177562,29.096334980882226,138.767136062669,,
05,139,39500,33,83.54430379746836,57.508054614505916,117.32726397258048,,
05,141,13509,7,51.8173069805315,13.43050877424978,90.20410518681322,,
05,143,279247,141,50.49293277994034,42.15847959312211,58.82738596675857,,
05,145,82369,61,74.05698745887409,56.647727374355085,95.12929854051413,,
05,147,5692,4,70.27406886858749,1.405481377371757,139.14265635980323,,
05,149,21305,12,56.324806383478055,29.103849372082685,98.38810161078128,,
06,000,38599344,14976,38.79858683608716,38.17718280932597,39.41999086284835,,
06,001,1456440,501,34.398945373650825,31.386755554655547,37.4111351926461,,
06,003,948,1,105.48523206751054,-101.26582278481013,312.2362869198312,,
06,005,27673,10,36.13630614678568,17.328763401627704,66.45595360827443,,
06,007,199059,88,44.20799863357095,35.456107621909496,54.465490755230505,,
06,009,35107,8,22.787478280684763,6.996561470639666,38.578395090729856,,
06,011,25719,12,46.658112679342125,24.1089276749571,81.50233309295444,,
06,013,1121526,382,34.06073510556153,30.64504543274463,37.47642477837842,,
06,015,24903,11,44.17138497369795,22.050196230321,79.03480911256456,,
06,017,165189,74,44.7971717245095,35.17541497517448,56.23874683053752,,
06,019,1239755,625,50.41318647636025,46.460792656613606,54.3655802961069,,
06,021,33187,23,69.30424563835237,43.932946747354926,103.99039652524493,,
06,023,118444,47,39.68119955421972,29.156252884963152,52.76758328040843,,
06,025,223780,68,30.386987219590672,23.596684579775875,38.52274696399568,,
06,027,16630,11,66.1455201443175,33.01960533515838,118.3526068148043,,
06,029,1144555,657,57.402221824202414,53.01285285351362,61.791590794891206,,
06,031,179818,88,48.93837101958647,39.250004599704596,60.293441836998674,,
06,033,63640,26,40.854808296668764,26.687717183526626,59.861760030051904,,
06,035,24432,17,69.58087753765552,40.5334253012741,111.40572534342915,,
06,037,9078112,3288,36.218984740439424,34.980968222194676,37.45700125868417,,
06,039,191158,93,48.650854267150734,39.267518347780026,59.60058330037594,,
06,041,219209,58,26.458767660086952,20.09125158193768,34.20409278117895,,
06,043,12851,6,46.688973620729904,9.33001403894616,84.04793320251365,,
06,045,82015,49,59.745168566725596,44.19980460748538,78.98628128137328,,
06,047,373577,172,46.04137835038024,39.16055886329623,52.92219783746425,,
06,049,7043,6,85.19096975720574,17.02399693518346,153.357942579228,,
06,051,10401,3,28.843380444188057,-3.7959771448418422,61.482738033217956,,
06,053,496941,218,43.86838679038357,38.04494835442085,49.69182522634628,,
06,055,118293,40,33.81434235330916,24.157461930789623,46.04553689904227,,
06,057,75140,40,53.23396326856535,38.03112382457941,72.48954879422953,,
06,059,2986585,912,30.536549269483377,28.554663538036834,32.51843500092992,,
06,061,395734,114,28.807229098333732,23.519062457615128,34.095395739052336,,
06,063,14624,10,68.38074398249452,32.79122467267802,125.75462282561391,,
06,065,2677288,1113,41.57191904643804,39.129565325619055,44.014272767257026,,
06,067,1593805,803,50.38257503270475,46.89776860557002,53.86738145983948,,
06,069,74161,24,32.36202316581492,20.734958879581537,48.152125232606366,,
06,071,2489489,1225,49.206885429098094,46.451299845068604,51.96247101312758,,
06,073,3119625,1014,32.50390671955764,30.50324963269254,34.50456380642274,,
06,075,505458,141,27.895492800588773,23.29101320177061,32.499972399406936,,
06,077,916692,434,47.344146125416174,42.88986631870254,51.79842593212981,,
06,079,248714,68,27.340640253463818,21.231076960936036,34.66077629567677,,
06,081,636074,153,24.0538050604175,20.242320692461593,27.865289428373405,,
06,083,473917,191,40.30241582386789,34.586702117938984,46.018129529796795,,
06,085,1748912,504,28.817916510379025,26.301958539454155,31.333874481303894,,
06,087,244742,63,25.74139297709425,19.78039314685966,32.93442371431569,,
06,089,170562,78,45.73117106975763,36.148593007246845,57.07457115352176,,
06,091,2290,,,,,,
06,093,38298,28,73.11086740821975,48.58164044038208,105.66555941111336,,
06,095,431135,217,50.332262516381185,43.63538034935549,57.02914468340688,,
06,097,413581,152,36.75217188410493,30.909422122477004,42.59492164573286,,
06,099,648617,296,45.63555996836345,40.43663440107072,50.834485535656185,,
06,101,108538,49,45.14547900274558,33.398873895621016,59.68471741963027,,
06,103,67844,35,51.588939331407346,35.933586466776376,71.74772620877759,,
06,105,11407,9,78.89892171473656,27.35162619444202,130.4462172350311,,
06,107,625428,298,47.647371080284216,42.237500408808224,53.05724175176021,,
