"statecode","countycode","v014_race_white","v014_race_white_cilow","v014_race_white_cihigh","v014_race_black","v014_race_black_cilow","v014_race_black_cihigh","v014_race_asian","v014_race_asian_cilow","v014_race_asian_cihigh","v014_race_aian","v014_race_aian_cilow","v014_race_aian_cihigh","v014_race_nhopi","v014_race_nhopi_cilow","v014_race_nhopi_cihigh","v014_race_tom","v014_race_tom_cilow","v014_race_tom_cihigh","v014_race_hispanic","v014_race_hispanic_cilow","v014_race_hispanic_cihigh"
"19","103",2.217668360329,1.75574892512127,2.76387646084484,21.7650566487776,17.0603300305603,27.3662910503821,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.04960677555959,2.90102159475646,11.1254422516744,16.6991372112441,12.7432009323705,21.4950997513619
"20","157",12.8700128700129,6.17167142359387,23.6684118944888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","159",14.2538975501114,9.74965537250983,20.1222503694523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.2962962962963,22.2008735932057,85.1405372315638
"04","003",17.8351783517835,15.1850988439714,20.4852578595956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.9601593625498,4.77628356188489,18.3170876912528,30.521600485916,27.5379335050265,33.5052674668056
"51","750",4.79885644272003,3.52601921248374,6.38146174603297,11.0132158590308,5.28126508384629,20.2536960815174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"06","059",2.31137764835344,2.10481373991022,2.51794155679667,7.32862632943069,5.82867400732008,9.09675763125106,0.531946332525563,0.416215243884009,0.669898369027853,9.04977375565611,4.33971827704293,16.6428561466224,8.33333333333333,4.43714903269474,14.2502537936916,2.27870851787663,1.77969025786312,2.87428073390784,14.5681152242995,14.1466124763675,14.9896179722314
"31","035",11.6279069767442,6.19137074329499,19.884075060965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.1797752808989,26.9403859333283,103.316606977628
"34","017",4.04222940840784,3.22878928118673,4.9982792618841,20.8319685555192,18.5422989308713,23.121638180167,1.96702884975646,1.21762186062909,3.0068125454237,NA,NA,NA,NA,NA,NA,4.87329434697856,2.33693406244271,8.96216181384882,16.2900683131897,15.2918140811233,17.2883225452561
"46","051",8.33333333333333,3.99615724677703,15.3252967016815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"05","007",14.8247345174326,13.6680143263473,15.9814547085179,NA,NA,NA,NA,NA,NA,23.5525024533857,15.0905327327639,35.0442567161464,101.26582278481,77.9870230161953,129.314194950767,19.4974003466204,14.2215376032212,26.0890556745922,29.1115540254877,26.5126039219547,31.7105041290207
"38","099",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.3972602739726,13.1380512222806,50.3845371014186
"30","071",NA,NA,NA,NA,NA,NA,NA,NA,NA,102.040816326531,48.9325377156371,187.656694306304,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","091",12.4291196517555,10.7753821564347,14.0828571470764,19.0839694656489,9.15150514529091,35.0960993168278,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.0547550432277,13.1777845153336,37.4394778062838,16.2236796686227,11.9205495916692,21.5740546567646
"47","073",28.4880894506563,25.2260772166745,31.7501016846381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.169014084507,13.508137172204,51.8038198366698
"30","105",16.40838650866,9.7246497542384,25.9323247652944,NA,NA,NA,NA,NA,NA,43.1034482758621,20.6697788626398,79.2687760431801,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","163",9.65249776847548,9.17472350455209,10.1302720323989,32.8307698409026,31.9177293077092,33.743810374096,1.91518467852257,1.27262631025017,2.76797509871875,8.48111025443331,4.23373968175547,15.1750489693924,NA,NA,NA,13.7636449928809,11.8702487339075,15.6570412518543,21.212450431854,19.7247297691094,22.7001710945986
"50","000",7.58043685776854,7.09711726411331,8.06375645142378,8.13008130081301,5.20909649548999,12.0969165290492,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.89049542844993,3.10015459005841,7.33814435356858,6.93131695022054,4.77119965820833,9.73414603427206
"26","055",9.39745715865119,7.90836797011045,10.8865463471919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9760479041916,5.7429804744101,22.0243784934345
"39","077",16.0598594762296,13.6871668622697,18.4325520901895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.1780104712042,12.5533735500849,48.1422933037115,18.2054616384915,12.097397045421,26.3119609514097
