statecode,countycode,v155_rawvalue,v155_numerator,v155_denominator,v155_cilow,v155_cihigh,v155_sourceflag,v155_flag_CT
05,031,0.52,,,,,,
05,033,0.46,,,,,,
05,035,0.43,,,,,,
05,037,0.43,,,,,,
05,039,0.36,,,,,,
05,041,0.47,,,,,,
05,043,0.44,,,,,,
05,045,0.5,,,,,,
05,047,0.46,,,,,,
05,049,0.38,,,,,,
05,051,0.54,,,,,,
05,053,0.44,,,,,,
05,055,0.48,,,,,,
05,057,0.38,,,,,,
05,059,0.45,,,,,,
05,061,0.43,,,,,,
05,063,0.5,,,,,,
05,065,0.41,,,,,,
05,067,0.51,,,,,,
05,069,0.44,,,,,,
05,071,0.48,,,,,,
05,073,0.32,,,,,,
05,075,0.26,,,,,,
05,077,0.37,,,,,,
05,079,0.37,,,,,,
05,081,0.41,,,,,,
05,083,0.38,,,,,,
05,085,0.46,,,,,,
05,087,0.39,,,,,,
05,089,0.34,,,,,,
05,091,0.41,,,,,,
05,093,0.43,,,,,,
05,095,0.26,,,,,,
05,097,0.32,,,,,,
05,099,0.34,,,,,,
05,101,0.33,,,,,,
05,103,0.49,,,,,,
05,105,0.46,,,,,,
05,107,0.33,,,,,,
05,109,0.41,,,,,,
05,111,0.47,,,,,,
05,113,0.27,,,,,,
05,115,0.46,,,,,,
05,117,0.31,,,,,,
05,119,0.52,,,,,,
05,121,0.42,,,,,,
05,123,0.42,,,,,,
05,125,0.52,,,,,,
05,127,0.35,,,,,,
05,129,0.2,,,,,,
05,131,0.51,,,,,,
05,133,0.44,,,,,,
05,135,0.36,,,,,,
05,137,0.48,,,,,,
05,139,0.47,,,,,,
05,141,0.36,,,,,,
05,143,0.51,,,,,,
05,145,0.47,,,,,,
05,147,0.28,,,,,,
05,149,0.4,,,,,,
06,000,0.44,,,,,,
06,001,0.48,,,,,,
06,003,0.19,,,,,,
06,005,0.45,,,,,,
06,007,0.4,,,,,,
06,009,0.4,,,,,,
06,011,0.41,,,,,,
06,013,0.51,,,,,,
06,015,0.34,,,,,,
06,017,0.46,,,,,,
06,019,0.42,,,,,,
06,021,0.34,,,,,,
06,023,0.4,,,,,,
06,025,0.35,,,,,,
06,027,0.39,,,,,,
06,029,0.36,,,,,,
06,031,0.34,,,,,,
06,033,0.3,,,,,,
06,035,0.24,,,,,,
06,037,0.41,,,,,,
06,039,0.35,,,,,,
06,041,0.56,,,,,,
06,043,0.28,,,,,,
06,045,0.33,,,,,,
06,047,0.39,,,,,,
06,049,0.16,,,,,,
06,051,0.4,,,,,,
06,053,0.46,,,,,,
06,055,0.47,,,,,,
06,057,0.45,,,,,,
06,059,0.49,,,,,,
06,061,0.48,,,,,,
06,063,0.3,,,,,,
06,065,0.4,,,,,,
06,067,0.42,,,,,,
06,069,0.47,,,,,,
06,071,0.31,,,,,,
06,073,0.44,,,,,,
06,075,0.47,,,,,,
06,077,0.42,,,,,,
