statecode,countycode,v149_numerator,v149_denominator,v149_rawvalue,v149_cilow,v149_cihigh,relative_standard_error,v149_sourceflag,v149_flag_CT
02,020,1424,13591,0.10477521889485689,0.07048237257543456,0.13906806521427922,0.16698939260177886,,
02,050,210,1157,0.1815038893690579,0.13622558296951576,0.22678219576860004,0.1272764832465264,,
02,060,,,,,,Inf,,
02,063,,,,,,0.6480838792378455,,
02,066,,,,,,Inf,,
02,068,,,,,,Inf,,
02,070,48,254,0.1889763779527559,0.0819188424351276,0.2960339134703842,0.2890371388337329,,
02,090,535,4396,0.12170154686078254,0.06533856785335046,0.1780645258682146,0.2362880561860303,,
02,100,,,,,,Inf,,
02,105,,,,,,1.1364983117629064,,
02,110,159,1774,0.08962795941375423,0.03189144298799785,0.14736447583951062,0.32866313739985825,,
02,122,261,2765,0.09439421338155515,0.0503662725980831,0.1384221541650272,0.2379725863365006,,
02,130,,,,,,0.5633762118388831,,
02,150,,,,,,0.7955322526246366,,
02,158,161,556,0.289568345323741,0.22389637704925258,0.3552403135982294,0.11571052845929632,,
02,164,,,,,,16.128839657906028,,
02,170,563,5939,0.0947971038895437,0.06795368464790137,0.12164052313118602,0.14447300075770633,,
02,180,116,639,0.18153364632237873,0.11526060174743269,0.24780669089732477,0.18626176760815674,,
02,185,110,626,0.1757188498402556,0.09183178495953763,0.25960591472097355,0.24356819394865237,,
02,188,103,523,0.19694072657743786,0.12921595641304318,0.26466549674183254,0.17545103425786812,,
02,195,,,,,,8.090067534585135,,
02,198,,,,,,0.6490534046969879,,
02,220,,,,,,1.1772468108049732,,
02,230,,,,,,Inf,,
02,240,,,,,,0.5775196228058255,,
02,275,,,,,,8.089900622819908,,
02,282,,,,,,Inf,,
02,290,,,,,,1.2711483560508812,,
04,000,31165,382743,0.08142539510846704,0.07646348315253475,0.08638730706439933,0.031090886685243305,,
04,001,760,4202,0.1808662541646835,0.14054726932142092,0.22118523900794607,0.1137354822176351,,
04,003,385,6056,0.06357331571994716,0.035285626217378796,0.09186100522251553,0.2270212664028015,,
04,005,528,13505,0.0390966308774528,0.02685820671321796,0.05133505504168764,0.1597092593711266,,
04,007,220,1840,0.11956521739130435,0.04374193165041228,0.1953885031321964,0.32355019889434466,,
04,009,264,2162,0.12210915818686402,0.06531470458156748,0.17890361179216058,0.23730211946245194,,
04,011,,,,,,0.4255304921855922,,
04,012,,,,,,2.793126764892691,,
04,013,17742,239346,0.07412699606427516,0.0676361246699752,0.0806178674585751,0.044675614210144605,,
04,015,1258,7862,0.1600101755278555,0.10824159183010765,0.21177875922560338,0.16506789406236563,,
04,017,1000,5542,0.18044027426921688,0.13085924807269445,0.23002130046573932,0.14019288121486093,,
04,019,4089,55914,0.07313016418070609,0.060622720073805245,0.08563760828760693,0.08726014915493202,,
04,021,2359,20598,0.11452568210505874,0.09072474154733517,0.1383266226627823,0.10603156249361757,,
04,023,,,,,,0.4682610084743839,,
04,025,783,10092,0.07758620689655173,0.05101095187665311,0.10416146191645034,0.1747579128292653,,
04,027,1395,11681,0.11942470678880233,0.08638780142346247,0.1524616121541422,0.14113967214268705,,
05,000,15800,164811,0.09586738749233971,0.08763300429823263,0.10410177068644678,0.0438232022928178,,
05,001,,,,,,0.4187307058489961,,
05,003,,,,,,0.37131985419527336,,
05,005,228,1770,0.1288135593220339,0.04774226854935369,0.20988485009471408,0.32110675050940735,,
05,007,1137,15639,0.07270285823901784,0.0483263731766133,0.09707934330142239,0.1710659316007685,,
05,009,,,,,,0.41614334283822585,,
05,011,,,,,,0.5832428306220563,,
05,013,,,,,,2.2508387290471084,,
05,015,,,,,,0.38934124279787063,,
05,017,,,,,,0.6431924071207227,,
05,019,,,,,,0.5997680886070025,,
05,021,,,,,,0.44164976108710385,,
05,023,,,,,,0.43979735237269685,,
05,025,,,,,,14.553194166198566,,
05,027,,,,,,0.5284568991402901,,
05,029,,,,,,0.7962390879375539,,
05,031,448,6659,0.06727736897432046,0.03434825405133088,0.10020648389731004,0.2497209551204761,,
05,033,282,2768,0.101878612716763,0.04379621825886537,0.15996100717466064,0.2908743448029032,,
05,035,376,2518,0.14932486100079428,0.07851800519927228,0.2201317168023163,0.24192854823631188,,
05,037,,,,,,1.3430459052076182,,
05,039,,,,,,0.9297309396309053,,
05,041,,,,,,0.46301765511179305,,
05,043,,,,,,0.525951718335107,,
05,045,596,7627,0.07814343778681002,0.048033713571753886,0.10825316200186615,0.19658853803266088,,
05,047,,,,,,0.42484599709550763,,
05,049,,,,,,0.9682811629135654,,
05,051,589,4749,0.12402611076016003,0.06695096609913252,0.18110125542118755,0.23478904230208553,,
05,053,,,,,,0.9027808010747636,,
05,055,206,2483,0.08296415626258558,0.027964133549681018,0.13796417897549013,0.33823324845487923,,
05,057,,,,,,1.75477151188019,,
05,059,,,,,,0.5599906536739205,,
05,061,,,,,,0.5678992851471024,,
05,063,,,,,,0.36798317892180704,,
05,065,,,,,,0.5675094548434403,,
05,067,,,,,,0.8850061118339166,,
05,069,600,3962,0.1514386673397274,0.07989158116479213,0.2229857535146627,0.24104554032746053,,
05,071,,,,,,0.4777752010313915,,
05,073,,,,,,0.5524106689100371,,
05,075,,,,,,0.3843599322948053,,
05,077,,,,,,0.4632167986701158,,
05,079,,,,,,0.6001971955500902,,
05,081,,,,,,0.45564785957632525,,
05,083,,,,,,0.4985624752646071,,
05,085,276,3966,0.06959152798789713,0.031346458695609855,0.1078365972801844,0.28039031501998546,,
05,087,,,,,,0.6167199297085029,,
05,089,,,,,,0.3880529875192671,,
