statecode,countycode,v053_numerator,v053_denominator,v053_rawvalue,v053_flag_CT
05,023,6999,25445,0.2750638632344272,NA
05,025,1624,7378,0.22011385199240988,NA
05,027,4015,22150,0.18126410835214446,NA
05,029,4297,21077,0.20387151871708498,NA
05,031,16415,113993,0.1440000701797479,NA
05,033,11195,61891,0.1808825192677449,NA
05,035,7303,47139,0.15492479687732028,NA
05,037,3082,16420,0.1876979293544458,NA
05,039,1597,6185,0.2582053354890865,NA
05,041,2215,10479,0.21137513121481058,NA
05,043,3160,16945,0.1864856889938035,NA
05,045,18492,129951,0.1422997899208163,NA
05,047,3606,17468,0.2064346233111976,NA
05,049,3202,12421,0.2577892279204573,NA
05,051,25335,99784,0.2538984205884711,NA
05,053,3487,18383,0.18968612304846869,NA
05,055,7827,46743,0.1674475322508183,NA
05,057,3791,19343,0.19598821279015666,NA
05,059,6610,33258,0.19874917313127669,NA
05,061,2407,12533,0.19205298013245034,NA
05,063,7114,38320,0.18564718162839247,NA
05,065,3580,14169,0.2526642670618957,NA
05,067,3071,16784,0.18297187797902764,NA
05,069,12355,63661,0.19407486530214732,NA
05,071,4705,26129,0.18006812354089327,NA
05,073,1595,6095,0.2616899097621001,NA
05,075,3183,16318,0.1950606691996568,NA
05,077,1685,8201,0.20546274844531154,NA
05,079,1955,12898,0.1515738874244069,NA
05,081,2609,11805,0.22100804743752647,NA
05,083,4436,21400,0.2072897196261682,NA
05,085,11520,75944,0.15169071947750976,NA
05,087,3483,17775,0.1959493670886076,NA
05,089,5190,17514,0.2963343610825625,NA
05,091,7555,42415,0.17812094777790877,NA
05,093,6222,38663,0.16092905361715334,NA
05,095,1568,6512,0.24078624078624078,NA
05,097,2406,8620,0.2791183294663573,NA
05,099,1803,8120,0.22204433497536946,NA
05,101,1970,7071,0.27860274360062226,NA
05,103,4803,21793,0.22039186894874502,NA
05,105,2201,10184,0.21612333071484682,NA
05,107,3234,14961,0.21616202125526368,NA
05,109,2156,10208,0.21120689655172414,NA
05,111,4147,22397,0.1851587266151717,NA
05,113,4578,19436,0.2355422926528092,NA
05,115,10910,64593,0.16890375118046846,NA
05,117,1930,8036,0.24016923842707816,NA
05,119,68573,400009,0.17142864285553575,NA
05,121,3676,18907,0.19442534511027662,NA
05,123,4068,22101,0.1840640694991177,NA
05,125,24349,129574,0.18791578557426644,NA
05,127,2107,9851,0.2138869150340067,NA
05,129,2050,7806,0.2626184985908276,NA
05,131,22462,129098,0.17399185115183813,NA
05,133,2316,15632,0.14815762538382804,NA
05,135,4652,17968,0.2589047195013357,NA
05,137,3635,12671,0.2868755425775393,NA
05,139,7472,37397,0.19980212316495977,NA
05,141,4315,16142,0.2673150786767439,NA
05,143,32950,261549,0.12598021785592756,NA
05,145,13472,78452,0.17172283689389692,NA
05,147,1492,5964,0.250167672702884,NA
