statecode,countycode,v159_race_white,v159_race_black,v159_race_asian,v159_race_aian,v159_race_hispanic,v159_flag_CT
01,055,3.119794045653098,2.6010389093394655,NA,NA,2.239854190342483,NA
01,057,3.0392001965842734,2.4311404668096133,NA,NA,NA,NA
01,059,2.776170394258232,NA,NA,NA,2.224864352177366,NA
01,061,3.138307412708897,2.6472479900832067,NA,NA,NA,NA
01,063,NA,2.6428382223079487,NA,NA,NA,NA
01,065,3.034677824803984,2.495407792058238,NA,NA,NA,NA
01,067,2.8711550559088113,2.1769599346880337,NA,NA,NA,NA
01,069,3.331204880980129,2.4135773075015057,NA,NA,2.5830340954993085,NA
01,071,3.0980348964704008,2.501784923589193,NA,3.2257794298253546,2.251764739515576,NA
01,073,3.417141693061258,2.26779912168011,3.366490604506721,NA,2.2272752379446907,NA
01,075,2.9743782535857455,NA,NA,NA,NA,NA
01,077,3.1015007178232823,2.636703217110528,NA,NA,2.880527716251445,NA
01,079,2.8494539082531256,2.426820276804144,NA,3.317686581213612,NA,NA
01,081,3.3871427902436593,2.6986654626723037,NA,NA,NA,NA
01,083,3.0534227827559546,2.714233655771872,NA,NA,2.3924105172481123,NA
01,085,NA,2.173714479132555,NA,NA,NA,NA
01,087,NA,2.404155311129383,NA,NA,NA,NA
01,089,3.5113970017829192,2.5767784462373404,NA,3.1893919407971767,2.4861630183895715,NA
01,091,3.2482075541011697,2.4450349087373304,NA,NA,NA,NA
01,093,3.0659557702258944,NA,NA,NA,NA,NA
01,095,3.0708036632708837,2.391078617236172,NA,NA,2.273394587134663,NA
01,097,3.037960446711688,2.412393489984526,2.9636374419266964,2.588313273292228,2.492193458908922,NA
01,099,2.9988052625745505,2.3450826527859037,NA,NA,NA,NA
01,101,3.3659003383415396,2.3816204034007766,3.3927306234940118,NA,2.0384841811099403,NA
01,103,3.082774785111467,2.3728554770678025,NA,NA,2.311388782718608,NA
01,105,NA,2.415944012891127,NA,NA,NA,NA
01,107,3.257114248508965,2.5224069120010855,NA,NA,NA,NA
01,109,2.785163480071089,2.4071675356994247,NA,NA,NA,NA
01,111,2.848055752028238,2.382292188000474,NA,NA,NA,NA
01,113,2.9860595679389133,2.4878181469580323,NA,NA,2.7265304750318755,NA
01,115,3.1121926141637415,2.6670520840169685,NA,NA,2.527952189611719,NA
01,117,3.3139831086730345,2.7248703341759946,3.4742619308858247,NA,2.5168431697978817,NA
01,119,NA,2.342712337092821,NA,NA,NA,NA
01,121,2.888496586732749,2.4069793307374807,NA,NA,2.68856607131606,NA
01,123,2.8936337734500452,2.2497392532584337,NA,NA,NA,NA
01,125,3.156512669959021,2.4339660539626373,3.496075013914226,NA,NA,NA
01,127,2.9893844161248815,2.484281748631491,NA,NA,NA,NA
01,129,3.031499284528518,2.5047055804748917,NA,2.650394033745925,NA,NA
01,131,NA,2.179915504618463,NA,NA,NA,NA
01,133,2.8272356422856384,NA,NA,NA,NA,NA
02,000,NA,NA,NA,NA,NA,NA
02,013,NA,NA,NA,NA,NA,NA
02,016,NA,NA,NA,NA,NA,NA
02,020,NA,NA,NA,NA,NA,NA
02,050,NA,NA,NA,NA,NA,NA
02,060,NA,NA,NA,NA,NA,NA
02,063,NA,NA,NA,NA,NA,NA
02,066,NA,NA,NA,NA,NA,NA
02,068,NA,NA,NA,NA,NA,NA
02,070,NA,NA,NA,NA,NA,NA
02,090,NA,NA,NA,NA,NA,NA
02,100,NA,NA,NA,NA,NA,NA
02,105,NA,NA,NA,NA,NA,NA
02,110,NA,NA,NA,NA,NA,NA
02,122,NA,NA,NA,NA,NA,NA
02,130,NA,NA,NA,NA,NA,NA
02,150,NA,NA,NA,NA,NA,NA
02,158,NA,NA,NA,NA,NA,NA
02,164,NA,NA,NA,NA,NA,NA
02,170,NA,NA,NA,NA,NA,NA
02,180,NA,NA,NA,NA,NA,NA
02,185,NA,NA,NA,NA,NA,NA
02,188,NA,NA,NA,NA,NA,NA
02,195,NA,NA,NA,NA,NA,NA
02,198,NA,NA,NA,NA,NA,NA
02,220,NA,NA,NA,NA,NA,NA
02,230,NA,NA,NA,NA,NA,NA
02,240,NA,NA,NA,NA,NA,NA
02,275,NA,NA,NA,NA,NA,NA
02,282,NA,NA,NA,NA,NA,NA
02,290,NA,NA,NA,NA,NA,NA
