"statecode","countycode","v044_numerator","v044_denominator","v044_rawvalue","v044_cilow","v044_cihigh"
"36","061",250001,28440,NA,NA,NA
"36","063",133513,27815,4.80003595182456,4.5630647306526,5.03700717299651
"36","065",130947,28659,4.5691405841097,4.34641669822561,4.7918644699938
"36","067",147295,29699,4.95959459914475,4.75773802667256,5.16145117161695
"36","069",149524,36932,4.04862991443734,3.7788810156551,4.31837881321959
"36","071",180666,37712,4.79067670767925,4.46665632930507,5.11469708605344
"36","073",125727,28694,4.38164773123301,3.944773692334,4.81852177013202
"36","075",130352,28468,4.57889560207953,4.24650821999568,4.91128298416337
"36","077",125073,28886,4.32988298829883,3.83304761189837,4.82671836469929
"36","079",220135,53015,4.15231538243893,3.88603096585501,4.41859979902285
"36","081",168188,33623,5.00217113285549,4.87098795159941,5.13335431411157
"36","083",157866,34172,4.61974716141871,4.26897064246053,4.97052368037688
"36","085",191304,38194,5.00874482903074,4.64227026664132,5.37521939142015
"36","087",221864,40947,5.41832124453562,5.1397276622828,5.69691482678844
"36","089",121782,22294,5.46254597649592,4.98074977874566,5.94434217424618
"36","091",183930,44205,4.16084153376315,3.93866052708269,4.3830225404436
"36","093",147256,33507,4.39478317963411,4.06007185792,4.72949450134821
"36","095",130266,30921,4.21286504317454,3.74578596762827,4.67994411872081
"36","097",126238,25797,4.89351474977711,4.05195165032777,5.73507784922645
"36","099",120055,28922,4.15099232418228,3.80292278629511,4.49906186206946
"36","101",127163,28353,4.48499276972454,4.20270593183646,4.76727960761263
"36","103",230544,54921,4.19773856994592,4.08436108901338,4.31111605087846
"36","105",145780,28345,5.14305874051861,4.67039083914227,5.61572664189495
"36","107",136435,31587,4.31934023490677,3.92480122141653,4.713879248397
"36","109",155317,27643,5.61867380530333,4.93076085050201,6.30658676010465
"36","111",164017,31381,5.22663395047959,4.881909630554,5.57135827040518
"36","113",149802,32270,4.64214440656957,4.25910181108029,5.02518700205885
"36","115",124798,31924,3.90922190201729,3.54361075911095,4.27483304492363
"36","117",132050,31130,4.24188885319627,3.8473997096781,4.63637799671444
"36","119",250001,43125,NA,NA,NA
"36","121",123071,31773,3.87344600761653,3.50122714034672,4.24566487488634
"36","123",126134,29648,4.25438478143551,3.65328045392373,4.85548910894729
"37","000",139071,29680,4.68568059299191,4.63308363909502,4.73827754688881
"37","001",122155,28295,4.31719385050362,4.045989143805,4.58839855720224
"37","003",111844,29071,3.84727047573183,3.2298619906714,4.46467896079226
"37","005",92057,20982,4.38742731865408,3.32516021558896,5.44969442171921
"37","007",88460,18984,4.65971344289928,4.00216187426249,5.31726501153607
"37","009",100910,23436,4.3057689025431,3.52790343258152,5.08363437250468
"37","011",123354,26164,4.71464607858126,3.59590250750872,5.8333896496538
"37","013",116003,22522,5.15065269514253,4.47799756875048,5.82330782153458
"37","015",94756,17908,5.29126647308466,4.02479145357718,6.55774149259213
"37","017",100254,16307,6.14791193965782,4.78101097173442,7.51481290758121
"37","019",138776,35439,3.91591184852846,3.66657461880376,4.16524907825316
"37","021",138222,30155,4.58371745979108,4.26552843867044,4.90190648091172
"37","023",110597,24288,4.55356554677207,4.17679151776224,4.9303395757819
"37","025",164670,38866,4.2368651263315,3.92590239578302,4.54782785687998
"37","027",112326,25511,4.40304182509506,4.03662348497577,4.76946016521434
"37","029",145040,41715,3.47692676495265,2.56788448303387,4.38596904687144
"37","031",135709,29080,4.66674690508941,4.2698604731758,5.06363333700302
"37","033",106957,22147,4.82941256152075,3.99355755116401,5.66526757187748
"37","035",122756,28695,4.27795783237498,3.94764710418881,4.60826856056115
"37","037",186926,35697,5.23646244782475,4.59195564408368,5.88096925156582
"37","039",102006,24760,4.11978998384491,3.61286395372046,4.62671601396936
"37","041",112976,23040,4.90347222222222,3.97694245078639,5.83000199365805
"37","043",125328,21575,5.80894553881808,4.03881074407101,7.57908033356514
"37","045",112657,23471,4.79983809807848,4.43720338067019,5.16247281548677
"37","047",96418,20175,4.77908302354399,4.1556139531382,5.40255209394978
"37","049",123580,28514,4.33401136283931,3.93110552799311,4.73691719768551
"37","051",111592,25810,4.32359550561798,4.13161418628529,4.51557682495066
"37","053",162347,41706,3.89265333525152,3.0714430410669,4.71386362943614
"37","055",154906,37202,4.16391591849901,3.38844331318184,4.93938852381617
"37","057",118595,27995,4.23629219503483,3.97651526777937,4.49606912229029
"37","059",139303,36149,3.85357824559462,3.30085763382526,4.40629885736399
"37","061",102132,23025,4.4357003257329,3.82504791025545,5.04635274121034
"37","063",158764,35368,4.48891653472065,4.23422167194258,4.74361139749873
"37","065",102732,20556,4.99766491535318,4.24210364181475,5.75322618889161
"37","067",129626,28066,4.61861326872372,4.40007288338005,4.83715365406739
"37","069",128316,30675,4.18308068459658,3.57393364948264,4.79222771971052
"37","071",127481,27169,4.69214914056461,4.45784061767712,4.92645766345211
"37","073",106222,26061,4.07589885269176,2.89656568596049,5.25523201942304
"37","075",109508,24035,4.55618889120033,2.72546154572305,6.38691623667762
"37","077",131214,27009,4.85815839164723,4.26988393384472,5.44643284944974
"37","079",92093,22861,4.02838895936311,3.26608435658611,4.7906935621401
"37","081",133045,28733,4.63039014373717,4.40660656408983,4.8541737233845
"37","083",94546,15592,6.06375064135454,5.23116580371138,6.8963354789977
"37","085",123271,28646,4.30325350834322,3.92230061074799,4.68420640593846
"37","087",120089,27268,4.40402669796098,3.95401156179167,4.85404183413029
"37","089",129933,30970,4.19544720697449,3.93674915004866,4.45414526390032
"37","091",98894,20573,4.8069800223594,4.14104944408717,5.47291060063164
"37","093",114080,22534,5.06257211325109,4.44823018125445,5.67691404524773
"37","095",79863,22539,3.5433249035006,2.34688870118528,4.73976110581592
"37","097",151283,35911,4.21272033638718,3.92743280981226,4.4980078629621
"37","099",102914,21790,4.72299219825608,3.84436061657511,5.60162377993705
"37","101",143512,33496,4.28445187485073,3.9159171401378,4.65298660956366
"37","103",98204,21099,4.65443859898573,4.07273162384145,5.23614557413002
"37","105",118289,27347,4.32548359966358,3.78922924706254,4.86173795226463
"37","107",93694,18594,5.03893729159944,4.54942796309378,5.5284466201051
"37","109",150470,32685,4.60364081382897,4.05361820974214,5.1536634179158
"37","111",103399,25364,4.07660463649267,3.53889164842881,4.61431762455652
"37","113",106113,22004,4.82244137429558,4.13925048938104,5.50563225921013
"37","115",115236,23762,4.84959178520327,3.96539177592985,5.73379179447668
"37","117",91444,20123,4.54425284500323,3.66772618238239,5.42077950762407
"37","119",170445,38381,4.44086918006305,4.30068753125463,4.58105082887147
"37","121",106653,21111,5.05201080005684,3.74422628786973,6.35979531224396
"37","123",104541,23265,4.49348807221148,3.77593167051326,5.21104447390969
"37","125",146052,34618,4.2189612340401,3.75093464108425,4.68698782699594
"37","127",115858,26196,4.42273629561765,4.03941367643803,4.80605891479728
"37","129",147232,31155,4.72579040282459,4.42555400651761,5.02602679913156
"37","131",111547,16907,6.59768143372568,5.37497794334724,7.82038492410412
"37","133",117551,30672,3.83251825769431,3.4557343029392,4.20930221244943
"37","135",197648,34253,5.77023910314425,5.27926391628743,6.26121429000107
"37","137",129754,23492,5.52332709007322,4.95868169590601,6.08797248424042
"37","139",115972,28766,4.03156504206355,3.45871736186245,4.60441272226465
"37","141",141506,33529,4.22040621551493,3.80592739922266,4.6348850318072
"37","143",116393,25338,4.59361433420159,3.72734346972907,5.45988519867412
"37","145",123961,24194,5.12362569232041,4.40339222416442,5.8438591604764
"37","147",114209,23319,4.89768000343068,4.39555554228843,5.39980446457292
"37","149",123429,24929,4.95122146897188,4.14394530011089,5.75849763783287
"37","151",111283,26721,4.16462707234011,3.88435745354598,4.44489669113424
"37","153",89973,16444,5.47147895889078,4.44633135728286,6.4966265604987
"37","155",89090,15251,5.84158415841584,5.51939533320777,6.16377298362391
"37","157",111409,21840,5.10114468864469,4.5634310245066,5.63885835278278
"37","159",118903,26514,4.48453647129818,4.12208044543706,4.8469924971593
"37","161",96803,22800,4.24574561403509,3.69983766481526,4.79165356325491
"37","163",106401,21992,4.83816842488178,4.1882558783768,5.48808097138675
"37","165",89492,16742,5.34535897742205,4.78670860730701,5.90400934753709
"37","167",118779,25442,4.66861881927521,4.07795873768496,5.25927890086547
"37","169",106481,27217,3.91229746114561,3.1479666197856,4.67662830250562
"37","171",111665,21965,5.08376963350785,4.65251814994511,5.5150211170706
"37","173",118471,21524,5.50413491916001,4.54115839745149,6.46711144086852
