statecode,countycode,v015_denominator,v015_numerator,v015_rawvalue,v015_cilow,v015_cihigh,v015_sourceflag,v015_flag_CT
05,045,884108,50,5.655417663905315,4.197559996907828,7.455963147526866,,
05,047,,,,,,,
05,049,,,,,,,
05,051,697190,87,12.4786643526155,9.994898598060745,15.392386377102918,,
05,053,,,,,,,
05,055,320808,19,5.922545572429615,3.565759321577621,9.24878855003167,,
05,057,144877,12,8.28288824313038,4.279889222390176,14.468538862743536,,
05,059,234442,23,9.810528830158418,6.219033721365915,14.720610170034819,,
05,061,90918,11,12.098814316197013,6.039684514878064,21.648120848788967,,
05,063,264752,12,4.532543663503958,2.3420314515932708,7.9174416239261465,,
05,065,,,,,,,
05,067,117520,11,9.360108917631042,4.672532647410517,16.747820382319567,,
05,069,463198,193,41.66684657533063,35.78832589533598,47.54536725532528,,
05,071,184360,10,5.424170101974398,2.601100399290754,9.975241940777707,,
05,073,,,,,,,
05,075,,,,,,,
05,077,60715,15,24.705591698921186,13.827532130088631,40.748116398724925,,
05,079,91848,16,17.420085358418255,9.957083936113495,28.289127251068017,,
05,081,,,,,,,
05,083,150203,13,8.654953629421517,4.608398294976666,14.80023429502665,,
05,085,519676,27,5.195544916447941,3.4238968379845844,7.559245076771314,,
05,087,118261,11,9.301460329271697,4.643255483411132,16.642881857334164,,
05,089,118380,12,10.13684744044602,5.237856993345342,17.707032478608678,,
05,091,301626,23,7.625337338293119,4.833809763430434,11.441750013206102,,
05,093,281335,79,28.080402367284552,22.23151899322689,34.996559676071485,,
05,095,47029,13,27.642518446065196,14.718476878104578,47.269548402387635,,
05,097,,,,,,,
05,099,,,,,,,
05,101,,,,,,,
05,103,160171,17,10.613656654450557,6.182846126706639,16.993492464869806,,
05,105,,,,,,,
05,107,117853,74,62.79008595453658,49.30372264035788,78.82720295783444,,
05,109,,,,,,,
05,111,162491,14,8.615861801576703,4.7103718213935535,14.45595209693803,,
05,113,137964,13,9.422747963236787,5.017216441248299,16.113185989213765,,
05,115,448688,23,5.1260564133651885,3.249480047838292,7.691601490307971,,
05,117,,,,,,,
05,119,2768502,568,20.516510372757544,18.829237214629902,22.203783530885186,,
05,121,,,,,,,
05,123,168336,51,30.296549757627602,22.557771265974452,39.83436779809654,,
05,125,869313,40,4.6013346171056915,3.2872609108329183,6.2657117705572185,,
05,127,,,,,,,
05,129,,,,,,,
05,131,897834,57,6.348612327000314,4.80837697869815,8.225363642161337,,
05,133,,,,,,,
05,135,123025,11,8.941272099166836,4.463450816693224,15.998405619428535,,
05,137,87901,11,12.514078338130396,6.2469828184398795,22.3911428917782,,
05,139,268965,46,17.1025969921737,12.521250500612298,22.812467685604446,,
05,141,,,,,,,
05,143,1719020,51,2.96680666891601,2.208982434078181,3.9008028630617315,,
05,145,548639,31,5.650345673566772,3.839135748487047,8.020214659046978,,
05,147,,,,,,,
05,149,,,,,,,
06,000,275206370,14540,5.283307940873607,5.197430361867958,5.369185519879257,,
06,001,11563336,795,6.875178581682656,6.397257167437692,7.35309999592762,,
06,003,,,,,,,
06,005,282326,19,6.729808802589914,4.051784520152849,10.509430081390166,,
06,007,1515264,59,3.89371093090049,2.964073166701872,5.022603411852705,,
06,009,322834,10,3.0975671707440977,1.4854038596097172,5.696536313404963,,
06,011,,,,,,,
06,013,8076917,438,5.4228612229146345,4.914997132056025,5.930725313773244,,
06,015,192849,20,10.37080824894088,6.334759104482754,16.016872217473047,,
06,017,1343515,37,2.7539699966133613,1.9390490293823315,3.7959848711723225,,
06,019,7029607,596,8.47842560757664,7.797737512016303,9.159113703136976,,
06,021,198090,14,7.067494573173811,3.863865049371801,11.858054986034418,,
06,023,948967,69,7.271064220357504,5.657321967660081,9.20199712898818,,
06,025,1263760,69,5.4598974488827,4.248126112303353,6.909849662518618,,
06,027,,,,,,,
06,029,6339048,743,11.721002901382038,10.878199192873742,12.563806609890333,,
06,031,1066205,72,6.752922749377466,5.283746154837799,8.504188598314391,,
06,033,462328,34,7.354086276409822,5.092918530690825,10.276598452873955,,
06,035,214478,21,9.791214017288485,6.060915797459965,14.966910701770525,,
06,037,69465205,4517,6.502536053841633,6.312903106554649,6.692169001128616,,
06,039,1112174,84,7.5527750154202495,6.024389145923748,9.350849396756955,,
06,041,1807410,34,1.8811448426201027,1.3027474886479702,2.628711365722393,,
06,043,,,,,,,
06,045,618630,43,6.9508429917721415,5.030359538329403,9.362739894667836,,
06,047,1972765,154,7.8063023218680385,6.5733647775512,9.039239866184877,,
06,049,,,,,,,
06,051,,,,,,,
06,053,3039374,190,6.251287271655282,5.362395823807901,7.1401787195026625,,
06,055,957822,18,1.879263579245413,1.1137706985639846,2.9700466545483386,,
06,057,706688,21,2.971608404274588,1.8394724382013259,4.542419106443492,,
06,059,22173665,507,2.2864961656090683,2.0874643205042784,2.485528010713858,,
06,061,2834227,53,1.869998415793795,1.400757135273832,2.446003969661013,,
06,063,,,,,,,
06,065,17258497,797,4.618015114525906,4.29740127824055,4.938628950811261,,
06,067,10940172,677,6.188202525517881,5.7220519167474695,6.654353134288293,,
06,069,451141,20,4.433203809895354,2.707916058483699,6.846723729981225,,
06,071,15282252,1129,7.387654646710446,6.956715759847875,7.818593533573016,,
06,073,23184056,665,2.8683505595397114,2.6503400264550248,3.086361092624398,,
06,075,5948449,295,4.9592759389884655,4.393345130585424,5.525206747391507,,
06,077,5411803,510,9.423846359521956,8.60594829524848,10.241744423795433,,
06,079,1979586,30,1.5154683858140034,1.0224801560235783,2.1634253523114255,,
06,081,5259258,113,2.1485920637473956,1.7524318869133269,2.5447522405814644,,
06,083,3117511,116,3.720917103420004,3.043779282768617,4.398054924071391,,
06,085,13344725,311,2.3305088714829267,2.071492844599234,2.5895248983666193,,
06,087,1886999,62,3.285640320954065,2.5190815939050624,4.212042607110352,,
06,089,1262503,66,5.227710349995208,4.043110805965712,6.650929339772405,,
06,091,,,,,,,
06,093,305044,19,6.228609643199014,3.7500298856449343,9.726745509364418,,
06,095,3136327,250,7.971107604532309,6.982998868751565,8.959216340313052,,
06,097,3438663,85,2.471890964598741,1.974458706910055,3.0565314576886125,,
06,099,3854159,144,3.7362236482719062,3.125973785720828,4.346473510822984,,
06,101,682325,26,3.8105008610266373,2.48914567333695,5.583266637324594,,
06,103,453059,34,7.504541351126453,5.197113043681347,10.486844339303069,,
06,105,,,,,,,
06,107,3299295,257,7.789542917502073,6.837182176735105,8.741903658269042,,
06,109,382325,11,2.87713332897404,1.4362545915744036,5.14798627170652,,
06,111,5894562,187,3.172415524681902,2.7177151264316572,3.6271159229321466,,
06,113,1539397,49,3.1830645376079074,2.354848667941352,4.208180124614917,,
06,115,567353,43,7.579055720160112,5.485000204804979,10.208938317129483,,
08,000,40398778,2221,5.497691044021183,5.269045826394269,5.726336261648097,,
08,001,3635419,235,6.464179232160035,5.637693178012176,7.290665286307894,,
08,003,115441,14,12.127407073743298,6.6301662981961345,20.34772838232134,,
08,005,4575078,278,6.076399134615847,5.36210025881428,6.7906980104174135,,
08,007,,,,,,,
08,009,,,,,,,
08,011,,,,,,,
08,013,2285801,62,2.712397098435078,2.079579302230272,3.4771706669017237,,
08,014,508615,17,3.3424102710301504,1.9470771545485857,5.351522628295786,,
08,015,,,,,,,
08,017,,,,,,,
08,019,,,,,,,
08,021,,,,,,,
08,023,,,,,,,
08,025,,,,,,,
08,027,,,,,,,
08,029,218759,13,5.94261264679396,3.164190954888165,10.16204860972983,,
08,031,5025154,457,9.0942486538721,8.260443076574237,9.928054231169963,,
08,033,,,,,,,
08,035,2518863,36,1.4292162773441826,1.0010055099191675,1.9786377619281474,,
08,037,,,,,,,
08,039,,,,,,,
08,041,5084450,410,8.06380237783831,7.283246463366136,8.844358292310487,,
08,043,340886,27,7.920536484337872,5.219683451876806,11.523964740459302,,
08,045,426454,10,2.344918795462113,1.12447970851075,4.312389153816772,,
08,047,,,,,,,
08,049,,,,,,,
08,051,,,,,,,
08,053,,,,,,,
08,055,,,,,,,
08,057,,,,,,,
08,059,4053100,150,3.7008709382941447,3.1086082386500413,4.293133637938248,,
08,061,,,,,,,
08,063,,,,,,,
08,065,,,,,,,
08,067,393948,21,5.3306527765085745,3.299758085858079,8.148469020008577,,
08,069,2511903,44,1.7516599964250212,1.2727588349607584,2.3515217856863004,,
08,071,100975,11,10.893785590492696,5.4381385166990235,19.491991595248283,,
08,073,,,,,,,
08,075,,,,,,,
08,077,1090288,50,4.5859442642677894,3.4037762258652635,6.045995797838445,,
08,079,,,,,,,
08,081,,,,,,,
08,083,184063,10,5.432922423300718,2.6052974775660696,9.991337771316223,,
08,085,301213,13,4.315882780623678,2.298025812632191,7.380290996125292,,
08,087,,,,,,,
08,089,128270,11,8.575660715677866,4.280938931345473,15.344225862089306,,
08,091,,,,,,,
08,093,,,,,,,
08,095,,,,,,,
08,097,,,,,,,
08,099,,,,,,,
08,101,1180839,157,13.295631326539858,11.21586180598391,15.375400847095808,,
08,103,,,,,,,
08,105,,,,,,,
08,107,,,,,,,
08,109,,,,,,,
08,111,,,,,,,
08,113,,,,,,,
08,115,,,,,,,
08,117,,,,,,,
08,119,,,,,,,
08,121,,,,,,,
08,123,2327067,81,3.4807764451990426,2.7642389322759233,4.326287304152783,,
08,125,,,,,,,
09,000,25132120,905,3.6009695958796946,3.366357047835813,3.835582143923576,,
09,001,6658806,200,3.0035414757540617,2.587271864918235,3.4198110865898883,,U
09,003,6259593,305,4.87252126456145,4.325681742802079,5.419360786320821,,U
09,005,1278231,20,1.5646624123495676,0.9557364502506939,2.4164941941381954,,U
09,007,1144462,21,1.834923308943416,1.1358464487310356,2.80487519331733,,U
09,009,6015860,293,4.8704590864814,4.312769980908756,5.428148192054044,,U
09,011,1872437,44,2.3498787943199155,1.707425529304555,3.1546025997300706,,U
09,013,,,,,,,U
09,015,815962,13,1.59321144857236,0.8483179965493248,2.7244400987005375,,U
09,110,,,,,,,A
09,120,,,,,,,A
09,130,,,,,,,A
09,140,,,,,,,A
09,150,,,,,,,A
09,160,,,,,,,A
09,170,,,,,,,A
09,180,,,,,,,A
09,190,,,,,,,A
10,000,6943353,476,6.855477461681697,6.239605684899327,7.471349238464067,,
10,001,1280687,77,6.0123980332430955,4.744890504428211,7.514465946802212,,
10,003,3965206,338,8.524147295247714,7.615388416912856,9.432906173582571,,
10,005,1697460,61,3.593604562110447,2.7488227446291833,4.616135397289837,,
11,000,4835817,1221,25.249094413622355,23.832830968958255,26.665357858286455,,
11,001,4835817,1221,25.249094413622355,23.832830968958255,26.665357858286455,,
12,000,152131451,9615,6.320192134366747,6.193860618261814,6.446523650471679,,
12,001,1926423,107,5.554335678093544,4.501898199498985,6.606773156688103,,
12,003,200300,16,7.988017973040439,4.565842463126073,12.972040737673964,,
12,005,1269948,76,5.984497003026895,4.7151029708660195,7.49049039514465,,
12,007,195275,10,5.1209832287799255,2.455710508837503,9.417670486246461,,
12,009,4287712,267,6.227097342358816,5.4801566921658535,6.974037992551778,,
12,011,13638561,966,7.082858668154214,6.636199673482807,7.52951766282562,,
12,013,,,,,,,
12,015,1354290,30,2.215182863345369,1.4945745757128024,3.1623112771125577,,
12,017,1083551,47,4.337590016528987,3.187097992347915,5.768075184338066,,
12,019,1550713,66,4.256106707043792,3.291672618894747,5.414811279876213,,
12,021,2717527,58,2.1342934219236827,1.6206584766315022,2.7590691737265005,,
12,023,499811,42,8.403176400679456,6.0562704167130565,11.358653326655604,,
12,027,256571,22,8.57462456785841,5.373671565465157,12.9820846421167,,
12,029,118947,12,10.08852682287069,5.2128890251307025,17.622626084034867,,
12,031,6859891,1006,14.66495604667771,13.758727274435666,15.571184818919756,,
12,033,2243922,217,9.67056787178877,8.38386526221472,10.95727048136282,,
12,035,835185,29,3.472284583655118,2.3254434810907685,4.986779867764218,,
12,037,,,,,,,
12,039,313852,50,15.931075793686198,11.8243515215649,21.0031373591173,,
12,041,,,,,,,
12,043,,,,,,,
12,045,,,,,,,
12,047,98124,25,25.477966654437243,16.487996665269787,37.610504766958506,,
12,049,185245,15,8.097384544792032,4.532044661277396,13.355404394982775,,
12,051,291723,21,7.198609639966681,4.456052825480399,11.00383951040658,,
12,053,1390471,66,4.746593060912453,3.671014729443569,6.038830183621722,,
12,055,737695,53,7.1845410366072695,5.381714249433365,9.397556568663774,,
12,057,10342438,614,5.936704672534658,5.467116304318321,6.406293040750995,,
12,059,,,,,,,
