statecode,countycode,v128_race_white,v128_race_white_cilow,v128_race_white_cihigh,sourceflag.x,v128_race_black,v128_race_black_cilow,v128_race_black_cihigh,sourceflag.y,v128_race_aian,v128_race_aian_cilow,v128_race_aian_cihigh,sourceflag.x.x,v128_race_asian,v128_race_asian_cilow,v128_race_asian_cihigh,sourceflag.y.y,v128_race_nhopi,v128_race_nhopi_cilow,v128_race_nhopi_cihigh,sourceflag.x.x.x,v128_race_tom,v128_race_tom_cilow,v128_race_tom_cihigh,sourceflag.y.y.y,v128_race_hispanic,v128_race_hispanic_cilow,v128_race_hispanic_cihigh,sourceflag,v128_race_flag_CT
04,000,45.835582672112615,43.30469100817724,48.36647433604799,,115.06605158314112,104.3021176855935,125.82998548068873,,91.9557029282715,81.58444897947858,102.32695687706443,,29.64326323660191,22.973121844961554,37.645896455548986,,130.66202090592336,77.4385945150953,206.50232482235765,,61.54623579982572,52.79477065796267,70.29770094168877,,59.52026665079459,56.85092442880096,62.18960887278822,,
04,001,,,,,,,,,102.16663730843756,77.57941109785057,132.07407036232968,,,,,,,,,,,,,,,,,,
04,003,51.39296344675475,32.92844141135027,76.4686558464918,,,,,,,,,,,,,,,,,,,,,,58.753391280305514,40.68843143059717,82.10197531528641,,
04,005,36.720683324020115,23.27776329056387,55.099054673637795,,,,,,79.54364673530148,55.405064436080465,110.62595706707364,,,,,,,,,,,,,,47.01141705842848,25.701579168235728,78.87716965022021,,
04,007,98.56532690833424,58.41605946993499,155.77571058771213,,,,,,86.88097306689835,43.37066872472031,155.45405981598574,,,,,,,,,,,,,,,,,,
04,009,,,,,,,,,,,,,,,,,,,,,,,,,68.05246226181637,33.97154396954243,121.76465301473615,,
04,011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04,012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04,013,40.71588266657108,37.75614840352105,43.675616929621114,,115.76929022242832,103.6750633748012,127.86351707005545,,79.40029424814928,61.65743531517533,100.6587925971247,,33.01598298323762,25.25461090446611,42.41041135470319,,149.14243102162564,81.53755487696387,250.23565699196308,,60.9969454242834,50.47080151143004,71.52308933713677,,60.39140157017644,57.00394802373456,63.778855116618324,,
04,015,77.35467634803416,60.844360020474696,96.96475664098435,,,,,,,,,,,,,,,,,,,,,,55.2681611177433,35.7666398015416,81.58670844393679,,
04,017,54.93355655540441,34.00473732362714,83.97177653799149,,,,,,110.66655316250957,85.41010935427646,141.05360656486178,,,,,,,,,,,,,,52.36150382238977,25.109376354238318,96.29466981892227,,
