statecode,countycode,v001_race_white,v001_race_white_cilow,v001_race_white_cihigh,v001_race_white_flag2,v001_race_black,v001_race_black_cilow,v001_race_black_cihigh,v001_race_black_flag2,v001_race_aian,v001_race_aian_cilow,v001_race_aian_cihigh,v001_race_aian_flag2,v001_race_asian,v001_race_asian_cilow,v001_race_asian_cihigh,v001_race_asian_flag2,v001_race_nhopi,v001_race_nhopi_cilow,v001_race_nhopi_cihigh,v001_race_nhopi_flag2,v001_race_tom,v001_race_tom_cilow,v001_race_tom_cihigh,v001_race_tom_flag2,v001_race_hispanic,v001_race_hispanic_cilow,v001_race_hispanic_cihigh,v001_race_hispanic_flag2,v001_race_flag_CT
01,117,6863.685911754743,6403.987668789924,7323.384154719562,,8973.970409227857,7700.626691890009,10247.314126565705,,,,,2,2070.8674697926213,1070.0474405548903,3617.3887159634205,1,,,,2,,,,2,3879.5467464970675,2829.768018192525,5191.138780667688,,
01,119,9315.464995731902,5324.593132467397,15127.731537766573,1,18630.570141772114,15033.72691595711,22227.413367587116,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,121,14850.119940132936,13571.302907573556,16128.936972692316,,17193.726354698647,15323.103190294114,19064.34951910318,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,123,11788.053297583665,10152.064263069504,13424.042332097826,,13875.10299338369,11372.067619016683,16378.138367750698,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,125,8761.39561659514,8180.945154635824,9341.846078554456,,13711.956845637123,12751.80726743371,14672.106423840536,,,,,2,,,,2,,,,2,,,,2,8948.46429350246,6828.620969199727,11518.447341148933,,
01,127,18753.645778732796,17445.468730682453,20061.82282678314,,20941.051420194497,16203.623270479686,25678.47956990931,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,129,11633.888699087855,9160.90317521092,14106.874222964789,,15580.422328909366,10852.33501988119,21668.595826143704,,19812.34612668134,10549.239894170109,33879.715266440595,1,,,,2,,,,2,,,,2,,,,2,
01,131,14111.8386435643,8735.450539122337,21571.444403429825,1,22377.96250420137,18355.47620570802,26400.44880269472,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,133,12611.984531232147,10799.518679283517,14424.450383180776,,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,
02,000,7388.193430636444,7093.4405725150355,7682.946288757852,,8895.279596496117,7629.119782004226,10161.439410988007,,23949.54729408301,22877.415396858774,25021.67919130725,,4497.746522651338,3777.2151390860513,5218.277906216625,,19362.03999221732,16634.16611465076,22089.91386978388,,12723.030383945033,11520.05363757644,13926.007130313626,,5566.6641117095905,4844.676329185482,6288.651894233699,,
02,013,,,,2,,,,2,32661.178172704105,16876.50736660087,57052.50533673315,1,,,,2,,,,2,,,,2,,,,2,
02,016,,,,2,,,,2,33069.55197099216,17087.520067327474,57765.85217875499,1,,,,2,,,,2,,,,2,,,,2,
02,020,7212.012130086582,6738.000656597613,7686.0236035755515,,10316.195983479223,8607.209561704298,12025.182405254149,,29188.919252214797,26843.771207076945,31534.06729735265,,4908.082665554766,3971.4323472603605,5844.732983849171,,22886.96914788226,19512.155975076315,26261.782320688206,,14193.877002515874,12238.338794522919,16149.415210508829,,6488.060763659111,5402.453287765019,7573.668239553203,,
02,050,,,,2,,,,2,19960.20730277838,17240.579900903984,22679.834704652778,,,,,2,,,,2,,,,2,,,,2,
02,060,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,
02,063,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,
02,066,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,
02,068,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,
