statecode,countycode,v131_numerator,v131_denominator,v131_rawvalue,v131_rawalternatevalue,v131_cilow,v131_cihigh,v131_sourceflag,v131_flag_CT
04,000,10160,7431344,0.0013671820332903442,731.4314960629921,,,,
04,001,66,65036,0.0010148225598130265,985.3939393939394,,,,
04,003,143,124640,0.0011473042362002567,871.6083916083916,,,,
04,005,197,144472,0.001363586023589346,733.3604060913706,,,,
04,007,48,54003,8.888395089161713e-4,1125.0625,,,,
04,009,47,39525,0.0011891208096141683,840.9574468085107,,,,
04,011,9,9369,9.606147934678194e-4,1041,,,,
04,012,16,16710,9.575104727707959e-4,1044.375,,,,
04,013,7029,4585871,0.0015327513573757307,652.4215393370323,,,,
04,015,215,223682,9.611859693672267e-4,1040.3813953488373,,,,
04,017,132,109175,0.0012090680100755667,827.0833333333334,,,,
04,019,1386,1063162,0.0013036583324084194,767.0721500721501,,,,
04,021,309,484239,6.381146499972122e-4,1567.116504854369,,,,
04,023,16,49158,3.2548110175352945e-4,3072.375,,,,
04,025,340,249081,0.0013650178054528447,732.5911764705883,,,,
04,027,206,213221,9.661337297920936e-4,1035.0533980582525,,,,
05,000,3825,3067732,0.001246849464034016,802.0214379084968,,,,
05,001,12,16307,7.35880296805053e-4,1358.9166666666667,,,,
05,003,19,18262,0.001040411784032417,961.1578947368421,,,,
05,005,79,42875,0.0018425655976676385,542.7215189873418,,,,
05,007,298,311013,9.581593052380447e-4,1043.6677852348994,,,,
05,009,54,38530,0.0014015053205294575,713.5185185185185,,,,
05,011,8,10104,7.91765637371338e-4,1263,,,,
05,013,4,4641,8.618832148243913e-4,1160.25,,,,
05,015,7,28814,2.4293746095647948e-4,4116.285714285715,,,,
05,017,20,9538,0.0020968756552736424,476.9,,,,
05,019,21,21274,9.871204286923004e-4,1013.047619047619,,,,
05,021,15,14201,0.001056263643405394,946.7333333333333,,,,
05,023,21,25445,8.253094910591472e-4,1211.6666666666667,,,,
05,025,5,7378,6.776904310111142e-4,1475.6,,,,
05,027,24,22150,0.0010835214446952596,922.9166666666666,,,,
05,029,11,21077,5.21895905489396e-4,1916.090909090909,,,,
05,031,253,113993,0.002219434526681463,450.5652173913044,,,,
05,033,20,61891,3.2314876153237144e-4,3094.55,,,,
05,035,50,47139,0.0010606928445660705,942.78,,,,
05,037,17,16420,0.0010353227771010961,965.8823529411765,,,,
05,039,4,6185,6.467259498787389e-4,1546.25,,,,
05,041,10,10479,9.542895314438401e-4,1047.9,,,,
05,043,15,16945,8.852168781351431e-4,1129.6666666666667,,,,
05,045,141,129951,0.0010850243553339335,921.6382978723404,,,,
05,047,11,17468,6.297229219143577e-4,1588,,,,
05,049,29,12421,0.002334755655744304,428.3103448275862,,,,
05,051,183,99784,0.001833961356530105,545.2677595628415,,,,
05,053,13,18383,7.071751074362182e-4,1414.076923076923,,,,
05,055,57,46743,0.0012194339259354342,820.0526315789474,,,,
05,057,11,19343,5.686811766530528e-4,1758.4545454545455,,,,
05,059,30,33258,9.020386072523904e-4,1108.6,,,,
05,061,8,12533,6.383148487991702e-4,1566.625,,,,
05,063,62,38320,0.001617954070981211,618.0645161290323,,,,
05,065,15,14169,0.0010586491636671606,944.6,,,,
05,067,16,16784,9.532888465204957e-4,1049,,,,
05,069,59,63661,9.267840593141798e-4,1079,,,,
