statecode,countycode,v155_race_AIAN,v155_race_asian,v155_race_black,v155_race_hispanic,v155_race_white,v155_race_flag_CT
06,033,0.22,0.35,0.23,0.24,0.3,
06,035,0.04,0.31,0.2,0.28,0.25,
06,037,0.35,0.5,0.24,0.29,0.44,
06,039,0.48,0.3,0.31,0.3,0.37,
06,041,,0.54,0.33,0.34,0.57,
06,043,0.18,0.27,,0.3,0.28,
06,045,0.24,0.29,0.16,0.28,0.33,
06,047,0.32,0.41,0.31,0.35,0.41,
06,049,0.1,,,0.2,0.16,
06,051,0.26,0.47,,0.21,0.42,
06,053,0.34,0.49,0.33,0.37,0.51,
06,055,,0.41,0.32,0.31,0.51,
06,057,0.15,0.47,0.37,0.31,0.45,
06,059,0.4,0.58,0.33,0.32,0.49,
06,061,0.27,0.5,0.39,0.4,0.48,
06,063,0.13,0.38,,0.26,0.3,
06,065,0.22,0.4,0.26,0.27,0.45,
06,067,0.37,0.46,0.32,0.35,0.43,
06,069,,0.56,0.41,0.41,0.5,
06,071,0.19,0.41,0.22,0.26,0.33,
06,073,0.33,0.41,0.28,0.29,0.48,
06,075,0.3,0.47,0.32,0.39,0.53,
06,077,0.4,0.44,0.29,0.33,0.46,
06,079,0.38,0.53,0.36,0.4,0.51,
06,081,,0.5,0.36,0.37,0.58,
06,083,0.38,0.52,0.39,0.42,0.52,
06,085,0.37,0.53,0.34,0.33,0.56,
06,087,0.5,0.55,0.42,0.43,0.54,
06,089,0.16,0.37,0.26,0.32,0.36,
06,091,,,,,0.17,
06,093,0.32,0.24,0.2,0.19,0.24,
06,095,0.38,0.38,0.28,0.33,0.42,
06,097,0.17,0.43,0.35,0.29,0.52,
06,099,0.42,0.43,0.29,0.34,0.43,
06,101,0.44,0.47,0.34,0.43,0.47,
06,103,0.26,0.3,0.14,0.27,0.28,
06,105,0.27,0.37,0.44,0.21,0.33,
06,107,0.26,0.4,0.3,0.35,0.43,
06,109,0.31,0.41,0.24,0.38,0.44,
06,111,0.42,0.51,0.35,0.39,0.52,
06,113,0.33,0.48,0.33,0.4,0.52,
06,115,0.34,0.43,0.34,0.39,0.4,
08,000,0.34,0.48,0.34,0.33,0.49,
08,001,0.32,0.48,0.33,0.29,0.47,
08,003,,,,0.35,0.38,
08,005,0.51,0.5,0.35,0.31,0.55,
08,007,,0.29,,0.24,0.36,
08,009,,,,,0.07,
08,011,,,,0.34,0.36,
08,013,0.43,0.54,0.41,0.34,0.57,
08,014,,0.55,0.43,0.45,0.62,
08,015,,,,0.36,0.46,
08,017,,,,,0.23,
08,019,,,,0.27,0.44,
08,021,,,,0.28,0.28,
08,023,,,,0.34,0.28,
